"year","country","overshoot_day","country_3_code"
1961,"Finland",169.060012313165,"FIN"
1962,"Finland",176.733433788012,"FIN"
1963,"Finland",166.888536599452,"FIN"
1964,"Finland",157.203522217935,"FIN"
1965,"Finland",148.690616944533,"FIN"
1966,"Finland",152.545124597068,"FIN"
1967,"Finland",145.798838690476,"FIN"
1968,"Finland",177.170636949827,"FIN"
1969,"Finland",156.425970615092,"FIN"
1970,"Finland",137.725870390842,"FIN"
1971,"Finland",132.400151469585,"FIN"
1972,"Finland",133.235153741747,"FIN"
1973,"Finland",124.584853587909,"FIN"
1974,"Finland",124.269080155572,"FIN"
1975,"Finland",115.332660279873,"FIN"
1976,"Finland",118.065597313879,"FIN"
1977,"Finland",130.243599197008,"FIN"
1978,"Finland",127.087471868801,"FIN"
1979,"Finland",112.446300481673,"FIN"
1980,"Finland",105.811782078606,"FIN"
1981,"Finland",122.877920560224,"FIN"
1982,"Finland",118.450451502319,"FIN"
1983,"Finland",122.114874365256,"FIN"
1984,"Finland",125.089821026858,"FIN"
1985,"Finland",119.199369007662,"FIN"
1986,"Finland",121.353201211079,"FIN"
1987,"Finland",123.145335003817,"FIN"
1988,"Finland",110.235985818433,"FIN"
1989,"Finland",94.9947819317281,"FIN"
1990,"Finland",104.88825606811,"FIN"
1991,"Finland",136.135551688161,"FIN"
1992,"Finland",131.147088017131,"FIN"
1993,"Finland",137.553239606578,"FIN"
1994,"Finland",118.649031433131,"FIN"
1995,"Finland",105.610504576799,"FIN"
1996,"Finland",112.227744981734,"FIN"
1997,"Finland",116.741588184809,"FIN"
1998,"Finland",116.529107436946,"FIN"
1999,"Finland",119.8098960627,"FIN"
2000,"Finland",109.816399396851,"FIN"
2001,"Finland",100.362514277251,"FIN"
2002,"Finland",95.6128891101153,"FIN"
2003,"Finland",92.0028966569271,"FIN"
2004,"Finland",97.0622352424127,"FIN"
2005,"Finland",83.0749327402145,"FIN"
2006,"Finland",88.7628475127068,"FIN"
2007,"Finland",87.3583622200119,"FIN"
2008,"Finland",85.5266210518643,"FIN"
2009,"Finland",100.335485266572,"FIN"
2010,"Finland",95.9721655591954,"FIN"
2011,"Finland",99.9547802157425,"FIN"
2012,"Finland",104.7315461908,"FIN"
2013,"Finland",97.4139899604272,"FIN"
2014,"Finland",100.744015293724,"FIN"
