"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"French Guiana",1994,133186.996443846,207.8316099,3.551807079,204.279802821,"GUF",57.5143291987901,204.407555869236
"French Guiana",1995,137399.993877978,201.1935317,3.081073376,198.112458324,"GUF",64.2998178167388,230.789385228538
"French Guiana",1996,141776.00095226,195.2727279,3.110444098,192.162283802,"GUF",61.7796937099754,228.957641804268
"French Guiana",1997,146298.995950267,189.0067219,3.005127933,186.001593967,"GUF",61.8947346633732,234.848978176603
"French Guiana",1998,151199.996969243,182.7622129,3.274693729,179.487519171,"GUF",54.8104756179181,214.020272135681
"French Guiana",1999,156764.007565573,176.0085021,2.846093298,173.162408802,"GUF",60.8421406283483,243.661690813158
"French Guiana",2000,163162.002561365,168.9935188,2.541715449,166.451803351,"GUF",65.4879784731209,269.179303023069
"French Guiana",2001,170546.005234061,161.588243,2.590899632,158.997343368,"GUF",61.3676204975291,262.233226858733
"French Guiana",2002,178785.003624576,154.2494192,2.374988155,151.874431045,"GUF",63.947446559945,282.417241005661
"French Guiana",2003,187419.006317923,146.5169203,2.611909745,143.905010555,"GUF",55.0957066394753,253.054589015845
"French Guiana",2004,195807.998656273,140.0390988,2.654396048,137.384702752,"GUF",51.7574253427145,251.122392772216
"French Guiana",2005,203494.995069872,134.4342035,2.406019703,132.028183797,"GUF",54.8741075561434,272.038989431383
"French Guiana",2006,210300.9948399,130.1772869,2.339710841,127.837576059,"GUF",54.6381954983496,276.898531440296
"French Guiana",2007,216382.003793753,126.1994918,2.519783991,123.679707809,"GUF",49.0834562803796,254.964600207796
"French Guiana",2008,222037.994416338,122.7924231,2.568478303,120.223944797,"GUF",46.8074598099583,251.101466142424
"French Guiana",2009,227731.002753946,119.2786248,2.535437511,116.743187289,"GUF",46.0445928168216,250.052055941036
"French Guiana",2010,233794.998135654,116.1844835,2.688510857,113.495972643,"GUF",42.2151803810801,233.884796051971
"French Guiana",2011,240313.995361327,112.7847933,2.752233015,110.032560285,"GUF",39.9793768550846,226.474087210276
"French Guiana",2012,247175.994893045,109.3252076,2.64530244,106.67990516,"GUF",40.3280567091309,231.699084815407
"French Guiana",2013,254283.00474333,106.0615914,2.576652283,103.484939117,"GUF",40.1625547614632,239.502029786867
"French Guiana",2014,261466.003361111,102.8599252,2.594551664,100.265373536,"GUF",38.6445849200076,236.628871569605
