"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Guyana",1961,582033.996707976,101.3287997,2.142564864,99.186234836,"GUY",47.293223043092,532.461206288314
"Guyana",1962,600559.021120946,98.25558407,2.1804042,96.07517987,"GUY",45.0630135779412,516.476360795856
"Guyana",1963,618887.024111602,95.1224683,2.054667764,93.067800536,"GUY",46.2957896648792,537.597569614417
"Guyana",1964,635778.014974357,92.717702,2.276241375,90.441460625,"GUY",40.7328071618414,478.191026395531
"Guyana",1965,650379.028050299,90.66396825,2.533587156,88.130381094,"GUY",35.7848225038396,422.182171260969
"Guyana",1966,662331.970254032,89.24020217,2.664648586,86.575553584,"GUY",33.4904205267441,397.780536202785
"Guyana",1967,671986.022991341,87.87410725,2.623070565,85.251036685,"GUY",33.5004735480623,397.775234482823
"Guyana",1968,680067.993137089,86.55539974,2.668987015,83.886412725,"GUY",32.4300566994144,383.87578891542
"Guyana",1969,687658.019866422,85.48451009,2.668186267,82.816323823,"GUY",32.038433781779,376.742639284596
"Guyana",1970,695560.973989781,84.45212377,2.807419887,81.644703883,"GUY",30.0817571927876,352.786378671035
"Guyana",1971,703810.973944651,83.48030239,2.758927128,80.721375262,"GUY",30.2582487192213,354.812342421081
"Guyana",1972,712187.988388684,82.47576551,2.71023888,79.76552663,"GUY",30.4311791517715,352.519821212071
"Guyana",1973,720919.006186949,81.53923852,2.921915824,78.617322696,"GUY",27.9060876839778,324.27894579132
"Guyana",1974,730226.989627329,80.55290815,2.826689649,77.726218501,"GUY",28.4972598866179,326.901091906235
"Guyana",1975,740166.99234737,79.48186944,2.750080032,76.731789408,"GUY",28.9016572026996,330.611308820107
"Guyana",1976,751007.995514426,76.50485807,2.38852799,74.11633008,"GUY",32.0301282086708,376.610583880532
"Guyana",1977,762445.007342284,73.87740338,2.513644198,71.363759182,"GUY",29.3905570963464,351.940552730176
"Guyana",1978,773226.989687595,71.11529962,2.365157958,68.750141662,"GUY",30.0678853674892,372.872298434185
"Guyana",1979,781677.001751127,68.67040853,1.96922919,66.70117934,"GUY",34.8717196200422,439.233554369903
"Guyana",1980,786614.01406083,67.96270645,2.16841816,65.79428829,"GUY",31.3420660507277,391.89431330866
"Guyana",1981,787728.027472897,67.90946228,2.161945143,65.747517137,"GUY",31.4112797221354,390.028938801453
"Guyana",1982,785466.003399235,68.15568715,1.961539801,66.194147349,"GUY",34.7460128772304,426.732041860685
"Guyana",1983,780367.004174904,68.52671315,1.774907493,66.751805657,"GUY",38.6086109557822,460.303638445947
"Guyana",1984,773302.00239015,69.12896359,1.824008074,67.304955516,"GUY",37.8994827873845,447.83082952318
"Guyana",1985,765043.029539946,69.71943157,1.837089941,67.882341629,"GUY",37.9510178407709,440.237016255982
"Guyana",1986,755598.02206668,70.39786844,1.707383543,68.690484897,"GUY",41.2314330318877,466.872962697016
"Guyana",1987,745148.986842838,71.32734195,1.818383287,69.508958663,"GUY",39.2256912775211,431.295363543539
"Guyana",1988,734872.009188381,72.25567359,1.911136291,70.344537299,"GUY",37.8077029827752,399.53199714484
"Guyana",1989,726236.999431229,73.07632683,1.803567341,71.272759489,"GUY",40.5176601006239,422.499887730832
"Guyana",1990,720281.982559524,73.35926107,1.695736647,71.663524423,"GUY",43.261000010261,448.187449943582
"Guyana",1991,717502.014231184,73.78491794,1.776697744,72.008220196,"GUY",41.5292471758139,417.620760591405
"Guyana",1992,717620.97142356,74.74138059,1.859441725,72.881938865,"GUY",40.1956031157094,399.363899440891
"Guyana",1993,719909.973143703,74.69902884,2.049844764,72.649184076,"GUY",36.4413095274335,356.311633771006
"Guyana",1994,723229.980229784,74.46045699,2.281050482,72.179406508,"GUY",32.6430550266204,318.281514692463
"Guyana",1995,726695.007334973,74.18820276,2.49099748,71.69720528,"GUY",29.7825279872822,285.459554186626
"Guyana",1996,730192.992869164,74.00718,2.464449345,71.542730655,"GUY",30.0299056669577,288.97325909687
"Guyana",1997,733854.00383952,73.60523219,2.657195386,70.948036804,"GUY",27.7003460829414,265.600044545087
"Guyana",1998,737315.978964476,73.13640539,2.505285462,70.631119928,"GUY",29.1928426480734,279.748889631541
"Guyana",1999,740189.025974533,72.82960639,2.67285383,70.15675256,"GUY",27.2478825403769,259.454484824422
"Guyana",2000,742218.01783018,72.50521662,2.26579991,70.23941671,"GUY",31.9998322093668,301.958341447098
"Guyana",2001,743163.025118025,72.41234474,2.155914495,70.256430245,"GUY",33.5877627521871,315.142350299606
"Guyana",2002,743106.9946576,72.45220381,2.504417071,69.947786739,"GUY",28.9297672540249,267.821847592799
"Guyana",2003,742536.987485791,72.26234927,2.497830429,69.764518841,"GUY",28.9300463594326,264.611935093752
"Guyana",2004,742161.98744419,72.20221595,2.446296094,69.755919856,"GUY",29.5149127491149,272.484706526328
"Guyana",2005,742494.995034687,71.8770367,2.377401092,69.499635608,"GUY",30.233449753178,275.31373134302
"Guyana",2006,743705.01705167,71.91922112,2.292934408,69.626286712,"GUY",31.3655816407133,282.547326480426
"Guyana",2007,745638.000704348,71.54049982,2.580147081,68.960352739,"GUY",27.7272950135285,248.999648186725
"Guyana",2008,748096.008254484,71.24160102,2.625257311,68.616343709,"GUY",27.1369975887697,245.67064983878
"Guyana",2009,750749.023217367,70.77720573,2.706735523,68.070470207,"GUY",26.148548955005,234.227304287767
"Guyana",2010,753361.999521048,70.57599352,2.619154225,67.956839295,"GUY",26.9461009664876,240.078199110995
"Guyana",2011,755882.995665021,70.19778167,3.060741844,67.137039826,"GUY",22.9348916886749,203.646533159053
"Guyana",2012,758409.973118329,69.69370405,3.300947739,66.392756311,"GUY",21.113240918661,185.678235720002
"Guyana",2013,761033.019987982,69.44313482,3.227340999,66.215793821,"GUY",21.5171358774917,191.214208819273
"Guyana",2014,763893.005379792,68.80187789,2.872008587,65.929869303,"GUY",23.9560138817133,213.768803129628
