"year","country","overshoot_day","country_3_code"
1961,"Gambia",1017.62788757261,"GMB"
1962,"Gambia",974.69072946909,"GMB"
1963,"Gambia",904.362987023453,"GMB"
1964,"Gambia",883.886552961101,"GMB"
1965,"Gambia",850.244464646784,"GMB"
1966,"Gambia",786.34740025281,"GMB"
1967,"Gambia",912.042390394312,"GMB"
1968,"Gambia",821.144083975509,"GMB"
1969,"Gambia",875.600037543069,"GMB"
1970,"Gambia",784.710953466996,"GMB"
1971,"Gambia",711.078172874379,"GMB"
1972,"Gambia",816.551929133535,"GMB"
1973,"Gambia",670.017068594107,"GMB"
1974,"Gambia",821.326530735005,"GMB"
1975,"Gambia",882.863252987576,"GMB"
1976,"Gambia",888.43663294589,"GMB"
1977,"Gambia",927.807156357831,"GMB"
1978,"Gambia",625.376507128913,"GMB"
1979,"Gambia",840.178636857307,"GMB"
1980,"Gambia",810.773123717511,"GMB"
1981,"Gambia",592.522205372364,"GMB"
1982,"Gambia",582.947799142334,"GMB"
1983,"Gambia",739.958476144066,"GMB"
1984,"Gambia",679.750398625888,"GMB"
1985,"Gambia",673.889237581021,"GMB"
1986,"Gambia",625.958680034237,"GMB"
1987,"Gambia",570.998785919731,"GMB"
1988,"Gambia",614.830904977095,"GMB"
1989,"Gambia",625.835896800428,"GMB"
1990,"Gambia",667.692107957989,"GMB"
1991,"Gambia",602.711719587995,"GMB"
1992,"Gambia",650.135195557957,"GMB"
1993,"Gambia",645.791634872394,"GMB"
1994,"Gambia",646.234198586935,"GMB"
1995,"Gambia",647.585791251431,"GMB"
1996,"Gambia",660.749373905126,"GMB"
1997,"Gambia",605.184546985796,"GMB"
1998,"Gambia",633.305593276363,"GMB"
1999,"Gambia",537.306301244281,"GMB"
2000,"Gambia",565.091449269514,"GMB"
2001,"Gambia",583.449421005981,"GMB"
2002,"Gambia",639.695108706149,"GMB"
2003,"Gambia",545.252025106314,"GMB"
2004,"Gambia",547.057002351307,"GMB"
2005,"Gambia",581.224821201369,"GMB"
2006,"Gambia",579.644214783169,"GMB"
2007,"Gambia",534.470565358816,"GMB"
2008,"Gambia",535.225317522291,"GMB"
2009,"Gambia",509.705934296411,"GMB"
2010,"Gambia",451.730057552246,"GMB"
2011,"Gambia",585.366445769261,"GMB"
2012,"Gambia",613.235928202151,"GMB"
2013,"Gambia",659.698195884256,"GMB"
2014,"Gambia",636.46151416085,"GMB"
