"year","country","overshoot_day","country_3_code"
1961,"Germany",267.028060261639,"DEU"
1962,"Germany",243.875947996608,"DEU"
1963,"Germany",235.721688768729,"DEU"
1964,"Germany",224.791636734886,"DEU"
1965,"Germany",217.642327891608,"DEU"
1966,"Germany",217.551780315557,"DEU"
1967,"Germany",216.488270222404,"DEU"
1968,"Germany",201.716110168776,"DEU"
1969,"Germany",184.201875672247,"DEU"
1970,"Germany",144.467131311063,"DEU"
1971,"Germany",141.594505649445,"DEU"
1972,"Germany",134.40064183522,"DEU"
1973,"Germany",130.402244289454,"DEU"
1974,"Germany",134.997306754413,"DEU"
1975,"Germany",137.992784775499,"DEU"
1976,"Germany",129.139428503331,"DEU"
1977,"Germany",127.524513825577,"DEU"
1978,"Germany",122.493734773339,"DEU"
1979,"Germany",115.706855853516,"DEU"
1980,"Germany",118.163308907967,"DEU"
1981,"Germany",124.623167908548,"DEU"
1982,"Germany",126.636216696987,"DEU"
1983,"Germany",124.05538954843,"DEU"
1984,"Germany",121.723646279982,"DEU"
1985,"Germany",119.210343209754,"DEU"
1986,"Germany",117.434796477033,"DEU"
1987,"Germany",116.989396020876,"DEU"
1988,"Germany",114.353601654169,"DEU"
1989,"Germany",115.097399927903,"DEU"
1990,"Germany",109.587718640443,"DEU"
1991,"Germany",116.02804330745,"DEU"
1992,"Germany",120.193821574499,"DEU"
1993,"Germany",124.154061306408,"DEU"
1994,"Germany",122.182374296275,"DEU"
1995,"Germany",121.42925858879,"DEU"
1996,"Germany",123.080895933005,"DEU"
1997,"Germany",123.894311341297,"DEU"
1998,"Germany",122.202748958301,"DEU"
1999,"Germany",129.441366911156,"DEU"
2000,"Germany",124.638095397041,"DEU"
2001,"Germany",125.136311556592,"DEU"
2002,"Germany",129.276487026083,"DEU"
2003,"Germany",125.267501302881,"DEU"
2004,"Germany",124.116306181568,"DEU"
2005,"Germany",125.843523209803,"DEU"
2006,"Germany",118.784748720245,"DEU"
2007,"Germany",117.640524222138,"DEU"
2008,"Germany",120.393195120025,"DEU"
2009,"Germany",125.144622663222,"DEU"
2010,"Germany",115.741577470256,"DEU"
2011,"Germany",116.637975103166,"DEU"
2012,"Germany",118.891556206563,"DEU"
2013,"Germany",119.11561142449,"DEU"
2014,"Germany",121.634792670318,"DEU"
