country,year,overshoot_day
Greece,1961,283.31471848012097
Greece,1962,280.35224142081
Greece,1963,263.92213030891497
Greece,1964,257.71534986357898
Greece,1965,233.87458695222199
Greece,1966,239.84901259228101
Greece,1967,238.76652357898399
Greece,1968,211.266802439337
Greece,1969,202.094912941328
Greece,1970,198.03235583030201
Greece,1971,183.56726282844701
Greece,1972,181.054939039966
Greece,1973,155.65556274451399
Greece,1974,167.331272247454
Greece,1975,171.44305535107301
Greece,1976,150.383271857762
Greece,1977,151.729387845589
Greece,1978,161.71302850077001
Greece,1979,152.32860706283699
Greece,1980,162.90202407595299
Greece,1981,180.215949904875
Greece,1982,170.37275109446099
Greece,1983,161.54869747847201
Greece,1984,166.698030840575
Greece,1985,154.73263356761501
Greece,1986,155.243839239659
Greece,1987,137.88623389299201
Greece,1988,145.83845115107999
Greece,1989,141.384056962345
Greece,1990,122.42979231577699
Greece,1991,136.232198022635
Greece,1992,134.72364655027599
Greece,1993,133.62259363368099
Greece,1994,140.19263038188899
Greece,1995,135.88340859767999
Greece,1996,121.631221487272
Greece,1997,121.581649729483
Greece,1998,120.65863429711899
Greece,1999,123.167084775625
Greece,2000,100.096829493722
Greece,2001,111.02463095693
Greece,2002,113.135638884093
Greece,2003,95.722004909953696
Greece,2004,97.600222526954298
Greece,2005,102.58824678687
Greece,2006,90.634086779963894
Greece,2007,85.973496811423303
Greece,2008,95.513341657242705
Greece,2009,99.726768519543896
Greece,2010,107.589119112348
Greece,2011,112.978228207073
Greece,2012,130.702612117489
Greece,2013,127.24718683944801
Greece,2014,136.35432740350299
