"year","country","overshoot_day","country_3_code"
1961,"Guadeloupe",859.043422922703,"GLP"
1962,"Guadeloupe",840.702682529633,"GLP"
1963,"Guadeloupe",773.976555059385,"GLP"
1964,"Guadeloupe",737.931908068322,"GLP"
1965,"Guadeloupe",777.319164887586,"GLP"
1966,"Guadeloupe",772.939146400841,"GLP"
1967,"Guadeloupe",685.845840870994,"GLP"
1968,"Guadeloupe",683.420814197516,"GLP"
1969,"Guadeloupe",652.372402246637,"GLP"
1970,"Guadeloupe",650.375458752913,"GLP"
1971,"Guadeloupe",607.079272032093,"GLP"
1972,"Guadeloupe",583.185486316699,"GLP"
1973,"Guadeloupe",548.258141588083,"GLP"
1974,"Guadeloupe",525.454977297308,"GLP"
1975,"Guadeloupe",539.973860239342,"GLP"
1976,"Guadeloupe",462.2280425493,"GLP"
1977,"Guadeloupe",445.594974989986,"GLP"
1978,"Guadeloupe",440.62694190678,"GLP"
1979,"Guadeloupe",423.055453852365,"GLP"
1980,"Guadeloupe",448.688059792363,"GLP"
1981,"Guadeloupe",345.176011810711,"GLP"
1982,"Guadeloupe",362.576624102697,"GLP"
1983,"Guadeloupe",330.983338155868,"GLP"
1984,"Guadeloupe",328.194538447498,"GLP"
1985,"Guadeloupe",334.587911967229,"GLP"
1986,"Guadeloupe",338.326999859075,"GLP"
1987,"Guadeloupe",312.412114692055,"GLP"
1988,"Guadeloupe",266.680794422677,"GLP"
1989,"Guadeloupe",252.075767529853,"GLP"
1990,"Guadeloupe",227.227565569519,"GLP"
1991,"Guadeloupe",217.883390870912,"GLP"
1992,"Guadeloupe",202.360715597546,"GLP"
1993,"Guadeloupe",233.290989154187,"GLP"
1994,"Guadeloupe",237.486413303853,"GLP"
1995,"Guadeloupe",244.658666472741,"GLP"
1996,"Guadeloupe",223.523822609322,"GLP"
1997,"Guadeloupe",212.33274617504,"GLP"
1998,"Guadeloupe",195.37933412295,"GLP"
1999,"Guadeloupe",199.768884857463,"GLP"
2000,"Guadeloupe",207.429103285433,"GLP"
2001,"Guadeloupe",200.391139925356,"GLP"
2002,"Guadeloupe",197.155493612938,"GLP"
2003,"Guadeloupe",189.61426125034,"GLP"
2004,"Guadeloupe",176.113734498659,"GLP"
2005,"Guadeloupe",184.982499517136,"GLP"
2006,"Guadeloupe",180.602246905841,"GLP"
2007,"Guadeloupe",167.318239550547,"GLP"
2008,"Guadeloupe",167.989837312907,"GLP"
2009,"Guadeloupe",172.692087691781,"GLP"
2010,"Guadeloupe",158.189395410765,"GLP"
2011,"Guadeloupe",147.116844704246,"GLP"
2012,"Guadeloupe",144.106890757647,"GLP"
2013,"Guadeloupe",145.226520552783,"GLP"
2014,"Guadeloupe",148.048619022534,"GLP"
