"year","country","overshoot_day","country_3_code"
1961,"Guatemala",853.889833396,"GTM"
1962,"Guatemala",845.351307459107,"GTM"
1963,"Guatemala",825.136378469785,"GTM"
1964,"Guatemala",778.131199497257,"GTM"
1965,"Guatemala",763.588042338931,"GTM"
1966,"Guatemala",815.927046033739,"GTM"
1967,"Guatemala",789.957826411633,"GTM"
1968,"Guatemala",738.428533511238,"GTM"
1969,"Guatemala",740.301639795187,"GTM"
1970,"Guatemala",703.95893876004,"GTM"
1971,"Guatemala",721.402730636743,"GTM"
1972,"Guatemala",693.093677623971,"GTM"
1973,"Guatemala",682.407979632339,"GTM"
1974,"Guatemala",659.983493698891,"GTM"
1975,"Guatemala",643.64919369611,"GTM"
1976,"Guatemala",684.232004589279,"GTM"
1977,"Guatemala",642.807341328406,"GTM"
1978,"Guatemala",599.009096314583,"GTM"
1979,"Guatemala",601.369558456389,"GTM"
1980,"Guatemala",585.645123293848,"GTM"
1981,"Guatemala",620.136935544748,"GTM"
1982,"Guatemala",645.443625957152,"GTM"
1983,"Guatemala",652.453049364487,"GTM"
1984,"Guatemala",620.166186352071,"GTM"
1985,"Guatemala",610.443431626811,"GTM"
1986,"Guatemala",601.413259712683,"GTM"
1987,"Guatemala",574.57035152807,"GTM"
1988,"Guatemala",587.066427926695,"GTM"
1989,"Guatemala",550.639468348314,"GTM"
1990,"Guatemala",573.879305382811,"GTM"
1991,"Guatemala",554.205977846846,"GTM"
1992,"Guatemala",515.137137002403,"GTM"
1993,"Guatemala",490.640737004192,"GTM"
1994,"Guatemala",478.314832736564,"GTM"
1995,"Guatemala",458.420812470074,"GTM"
1996,"Guatemala",475.244503992453,"GTM"
1997,"Guatemala",464.9952326516,"GTM"
1998,"Guatemala",430.503023669362,"GTM"
1999,"Guatemala",428.808460273822,"GTM"
2000,"Guatemala",422.99555764698,"GTM"
2001,"Guatemala",381.891363416967,"GTM"
2002,"Guatemala",353.538213830675,"GTM"
2003,"Guatemala",374.485100935783,"GTM"
2004,"Guatemala",370.439784335927,"GTM"
2005,"Guatemala",358.654706580606,"GTM"
2006,"Guatemala",367.412364585238,"GTM"
2007,"Guatemala",358.155854485728,"GTM"
2008,"Guatemala",368.38411618918,"GTM"
2009,"Guatemala",364.947212042388,"GTM"
2010,"Guatemala",356.142136715927,"GTM"
2011,"Guatemala",347.616113528486,"GTM"
2012,"Guatemala",347.92932150009,"GTM"
2013,"Guatemala",346.5232226272,"GTM"
2014,"Guatemala",333.741547854062,"GTM"
