country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Honduras,1961,2069080.0778304,7.796888925,2.876682558,4.920206367,HND,-1.7103751518626895,396.57927197286205
Honduras,1962,2139209.96056874,7.570375787,2.739282135,4.831093652,HND,-1.763634928389733,411.1030500582616
Honduras,1963,2211139.89276321,7.328281918,2.708841103,4.619440815,HND,-1.7053199650153121,407.77010347524634
Honduras,1964,2282760.00982285,7.139953838,2.753014231,4.386939607,HND,-1.593504151777122,395.37689685363773
Honduras,1965,2352639.89213097,6.907920169,2.697238257,4.210681912,HND,-1.5611086269713992,396.5668681091322
Honduras,1966,2420229.9806598,6.780265518,2.646710904,4.133554614,HND,-1.5617703496641508,400.4764362061606
Honduras,1967,2486290.03891422,6.599345361,2.514718261,4.0846271,HND,-1.6242881611619238,414.91427607617123
Honduras,1968,2552199.95070517,6.439261459,2.572959288,3.866302171,HND,-1.5026674495130994,398.2027582908133
Honduras,1969,2620010.00973651,6.258160829,2.480047299,3.77811353,HND,-1.5234038203720566,405.32273266118756
Honduras,1970,2691310.05825631,6.093817907,2.462523666,3.631294241,HND,-1.4746230832772025,402.19694126395615
Honduras,1971,2766439.94157789,5.920839315,2.402596479,3.518242836,HND,-1.464350283849725,407.43478437598657
Honduras,1972,2845260.01008763,5.768345678,2.324099809,3.444245869,HND,-1.4819698601851228,411.089460302006
Honduras,1973,2928189.94137737,5.609416911,2.274443694,3.334973217,HND,-1.4662808430024825,416.59231895474045
Honduras,1974,3015610.10712757,5.426624701,2.234864163,3.191760538,HND,-1.428167577628296,413.4693806988362
Honduras,1975,3107739.99011677,5.242813952,2.101725216,3.141088736,HND,-1.4945287386226989,432.60058363481585
Honduras,1976,3204879.88195431,5.11692149,2.083532941,3.033388549,HND,-1.4558870125394383,431.7402065957298
Honduras,1977,3306989.99067066,4.981064684,2.148989635,2.832075049,HND,-1.3178635219429524,411.6601258168024
Honduras,1978,3413429.93144903,4.875616521,2.110394927,2.765221594,HND,-1.310286315903374,417.88477579243573
Honduras,1979,3523280.02926243,4.718290245,2.278435173,2.439855072,HND,-1.0708468254497054,379.6252537201848
Honduras,1980,3635860.10798563,4.564310181,2.036073562,2.528236619,HND,-1.2417216480707882,417.367408258228
Honduras,1981,3750840.08682595,4.441045822,1.935091945,2.505953877,HND,-1.2950050686092853,435.75251030713326
Honduras,1982,3868300.04958694,4.310016334,1.854310888,2.455705446,HND,-1.324322400246835,451.4085982264355
Honduras,1983,3988370.11772277,4.197778433,1.829159444,2.368618989,HND,-1.2949221002955933,446.65127607522885
Honduras,1984,4111370.11822504,4.072701626,1.834216029,2.238485597,HND,-1.2204045551932092,445.33853181958943
Honduras,1985,4237439.94229302,3.938904841,1.861908623,2.076996218,HND,-1.1155199521303252,434.36878489631556
Honduras,1986,4366399.90172137,3.833418734,1.74678873,2.086630004,HND,-1.1945520188924048,456.34093757590716
Honduras,1987,4497879.88259065,3.726908542,1.744962559,1.981945983,HND,-1.1358100337326493,449.44246165218664
Honduras,1988,4631490.23366655,3.640574097,1.805779322,1.834794775,HND,-1.016068105690713,422.842427507614
Honduras,1989,4766799.80432845,3.575731109,1.755194312,1.820536797,HND,-1.0372280633279536,434.14394734816534
Honduras,1990,4903359.8622436,3.528665929,1.692527368,1.836138561,HND,-1.084850145241492,449.0372578488242
Honduras,1991,5041049.80594196,3.362571975,1.672950028,1.689621947,HND,-1.0099655809922374,443.5194386054574
Honduras,1992,5179560.05931047,3.24171179,1.658602983,1.583108807,HND,-0.9544832749164301,447.7225038752493
Honduras,1993,5318040.03848943,3.139335723,1.662822123,1.4765136,HND,-0.8879564323669994,439.24335000418864
Honduras,1994,5455479.98084452,3.027577769,1.701773111,1.325804658,HND,-0.7790725152666959,426.62338958701366
Honduras,1995,5591140.13511926,2.900140584,1.73799795,1.162142634,HND,-0.6686674365755149,409.13685506542583
Honduras,1996,5724589.84075937,2.82889921,1.78454775,1.04435146,HND,-0.5852191178409207,399.0702776395386
Honduras,1997,5855950.19356421,2.748497062,1.887683439,0.860813623,HND,-0.45601587915398367,373.8716018824979
Honduras,1998,5985669.92261923,2.634149202,1.826713653,0.807435549,HND,-0.44201539068477086,383.6675866803868
Honduras,1999,6114529.78354864,2.474926492,1.84550423,0.629422262,HND,-0.34105706818130666,375.7693456834182
Honduras,2000,6243080.07991857,2.438146457,1.933152203,0.504994254,HND,-0.26122839847597884,353.91790664749516
Honduras,2001,6371299.80430129,2.365607079,1.950117058,0.415490021,HND,-0.21305901576293995,348.3995717872532
Honduras,2002,6499000.00091546,2.31092936,1.840594185,0.470335175,HND,-0.2555344240642593,364.4136305900562
Honduras,2003,6626299.8060277,2.271169443,1.885775414,0.385394029,HND,-0.20436899650872198,350.4954702877129
Honduras,2004,6753350.09522912,2.218286513,1.90060045,0.317686063,HND,-0.16715036713792203,350.71984352155243
Honduras,2005,6880180.17692689,2.154158156,1.980252223,0.173905933,HND,-0.08782009229942418,330.52919609936555
Honduras,2006,7007029.78187802,2.089738758,1.914975206,0.174763552,HND,-0.09126152205648982,338.31377268750003
Honduras,2007,7133740.23367176,2.064041128,1.998362719,0.065678409,HND,-0.03286611002874699,321.49104873204453
Honduras,2008,7259470.21503665,2.004164428,1.898746906,0.105417522,HND,-0.05551952272674313,339.67068853937303
Honduras,2009,7383100.09761805,1.96619514,1.839687443,0.126507697,HND,-0.0687658642675205,344.6190692967729
Honduras,2010,7503879.88323184,1.917140256,1.813390914,0.103749342,HND,-0.05721289392100702,346.75470331851784
