"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Croatia",1992,4732859.86210682,2.449681434,1.998977369,0.450704065,"HRV",1.22546729642866,371.48688529195
"Croatia",1993,4697540.04108489,2.580881754,2.259247976,0.321633778,"HRV",1.14236318899032,323.286133113762
"Croatia",1994,4657799.80380222,2.550345371,2.182264193,0.368081178,"HRV",1.16866938934342,332.689418737658
"Croatia",1995,4616759.76483555,2.625528557,2.64605813,-0.0205295730000001,"HRV",-1.00781920269799,268.731452204319
"Croatia",1996,4574850.09609181,2.609228875,2.594729882,0.0144989929999997,"HRV",1.00558785328677,274.463999547699
"Croatia",1997,4532299.80507431,2.709259142,3.30853266,-0.599273518,"HRV",-1.22119462518451,213.312450139906
"Croatia",1998,4491740.23228429,2.829552469,3.399854326,-0.570301857,"HRV",-1.20155195425657,206.141432835813
"Croatia",1999,4456299.80514846,2.758449721,3.222436936,-0.463987215,"HRV",-1.16820577755537,215.20480531054
"Croatia",2000,4428069.8256466,2.671688024,3.224994296,-0.553306272,"HRV",-1.20709988436449,212.148337705589
"Croatia",2001,4408459.96075134,2.780962181,3.49292968,-0.711967499,"HRV",-1.2560148157067,194.512922082285
"Croatia",2002,4396770.01972351,2.870582206,3.918521513,-1.047939307,"HRV",-1.36506158449299,171.171094726672
"Croatia",2003,4390290.04013477,2.594423868,3.955112043,-1.360688175,"HRV",-1.52446639338082,167.114290487855
"Croatia",2004,4385040.03917319,2.795300669,4.222435094,-1.427134425,"HRV",-1.51054773653383,157.865842599925
"Croatia",2005,4378060.05896127,2.77525335,4.280564375,-1.505311025,"HRV",-1.5424049123299,152.907679122875
"Croatia",2006,4368520.01994736,2.845953506,4.580721759,-1.734768253,"HRV",-1.60955608863758,141.432401442716
"Croatia",2007,4357109.86290126,2.75978573,4.633094176,-1.873308446,"HRV",-1.67878764993832,138.666664746424
"Croatia",2008,4344149.90333971,3.031735129,4.820883173,-1.789148044,"HRV",-1.59013996714152,133.782263566352
"Croatia",2009,4330399.90209985,2.990495557,4.19317028,-1.202674723,"HRV",-1.40216569992165,151.196186709851
"Croatia",2010,4316419.92127459,2.88331559,3.972815899,-1.089500309,"HRV",-1.37786370447225,158.276104243844
"Croatia",2011,4302069.82542304,2.866178098,4.097565092,-1.231386994,"HRV",-1.42962682605104,152.117035667109
"Croatia",2012,4287020.0198746,2.853738324,3.998282686,-1.144544362,"HRV",-1.40106844134188,153.294349381548
"Croatia",2013,4271499.99999425,3.074157307,3.910183315,-0.836026008,"HRV",-1.27195289820741,157.822129695301
"Croatia",2014,4255850.09694875,2.993728654,3.632040492,-0.638311838,"HRV",-1.21321633475365,169.036066916104
