"year","country","overshoot_day","country_3_code"
1961,"Hungary",387.238496603065,"HUN"
1962,"Hungary",363.918320047325,"HUN"
1963,"Hungary",332.680450517808,"HUN"
1964,"Hungary",302.825283757471,"HUN"
1965,"Hungary",295.162554687179,"HUN"
1966,"Hungary",289.302175103362,"HUN"
1967,"Hungary",282.333767898475,"HUN"
1968,"Hungary",271.82447787111,"HUN"
1969,"Hungary",255.341206724584,"HUN"
1970,"Hungary",249.981065015069,"HUN"
1971,"Hungary",225.285894677134,"HUN"
1972,"Hungary",222.965996653514,"HUN"
1973,"Hungary",211.268472860789,"HUN"
1974,"Hungary",201.000152683564,"HUN"
1975,"Hungary",203.453997450911,"HUN"
1976,"Hungary",195.483880632868,"HUN"
1977,"Hungary",185.844120655567,"HUN"
1978,"Hungary",171.632175855209,"HUN"
1979,"Hungary",178.039202891522,"HUN"
1980,"Hungary",166.741411362185,"HUN"
1981,"Hungary",177.509124970724,"HUN"
1982,"Hungary",174.040669858301,"HUN"
1983,"Hungary",173.578155927877,"HUN"
1984,"Hungary",165.634325282991,"HUN"
1985,"Hungary",167.574434842426,"HUN"
1986,"Hungary",162.785438691086,"HUN"
1987,"Hungary",159.456044169629,"HUN"
1988,"Hungary",155.798091297817,"HUN"
1989,"Hungary",157.419002891345,"HUN"
1990,"Hungary",175.71751281728,"HUN"
1991,"Hungary",167.555298329231,"HUN"
1992,"Hungary",232.694640657974,"HUN"
1993,"Hungary",204.182922081804,"HUN"
1994,"Hungary",183.477680133947,"HUN"
1995,"Hungary",208.149508213392,"HUN"
1996,"Hungary",188.92173076947,"HUN"
1997,"Hungary",186.207831864804,"HUN"
1998,"Hungary",191.021165074431,"HUN"
1999,"Hungary",190.979012288802,"HUN"
2000,"Hungary",193.956389890985,"HUN"
2001,"Hungary",166.382438178051,"HUN"
2002,"Hungary",174.436308872885,"HUN"
2003,"Hungary",174.272245007477,"HUN"
2004,"Hungary",139.799665511038,"HUN"
2005,"Hungary",150.750556295803,"HUN"
2006,"Hungary",156.920212594653,"HUN"
2007,"Hungary",180.08916059746,"HUN"
2008,"Hungary",154.380944836966,"HUN"
2009,"Hungary",188.946353207274,"HUN"
2010,"Hungary",200.601597570269,"HUN"
2011,"Hungary",177.316421174377,"HUN"
2012,"Hungary",208.255940623799,"HUN"
2013,"Hungary",188.458335170109,"HUN"
2014,"Hungary",170.363654208995,"HUN"
