country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
"Iran, Islamic Republic of",1961,22480400.3979731,1.619942995,1.003943344,0.615999651,IRN,-0.6135800936193067,813.6386035744265
"Iran, Islamic Republic of",1962,23071400.3834103,1.563241811,0.95491434,0.608327471,IRN,-0.6370492572140031,846.9398167902683
"Iran, Islamic Republic of",1963,23680400.3917343,1.511083895,0.907919442,0.603164453,IRN,-0.6643369720900857,877.9756839979642
"Iran, Islamic Republic of",1964,24308099.6183271,1.471803452,0.863512553,0.608290899,IRN,-0.7044378184042451,908.2210602617608
"Iran, Islamic Republic of",1965,24955099.6148458,1.51856885,0.98803295,0.5305359,IRN,-0.53696174808745,772.8083387856649
"Iran, Islamic Republic of",1966,25624699.2083222,1.51993727,1.037740646,0.482196624,IRN,-0.46466005341376976,734.2942426917332
"Iran, Islamic Republic of",1967,26318099.6169052,1.454817345,0.951959889,0.502857456,IRN,-0.5282338697360809,798.3612243666707
"Iran, Islamic Republic of",1968,27032900.403792,1.453869745,1.075275587,0.378594158,IRN,-0.3520903502108433,690.0424912325291
"Iran, Islamic Republic of",1969,27765199.2023876,1.415789514,0.974876518,0.440912996,IRN,-0.4522757373462555,761.731228913445
"Iran, Islamic Republic of",1970,28513999.9881679,1.384780212,0.976325968,0.408454244,IRN,-0.41835847594704134,748.0939497708823
"Iran, Islamic Republic of",1971,29281099.6169741,1.307592687,1.001942991,0.305649696,IRN,-0.30505697304688284,724.6083008229757
"Iran, Islamic Republic of",1972,30073800.7718209,1.332673273,0.926504538,0.406168735,IRN,-0.4383882845050889,767.4857560492596
"Iran, Islamic Republic of",1973,30903599.5963656,1.295525702,0.876926266,0.418599436,IRN,-0.4773484980777163,812.1092658661452
"Iran, Islamic Republic of",1974,31784900.3799556,1.267310375,0.922150462,0.345159913,IRN,-0.37429891023575734,765.3319557790344
"Iran, Islamic Republic of",1975,32730599.6180531,1.295332628,1.299922719,-0.00459009100000007,IRN,0.00353104914077594,539.1480790289964
"Iran, Islamic Republic of",1976,33739199.2229488,1.275204177,1.469285837,-0.19408166,IRN,0.13209251400413516,471.9870621675366
"Iran, Islamic Republic of",1977,34814199.2063715,1.212486055,1.007050058,0.205435997,IRN,-0.20399780067338039,679.3874588655254
"Iran, Islamic Republic of",1978,35977601.5493683,1.180353295,0.933611987,0.246741308,IRN,-0.26428678234183806,727.732689849236
