"year","country","overshoot_day","country_3_code"
1961,"Indonesia",782.451703969469,"IDN"
1962,"Indonesia",791.607158516162,"IDN"
1963,"Indonesia",824.870555736397,"IDN"
1964,"Indonesia",827.594897347063,"IDN"
1965,"Indonesia",841.418177217448,"IDN"
1966,"Indonesia",844.869777230582,"IDN"
1967,"Indonesia",870.880846534539,"IDN"
1968,"Indonesia",844.778348736753,"IDN"
1969,"Indonesia",853.990886903527,"IDN"
1970,"Indonesia",857.303948901201,"IDN"
1971,"Indonesia",858.411231067053,"IDN"
1972,"Indonesia",854.888062342403,"IDN"
1973,"Indonesia",817.847316303233,"IDN"
1974,"Indonesia",821.305725554958,"IDN"
1975,"Indonesia",861.878845702695,"IDN"
1976,"Indonesia",843.612634522713,"IDN"
1977,"Indonesia",849.030213478989,"IDN"
1978,"Indonesia",811.020616301766,"IDN"
1979,"Indonesia",799.856887001645,"IDN"
1980,"Indonesia",756.973857789208,"IDN"
1981,"Indonesia",729.239166655888,"IDN"
1982,"Indonesia",719.496894535246,"IDN"
1983,"Indonesia",699.982584366192,"IDN"
1984,"Indonesia",707.569714843554,"IDN"
1985,"Indonesia",729.573612124733,"IDN"
1986,"Indonesia",694.962121130056,"IDN"
1987,"Indonesia",683.006154304187,"IDN"
1988,"Indonesia",666.553412855648,"IDN"
1989,"Indonesia",654.738010118214,"IDN"
1990,"Indonesia",631.75442735981,"IDN"
1991,"Indonesia",612.29245895055,"IDN"
1992,"Indonesia",589.381434174098,"IDN"
1993,"Indonesia",577.088260582327,"IDN"
1994,"Indonesia",563.342984781866,"IDN"
1995,"Indonesia",523.830404650373,"IDN"
1996,"Indonesia",521.668863380271,"IDN"
1997,"Indonesia",525.233128340463,"IDN"
1998,"Indonesia",537.922479866936,"IDN"
1999,"Indonesia",520.184143351852,"IDN"
2000,"Indonesia",514.646950220552,"IDN"
2001,"Indonesia",519.606985284368,"IDN"
2002,"Indonesia",505.147100422117,"IDN"
2003,"Indonesia",487.035194901472,"IDN"
2004,"Indonesia",476.064925959693,"IDN"
2005,"Indonesia",483.533447143857,"IDN"
2006,"Indonesia",484.656131529316,"IDN"
2007,"Indonesia",456.719151451435,"IDN"
2008,"Indonesia",443.733330908983,"IDN"
2009,"Indonesia",436.667182791089,"IDN"
2010,"Indonesia",417.622570768416,"IDN"
2011,"Indonesia",417.2416607352,"IDN"
2012,"Indonesia",407.406032546154,"IDN"
2013,"Indonesia",409.401144520853,"IDN"
2014,"Indonesia",381.788401985423,"IDN"
