"year","country","overshoot_day","country_3_code"
1982,"Iraq",653.709470328352,"IRQ"
1983,"Iraq",638.246092602898,"IRQ"
1984,"Iraq",567.858313665714,"IRQ"
1985,"Iraq",490.101371357384,"IRQ"
1986,"Iraq",538.265740977212,"IRQ"
1987,"Iraq",532.713199868125,"IRQ"
1988,"Iraq",428.279305868726,"IRQ"
1989,"Iraq",439.876587452193,"IRQ"
1990,"Iraq",476.978876304161,"IRQ"
1991,"Iraq",641.471503018048,"IRQ"
1992,"Iraq",458.295479628862,"IRQ"
1993,"Iraq",380.83793958289,"IRQ"
1994,"Iraq",361.866094377688,"IRQ"
1995,"Iraq",376.2103806323,"IRQ"
1996,"Iraq",387.33414090961,"IRQ"
1997,"Iraq",339.49978583914,"IRQ"
1998,"Iraq",475.522811593736,"IRQ"
1999,"Iraq",649.682738868343,"IRQ"
2000,"Iraq",558.347214128789,"IRQ"
2001,"Iraq",484.739609716394,"IRQ"
2002,"Iraq",482.182007726271,"IRQ"
2003,"Iraq",528.100033698985,"IRQ"
2004,"Iraq",533.081634336181,"IRQ"
2005,"Iraq",490.131547572414,"IRQ"
2006,"Iraq",490.46106953245,"IRQ"
2007,"Iraq",546.78233807808,"IRQ"
2008,"Iraq",515.615140042264,"IRQ"
2009,"Iraq",420.816805886129,"IRQ"
2010,"Iraq",377.910602635392,"IRQ"
2011,"Iraq",370.538220319606,"IRQ"
2012,"Iraq",327.156958806837,"IRQ"
2013,"Iraq",308.330597359524,"IRQ"
2014,"Iraq",297.067895220193,"IRQ"
