"year","country","overshoot_day","country_3_code"
1961,"Japan",379.513807708606,"JPN"
1962,"Japan",371.145302351497,"JPN"
1963,"Japan",341.746836091275,"JPN"
1964,"Japan",323.991484292846,"JPN"
1965,"Japan",308.402971241214,"JPN"
1966,"Japan",279.059454906472,"JPN"
1967,"Japan",244.238924558782,"JPN"
1968,"Japan",229.909920090348,"JPN"
1969,"Japan",210.127637878894,"JPN"
1970,"Japan",192.910760144499,"JPN"
1971,"Japan",195.287242007508,"JPN"
1972,"Japan",179.966482468218,"JPN"
1973,"Japan",161.608819913362,"JPN"
1974,"Japan",169.834138284197,"JPN"
1975,"Japan",181.892156488279,"JPN"
1976,"Japan",172.606086308949,"JPN"
1977,"Japan",170.966698741762,"JPN"
1978,"Japan",171.345055818822,"JPN"
1979,"Japan",162.834956591139,"JPN"
1980,"Japan",171.632076939597,"JPN"
1981,"Japan",184.598785304787,"JPN"
1982,"Japan",187.351031386356,"JPN"
1983,"Japan",183.354461770163,"JPN"
1984,"Japan",173.951618403196,"JPN"
1985,"Japan",174.788426317378,"JPN"
1986,"Japan",167.032961903037,"JPN"
1987,"Japan",158.655953572049,"JPN"
1988,"Japan",143.930653463015,"JPN"
1989,"Japan",140.730146444227,"JPN"
1990,"Japan",135.891038512502,"JPN"
1991,"Japan",132.916925660731,"JPN"
1992,"Japan",134.17927569321,"JPN"
1993,"Japan",133.624023018405,"JPN"
1994,"Japan",127.680776741024,"JPN"
1995,"Japan",124.044113641071,"JPN"
1996,"Japan",124.352760142739,"JPN"
1997,"Japan",124.261962047689,"JPN"
1998,"Japan",132.425581433014,"JPN"
1999,"Japan",129.272609723332,"JPN"
2000,"Japan",126.484326366433,"JPN"
2001,"Japan",128.681992705069,"JPN"
2002,"Japan",129.762820514925,"JPN"
2003,"Japan",127.610086340285,"JPN"
2004,"Japan",129.963724424031,"JPN"
2005,"Japan",126.949481331251,"JPN"
2006,"Japan",127.444101382879,"JPN"
2007,"Japan",126.025105103988,"JPN"
2008,"Japan",131.543367027713,"JPN"
2009,"Japan",140.367861333139,"JPN"
2010,"Japan",132.198957128077,"JPN"
2011,"Japan",129.641527565209,"JPN"
2012,"Japan",127.311368314807,"JPN"
2013,"Japan",127.002641229602,"JPN"
2014,"Japan",129.408629535893,"JPN"
