"year","country","overshoot_day","country_3_code"
1961,"Jordan",616.867833682083,"JOR"
1962,"Jordan",751.453876907484,"JOR"
1963,"Jordan",658.840284738122,"JOR"
1964,"Jordan",562.478102565944,"JOR"
1965,"Jordan",612.321406216067,"JOR"
1966,"Jordan",717.673048739945,"JOR"
1967,"Jordan",766.583128444589,"JOR"
1968,"Jordan",1005.15661555223,"JOR"
1969,"Jordan",869.211310391784,"JOR"
1970,"Jordan",1109.02935246714,"JOR"
1971,"Jordan",951.711465676217,"JOR"
1972,"Jordan",888.209659936801,"JOR"
1973,"Jordan",1135.77431266834,"JOR"
1974,"Jordan",947.019952124458,"JOR"
1975,"Jordan",1006.79572029529,"JOR"
1976,"Jordan",746.377522093278,"JOR"
1977,"Jordan",703.287593224074,"JOR"
1978,"Jordan",625.114438224516,"JOR"
1979,"Jordan",609.208350436024,"JOR"
1980,"Jordan",612.470690952691,"JOR"
1981,"Jordan",531.074679721713,"JOR"
1982,"Jordan",460.041847011366,"JOR"
1983,"Jordan",459.553222834882,"JOR"
1984,"Jordan",521.043923766997,"JOR"
1985,"Jordan",516.350209715052,"JOR"
1986,"Jordan",533.059530745505,"JOR"
1987,"Jordan",493.955384836368,"JOR"
1988,"Jordan",529.987984097901,"JOR"
1989,"Jordan",776.31641570709,"JOR"
1990,"Jordan",485.318024403073,"JOR"
1991,"Jordan",445.055500203162,"JOR"
1992,"Jordan",384.167314776713,"JOR"
1993,"Jordan",356.591371122122,"JOR"
1994,"Jordan",372.595714366494,"JOR"
1995,"Jordan",400.324944543436,"JOR"
1996,"Jordan",416.99699225847,"JOR"
1997,"Jordan",400.198227497898,"JOR"
1998,"Jordan",357.565704304187,"JOR"
1999,"Jordan",391.288696869109,"JOR"
2000,"Jordan",369.275939208931,"JOR"
2001,"Jordan",341.750288516694,"JOR"
2002,"Jordan",351.388797036847,"JOR"
2003,"Jordan",330.455956182629,"JOR"
2004,"Jordan",276.045963883177,"JOR"
2005,"Jordan",269.777862261927,"JOR"
2006,"Jordan",270.856583254499,"JOR"
2007,"Jordan",261.490799341987,"JOR"
2008,"Jordan",286.785588116687,"JOR"
2009,"Jordan",291.073631388358,"JOR"
2010,"Jordan",310.57767894799,"JOR"
2011,"Jordan",303.263057245855,"JOR"
2012,"Jordan",270.556335598952,"JOR"
2013,"Jordan",289.981224103966,"JOR"
2014,"Jordan",287.420114630849,"JOR"
