"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Kenya",1961,8361440.42735377,1.828742661,1.715980076,0.112762585,"KEN",1.06571320961123,664.828625463081
"Kenya",1962,8628969.72708122,1.790068163,1.688889214,0.101178949,"KEN",1.05990858370105,666.785734836838
"Kenya",1963,8908419.91766008,1.756950884,1.619780068,0.137170816,"KEN",1.08468481616733,681.934798214276
"Kenya",1964,9200160.15900358,1.701008963,1.668382008,0.032626955,"KEN",1.01955604891446,652.415460841702
"Kenya",1965,9504700.19592736,1.646508118,1.65383744,-0.00732932199999992,"KEN",-1.00445140835382,646.759678536112
"Kenya",1966,9822499.99821067,1.604570156,1.658444603,-0.0538744469999999,"KEN",-1.03357562127417,639.12014239125
"Kenya",1967,10154500.0022117,1.570414313,1.595132016,-0.0247177030000001,"KEN",-1.01573959804276,654.110457930754
"Kenya",1968,10502299.7994336,1.5560457,1.573706362,-0.0176606619999999,"KEN",-1.01134973092371,651.048690041548
"Kenya",1969,10867700.1943399,1.51177308,1.558760778,-0.0469876979999999,"KEN",-1.03108119903815,644.883774832546
"Kenya",1970,11252500.0014071,1.468858798,1.595492102,-0.126633304,"KEN",-1.08621203072753,620.761143179587
"Kenya",1971,11657500.0030183,1.412455562,1.603552528,-0.191096966,"KEN",-1.13529412564315,610.457959387049
"Kenya",1972,12083200.1940067,1.386440123,1.562238761,-0.175798638,"KEN",-1.12679860995367,611.566511131333
"Kenya",1973,12529799.8023236,1.369730757,1.571752708,-0.202021951,"KEN",-1.14749025567623,602.840240271259
"Kenya",1974,12997400.3869088,1.336783107,1.576332268,-0.239549161,"KEN",-1.17919824705146,586.201219577877
"Kenya",1975,13486200.1943056,1.291182884,1.539534829,-0.248351945,"KEN",-1.19234449576965,590.572910829947
"Kenya",1976,13995999.9992708,1.298629117,1.524891722,-0.226262605,"KEN",-1.17423186998918,589.907417487419
"Kenya",1977,14527200.1995532,1.267072089,1.545957886,-0.278885797,"KEN",-1.22010255943685,572.236364984454
"Kenya",1978,15081599.6128445,1.212569264,1.619773065,-0.407203801,"KEN",-1.33581903601944,544.460146683508
"Kenya",1979,15661400.3839575,1.145404845,1.54698873,-0.401583885,"KEN",-1.35060428633596,559.119495110081
"Kenya",1980,16267900.3977252,1.074974056,1.504878923,-0.429904867,"KEN",-1.39992112925962,564.690462106286
"Kenya",1981,16901199.2160054,1.047346664,1.479952062,-0.432605398,"KEN",-1.41304895171958,569.762462649974
"Kenya",1982,17559800.7771052,1.071233056,1.51362523,-0.442392174,"KEN",-1.41297468918668,553.011329386562
"Kenya",1983,18241300.7846405,1.049604558,1.519332946,-0.469728388,"KEN",-1.44752886744318,537.733619903183
"Kenya",1984,18942599.6098349,0.921508486,1.389131481,-0.467622995,"KEN",-1.50745382714814,588.027166960076
"Kenya",1985,19660699.2225919,0.941314947,1.41956197,-0.478247023,"KEN",-1.50806273713171,569.721488860649
"Kenya",1986,20393699.2275856,0.965665753,1.447828774,-0.482163021,"KEN",-1.49930635936917,550.570062637931
"Kenya",1987,21140300.7801564,0.90198163,1.40884826,-0.50686663,"KEN",-1.56194788579009,556.66765998511
