"year","country","overshoot_day","country_3_code"
1992,"Kazakhstan",72.0936771038746,"KAZ"
1993,"Kazakhstan",92.3163930262883,"KAZ"
1994,"Kazakhstan",101.008083616295,"KAZ"
1995,"Kazakhstan",118.87144069113,"KAZ"
1996,"Kazakhstan",171.943892820102,"KAZ"
1997,"Kazakhstan",155.75555524569,"KAZ"
1998,"Kazakhstan",198.232291505851,"KAZ"
1999,"Kazakhstan",284.756466204192,"KAZ"
2000,"Kazakhstan",294.614021312304,"KAZ"
2001,"Kazakhstan",205.241029166105,"KAZ"
2002,"Kazakhstan",188.209262027597,"KAZ"
2003,"Kazakhstan",162.016268903709,"KAZ"
2004,"Kazakhstan",161.515623874798,"KAZ"
2005,"Kazakhstan",141.093754160629,"KAZ"
2006,"Kazakhstan",125.207582761483,"KAZ"
2007,"Kazakhstan",112.179155954877,"KAZ"
2008,"Kazakhstan",107.572199674948,"KAZ"
2009,"Kazakhstan",109.79805128695,"KAZ"
2010,"Kazakhstan",112.122812064172,"KAZ"
2011,"Kazakhstan",90.0152210684162,"KAZ"
2012,"Kazakhstan",110.830514456943,"KAZ"
2013,"Kazakhstan",94.7532793135755,"KAZ"
2014,"Kazakhstan",105.60981043032,"KAZ"
