country,year,overshoot_day
Kyrgyzstan,1992,234.90417164882501
Kyrgyzstan,1993,276.40593050999399
Kyrgyzstan,1994,482.35159897403503
Kyrgyzstan,1995,552.80450594300396
Kyrgyzstan,1996,428.75048546795
Kyrgyzstan,1997,438.14846946978798
Kyrgyzstan,1998,409.20134526638401
Kyrgyzstan,1999,433.75422423509701
Kyrgyzstan,2000,459.50885057337302
Kyrgyzstan,2001,493.33638463946897
Kyrgyzstan,2002,477.129990600349
Kyrgyzstan,2003,444.17989112867701
Kyrgyzstan,2004,459.35566025806099
Kyrgyzstan,2005,428.21749698615298
Kyrgyzstan,2006,409.20569116856302
Kyrgyzstan,2007,352.185981286323
Kyrgyzstan,2008,317.64270050515103
Kyrgyzstan,2009,325.57734288564097
Kyrgyzstan,2010,306.74783353867502
Kyrgyzstan,2011,281.04519402864298
Kyrgyzstan,2012,233.89146837940999
Kyrgyzstan,2013,239.56765165527801
Kyrgyzstan,2014,230.22848039438199
