"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Lao People's Democratic Republic",1961,2169290.03887121,3.82342321,1.560618934,2.262804276,"LAO",2.44994034738398,731.012991836123
"Lao People's Democratic Republic",1962,2219959.96093506,3.711905964,1.56982687,2.142079094,"LAO",2.36453201305188,717.357580176515
"Lao People's Democratic Republic",1963,2272080.07802922,3.56375492,1.55891349,2.00484143,"LAO",2.28605045757831,708.56042727515
"Lao People's Democratic Republic",1964,2325739.99018585,3.521113732,1.621970599,1.899143133,"LAO",2.17088628486854,671.083810884118
"Lao People's Democratic Republic",1965,2381060.05795639,3.441944105,1.645191444,1.796752661,"LAO",2.09212381611039,650.158604752614
"Lao People's Democratic Republic",1966,2437530.0301059,3.373092131,1.685666716,1.687425415,"LAO",2.00104334385914,628.798889424582
"Lao People's Democratic Republic",1967,2495090.08799878,3.295808508,1.73627511,1.559533398,"LAO",1.89820640173899,600.937330138525
"Lao People's Democratic Republic",1968,2554840.08779549,3.185780473,1.628672657,1.557107816,"LAO",1.95605935434418,629.076357840344
"Lao People's Democratic Republic",1969,2618249.99973288,3.13796235,1.655633953,1.482328397,"LAO",1.89532369472963,607.150824859238
"Lao People's Democratic Republic",1970,2686020.01935014,3.039852337,1.682428838,1.357423499,"LAO",1.80682376573677,588.684347254398
"Lao People's Democratic Republic",1971,2759629.88252333,2.929043831,1.584029604,1.345014227,"LAO",1.84910927800844,617.981751679388
"Lao People's Democratic Republic",1972,2837969.97143074,2.832249741,1.562854813,1.269394928,"LAO",1.81222832728927,611.325461885519
"Lao People's Democratic Republic",1973,2916149.9027716,2.758595119,1.532182958,1.226412161,"LAO",1.80043449118023,618.40901205339
"Lao People's Democratic Republic",1974,2987540.03974181,2.677041469,1.419588637,1.257452832,"LAO",1.88578681880088,650.926554862444
"Lao People's Democratic Republic",1975,3047860.10622609,2.598890043,1.339328912,1.259561131,"LAO",1.94044199300112,678.853079448969
"Lao People's Democratic Republic",1976,3094939.94126474,2.504930131,1.310791089,1.194139042,"LAO",1.91100636096782,686.261086678876
"Lao People's Democratic Republic",1977,3131489.9893253,2.475362128,1.346196725,1.129165403,"LAO",1.8387819031201,657.150124580605
"Lao People's Democratic Republic",1978,3164149.90286837,2.428924387,1.38073969,1.048184697,"LAO",1.7591472092821,638.716985989466
"Lao People's Democratic Republic",1979,3202270.0195494,2.449738594,1.404653718,1.045084876,"LAO",1.74401604466638,615.775646969071
"Lao People's Democratic Republic",1980,3252699.95159682,2.429879163,1.396583833,1.03329533,"LAO",1.73987351134962,608.478174711034
"Lao People's Democratic Republic",1981,3317570.06830982,2.378279319,1.39777419,0.980505129,"LAO",1.70147604670339,603.25992073684
"Lao People's Democratic Republic",1982,3395110.10622424,2.28814902,1.376840011,0.911309009,"LAO",1.661884474594,607.951456992098
"Lao People's Democratic Republic",1983,3483489.98930357,2.20246954,1.364359322,0.838110218,"LAO",1.61428850889938,598.813215957849
"Lao People's Democratic Republic",1984,3579370.11693046,2.19299717,1.375634593,0.817362577,"LAO",1.59417127920452,593.796536144119
"Lao People's Democratic Republic",1985,3680149.90304619,2.139360537,1.379394517,0.75996602,"LAO",1.55094176466558,586.311585387646
"Lao People's Democratic Republic",1986,3785229.98011671,2.085337535,1.37350526,0.711832275,"LAO",1.51825954366539,580.362662674108
"Lao People's Democratic Republic",1987,3895070.06818573,1.979655592,1.305782989,0.673872603,"LAO",1.51606782290779,600.605373507696
"Lao People's Democratic Republic",1988,4009120.11828569,1.864134652,1.201672353,0.662462299,"LAO",1.55128356946536,635.414529579775
"Lao People's Democratic Republic",1989,4126939.94191361,1.891413766,1.226899364,0.664514402,"LAO",1.54162091040227,621.083506736575
"Lao People's Democratic Republic",1990,4247839.84484598,1.879369819,1.277984822,0.601384997,"LAO",1.47057290509245,594.692411466866
"Lao People's Democratic Republic",1991,4371549.80527899,1.754748342,1.211355688,0.543392654,"LAO",1.44858222898526,612.525160706306
