"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Saint Lucia",1961,90913.0020714754,0.947909781,0.70297237,0.244937411,"LCA",0.348431005257105,1622.86981850923
"Saint Lucia",1962,92085.9985106212,0.956006467,0.735694648,0.220311819,"LCA",0.299461039947826,1530.69932317024
"Saint Lucia",1963,93397.0031513755,0.942214583,0.765203014,0.177011569,"LCA",0.231326301648059,1443.51814570121
"Saint Lucia",1964,94813.0035320116,0.942580009,0.760587815,0.181992194,"LCA",0.239278371280738,1431.10132898529
"Saint Lucia",1965,96303.0014301312,0.982071022,0.850714922,0.1313561,"LCA",0.154406746608059,1257.33702933262
"Saint Lucia",1966,97876.9989415931,0.986702344,0.862099476,0.124602868,"LCA",0.144534174999522,1229.49305607995
"Saint Lucia",1967,99526.0009594218,0.968107605,0.946080185,0.02202742,"LCA",0.0232828147127484,1102.85842889429
"Saint Lucia",1968,101180.999727451,0.957940967,1.01475197,-0.0568110030000001,"LCA",-0.0593053557360639,1009.66491342712
"Saint Lucia",1969,102747.001678165,0.955550341,1.144757364,-0.189207023,"LCA",-0.198008469129947,878.107054616987
"Saint Lucia",1970,104162.002617276,0.912085263,1.327009425,-0.414924162,"LCA",-0.454918150963211,746.354547247367
"Saint Lucia",1971,105388.999947007,0.887395951,1.277310701,-0.38991475,"LCA",-0.439392077459898,766.376878327254
"Saint Lucia",1972,106458.000232867,0.87858051,1.330150494,-0.451569984,"LCA",-0.513976789674062,718.274309914555
"Saint Lucia",1973,107460.998573295,0.881882039,1.436357519,-0.55447548,"LCA",-0.628741072899047,659.665699740489
"Saint Lucia",1974,108533.99659286,0.790629954,1.277045811,-0.486415857,"LCA",-0.615225681749091,723.58244059845
"Saint Lucia",1975,109769.996640857,0.748912991,1.263494938,-0.514581947,"LCA",-0.687105066771508,719.597323392441
"Saint Lucia",1976,111210.998605302,0.733251456,1.315888006,-0.58263655,"LCA",-0.794593085433475,683.602954578961
"Saint Lucia",1977,112825.996394233,0.729896481,1.369645824,-0.639749343,"LCA",-0.876493225450272,645.899347929954
"Saint Lucia",1978,114551.002512398,0.775681977,1.802085195,-1.026403218,"LCA",-1.32322684613609,489.378581889469
"Saint Lucia",1979,116291.999810054,0.782976724,1.920232345,-1.137255621,"LCA",-1.4524768756854,450.441095530473
"Saint Lucia",1980,117984.001132808,0.742708569,1.42428334,-0.681574771,"LCA",-0.917687983592272,596.644474771978
"Saint Lucia",1981,119593.002288885,0.648861731,1.410011222,-0.761149491,"LCA",-1.17305341771351,598.024436330718
"Saint Lucia",1982,121150.001477442,0.697848069,1.440766949,-0.74291888,"LCA",-1.06458534735218,580.976620190955
"Saint Lucia",1983,122737.99894466,0.717768135,1.340002591,-0.622234456,"LCA",-0.866901754652972,609.697608165089
