"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Sri Lanka",1961,10129099.6124142,0.534483658,0.803330545,-0.268846887,"LKA",-0.50300291687121,1420.12869075057
"Sri Lanka",1962,10366200.2011812,0.54767502,0.82189575,-0.27422073,"LKA",-0.500699812819653,1370.15814690865
"Sri Lanka",1963,10608700.2009262,0.525080566,0.816401605,-0.291321039,"LKA",-0.554812054843317,1352.99148806788
"Sri Lanka",1964,10858799.8032367,0.530931626,0.85278117,-0.321849544,"LKA",-0.606197769758038,1276.38626577368
"Sri Lanka",1965,11117700.194807,0.510470352,0.814910274,-0.304439922,"LKA",-0.596391053858466,1312.58047072788
"Sri Lanka",1966,11385900.3953219,0.518522376,0.856254943,-0.337732567,"LKA",-0.651336437975927,1237.88529432065
"Sri Lanka",1967,11661700.1963601,0.545500045,0.892603746,-0.347103701,"LKA",-0.636303608038166,1168.93143393871
"Sri Lanka",1968,11940599.6139259,0.55843076,0.90672744,-0.34829668,"LKA",-0.623706043700028,1129.95315927367
"Sri Lanka",1969,12217200.196425,0.552693514,0.926918775,-0.374225261,"LKA",-0.677093693392564,1084.4742266151
"Sri Lanka",1970,12487499.9999161,0.558875212,0.893651594,-0.334776382,"LKA",-0.599018142171667,1108.28369795343
"Sri Lanka",1971,12749200.2074013,0.547786468,0.807484029,-0.259697561,"LKA",-0.474085331096257,1212.28579999108
"Sri Lanka",1972,13003400.3836665,0.528281931,0.818340303,-0.290058372,"LKA",-0.549059798429978,1167.50077256369
"Sri Lanka",1973,13253099.6113673,0.512922435,0.827904839,-0.314982404,"LKA",-0.614093545994985,1144.47431071181
"Sri Lanka",1974,13502900.3871088,0.519477744,0.802231017,-0.282753273,"LKA",-0.544302937792869,1151.8476806805
"Sri Lanka",1975,13755999.9884268,0.511186756,0.755541874,-0.244355118,"LKA",-0.478015393043435,1203.38468079666
"Sri Lanka",1976,14013599.5995605,0.511604611,0.76929471,-0.257690099,"LKA",-0.503689929611854,1169.31122064795
"Sri Lanka",1977,14274000.0040565,0.509358479,0.834715411,-0.325356932,"LKA",-0.638758227800586,1059.82629422555
"Sri Lanka",1978,14534099.6091452,0.535323862,0.840295174,-0.304971312,"LKA",-0.569695025362778,1049.5143844925
"Sri Lanka",1979,14789299.8082195,0.565631689,0.922587651,-0.356955962,"LKA",-0.631074984500957,937.527717836472
"Sri Lanka",1980,15036599.6205972,0.550526629,0.929510865,-0.378984236,"LKA",-0.688403156810053,914.234315547026
"Sri Lanka",1981,15274099.6228707,0.550350414,0.886878619,-0.336528205,"LKA",-0.611479856987842,950.774044046164
"Sri Lanka",1982,15503299.8059134,0.558886313,0.876985367,-0.318099054,"LKA",-0.569166008020486,954.465016230601
"Sri Lanka",1983,15727700.2017454,0.55779414,0.917663728,-0.359869588,"LKA",-0.645165544406759,890.300422861883
"Sri Lanka",1984,15952299.8102897,0.540975256,0.867255838,-0.326280582,"LKA",-0.603133939988309,941.875580976224
"Sri Lanka",1985,16180799.7995024,0.552282226,0.874799344,-0.322517118,"LKA",-0.583971477771429,924.503456015568
"Sri Lanka",1986,16413699.2273134,0.559132588,0.867410791,-0.308278203,"LKA",-0.551350816449458,918.977712872609
"Sri Lanka",1987,16648999.9970619,0.498713999,0.838631936,-0.339917937,"LKA",-0.681588846513232,935.166294574533
"Sri Lanka",1988,16883300.7828406,0.487171239,0.87183524,-0.384664001,"LKA",-0.789586758036045,875.807839319862
"Sri Lanka",1989,17111800.7752138,0.477759826,0.857221811,-0.379461985,"LKA",-0.794252564096902,888.926275282546
"Sri Lanka",1990,17330800.7919659,0.503929963,0.898411386,-0.394481423,"LKA",-0.782810055587884,845.946369925849
"Sri Lanka",1991,17540800.7775369,0.468080441,0.977431189,-0.509350748,"LKA",-1.08816928987676,759.11823237789
"Sri Lanka",1992,17741800.7748323,0.452781633,1.023575256,-0.570793623,"LKA",-1.26063787084295,725.490238085073
"Sri Lanka",1993,17929800.7731905,0.46509572,1.078843307,-0.613747587,"LKA",-1.31961562664993,677.006150629104
"Sri Lanka",1994,18099599.6045775,0.482912908,1.147002124,-0.664089216,"LKA",-1.37517381757303,632.968508279104
"Sri Lanka",1995,18248400.3888147,0.47645658,1.15097501,-0.67451843,"LKA",-1.41569756471828,617.805804496188
"Sri Lanka",1996,18373499.996985,0.44575237,1.200000588,-0.754248218,"LKA",-1.69207901238977,593.466325016837
"Sri Lanka",1997,18478000.0011801,0.453155142,1.177829495,-0.724674353,"LKA",-1.59917497570479,599.196417312523
"Sri Lanka",1998,18572300.7857866,0.471082056,1.173939793,-0.702857737,"LKA",-1.49200701890452,597.007475881642
"Sri Lanka",1999,18670800.7816583,0.484690668,1.235246724,-0.750556056,"LKA",-1.54852584639189,561.413283427513
"Sri Lanka",2000,18783699.2121986,0.483764015,1.251597619,-0.767833604,"LKA",-1.58720693174343,546.643090283171
"Sri Lanka",2001,18914900.3904714,0.4619839,1.187816684,-0.725832784,"LKA",-1.57112141786759,571.990579501871
"Sri Lanka",2002,19061099.6067802,0.459402228,1.233102764,-0.773700536,"LKA",-1.68414630899811,543.942982584258
"Sri Lanka",2003,19216999.996984,0.45725468,1.318622281,-0.861367601,"LKA",-1.88378087240135,501.24719996014
"Sri Lanka",2004,19374300.7769524,0.447035454,1.315639735,-0.868604281,"LKA",-1.94303214655571,506.657160683886
"Sri Lanka",2005,19526400.3809809,0.445943977,1.273277629,-0.827333652,"LKA",-1.85524114486308,514.052212761773
"Sri Lanka",2006,19672400.3919162,0.460628791,1.322880734,-0.862251943,"LKA",-1.87190190608798,489.736137593511
"Sri Lanka",2007,19813800.7745141,0.447163299,1.34395747,-0.896794171,"LKA",-2.00551834195695,478.032765299498
"Sri Lanka",2008,19949599.6139696,0.486314682,1.349922597,-0.863607915,"LKA",-1.77582120284751,477.767145231141
"Sri Lanka",2009,20078900.3960622,0.474604996,1.305428428,-0.830823432,"LKA",-1.75055762160112,485.657704080132
"Sri Lanka",2010,20201300.7776302,0.503033853,1.420831322,-0.917797469,"LKA",-1.82452423430352,442.559101513318
"Sri Lanka",2011,20315699.2218782,0.473539202,1.514711779,-1.041172577,"LKA",-2.19870414107216,411.503664568402
"Sri Lanka",2012,20421900.3886018,0.467806847,1.498609262,-1.030802415,"LKA",-2.20347874341729,408.988617073176
"Sri Lanka",2013,20522000.0092381,0.512146191,1.44402553,-0.931879339,"LKA",-1.81955724399707,427.356342325672
"Sri Lanka",2014,20618999.9964693,0.481395207,1.531969411,-1.050574204,"LKA",-2.18235281152881,400.755942644807
