"year","country","overshoot_day","country_3_code"
1961,"Liberia",923.573851522351,"LBR"
1962,"Liberia",1112.17326295425,"LBR"
1963,"Liberia",1052.10976901764,"LBR"
1964,"Liberia",1077.52267762954,"LBR"
1965,"Liberia",1018.57895336261,"LBR"
1966,"Liberia",940.381565372641,"LBR"
1967,"Liberia",950.128454429283,"LBR"
1968,"Liberia",890.851636066483,"LBR"
1969,"Liberia",831.898356985765,"LBR"
1970,"Liberia",752.733909905065,"LBR"
1971,"Liberia",675.08581268999,"LBR"
1972,"Liberia",687.566273608479,"LBR"
1973,"Liberia",685.943099584406,"LBR"
1974,"Liberia",675.982742120321,"LBR"
1975,"Liberia",720.514483457688,"LBR"
1976,"Liberia",752.782848778237,"LBR"
1977,"Liberia",564.317623309459,"LBR"
1978,"Liberia",611.276163035942,"LBR"
1979,"Liberia",557.736995884122,"LBR"
1980,"Liberia",569.202295897763,"LBR"
1981,"Liberia",620.725553612489,"LBR"
1982,"Liberia",755.299174998224,"LBR"
1983,"Liberia",760.308596471316,"LBR"
1984,"Liberia",746.92616255225,"LBR"
1985,"Liberia",728.04341719942,"LBR"
1986,"Liberia",640.256817286522,"LBR"
1987,"Liberia",564.675646657364,"LBR"
1988,"Liberia",530.729385853985,"LBR"
1989,"Liberia",485.075646825736,"LBR"
1990,"Liberia",612.248527954903,"LBR"
1991,"Liberia",668.704706340132,"LBR"
1992,"Liberia",618.866808193562,"LBR"
1993,"Liberia",556.278485760159,"LBR"
1994,"Liberia",645.079671975125,"LBR"
1995,"Liberia",714.321469120942,"LBR"
1996,"Liberia",703.580600003111,"LBR"
1997,"Liberia",628.384712472211,"LBR"
1998,"Liberia",583.179596537069,"LBR"
1999,"Liberia",559.376754894813,"LBR"
2000,"Liberia",536.644522591706,"LBR"
2001,"Liberia",556.323625533077,"LBR"
2002,"Liberia",532.098921040828,"LBR"
2003,"Liberia",518.003418730037,"LBR"
2004,"Liberia",515.263914671631,"LBR"
2005,"Liberia",496.492948498273,"LBR"
2006,"Liberia",500.982795442176,"LBR"
2007,"Liberia",501.79001778757,"LBR"
2008,"Liberia",529.534051479732,"LBR"
2009,"Liberia",534.424759830983,"LBR"
2010,"Liberia",503.498031316989,"LBR"
2011,"Liberia",525.244964998476,"LBR"
2012,"Liberia",512.52415137104,"LBR"
2013,"Liberia",500.148222169167,"LBR"
2014,"Liberia",513.681808245013,"LBR"
