"year","country","overshoot_day","country_3_code"
1992,"Lithuania",193.359103835579,"LTU"
1993,"Lithuania",208.9785950631,"LTU"
1994,"Lithuania",259.180636704481,"LTU"
1995,"Lithuania",217.117050928735,"LTU"
1996,"Lithuania",187.932731176809,"LTU"
1997,"Lithuania",182.576641519562,"LTU"
1998,"Lithuania",174.628432308302,"LTU"
1999,"Lithuania",213.058835435631,"LTU"
2000,"Lithuania",189.691675348256,"LTU"
2001,"Lithuania",183.175914068845,"LTU"
2002,"Lithuania",158.460424486254,"LTU"
2003,"Lithuania",155.377398145446,"LTU"
2004,"Lithuania",138.960055072403,"LTU"
2005,"Lithuania",141.241091161896,"LTU"
2006,"Lithuania",135.012887080611,"LTU"
2007,"Lithuania",125.341882040098,"LTU"
2008,"Lithuania",125.74177616168,"LTU"
2009,"Lithuania",140.170582841386,"LTU"
2010,"Lithuania",127.502868860118,"LTU"
2011,"Lithuania",119.672186491187,"LTU"
2012,"Lithuania",113.954462023682,"LTU"
2013,"Lithuania",120.530086404532,"LTU"
2014,"Lithuania",105.909876719963,"LTU"
