country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Mexico,1961,39394101.5686745,3.462281345,1.846638945,1.6156424,MEX,-0.8749097404094875,617.7887248042917
Mexico,1962,40649601.5631557,3.346012477,1.783702512,1.562309965,MEX,-0.8758803413066,631.3425171966738
Mexico,1963,41939898.4384779,3.25027353,1.826784949,1.423488581,MEX,-0.7792316122262948,604.6603602016855
Mexico,1964,43264300.7722524,3.211852682,1.926782153,1.285070529,MEX,-0.6669516462975044,564.9202132913622
Mexico,1965,44623000.0138005,3.112842241,1.882256488,1.230585753,MEX,-0.6537821815705704,568.2728922306816
Mexico,1966,46011000.000389,3.05332428,1.915317205,1.138007075,MEX,-0.594161150972379,553.4045999795752
Mexico,1967,47429601.5568253,2.943025445,1.936742474,1.006282971,MEX,-0.5195750000368917,538.7358014707686
Mexico,1968,48893601.5681065,2.866220069,1.942720577,0.923499492,MEX,-0.4753640348145652,527.3838606694138
Mexico,1969,50423101.5631727,2.748719585,1.920582883,0.828136702,MEX,-0.43119029609720827,523.3929494868459
Mexico,1970,52029898.4578981,2.701534229,2.055205931,0.646328298,MEX,-0.3144834725566972,481.90767646686885
Mexico,1971,53719499.9784285,2.589281267,2.042901383,0.546379884,MEX,-0.2674528925119438,479.17211614814113
Mexico,1972,55480101.5758401,2.486564168,2.065810924,0.420753244,MEX,-0.2036746147054454,462.48808759310936
Mexico,1973,57283398.4266958,2.427752183,2.197901002,0.229851181,MEX,-0.10457758597445686,431.1002976544439
Mexico,1974,59090499.9924555,2.348253188,2.272724753,0.0755284350000003,MEX,-0.033232548244261716,406.58152571749997
Mexico,1975,60872398.4584976,2.286083326,2.257795232,0.0282880940000001,MEX,-0.012529078633469316,402.6970861484691
Mexico,1976,62620101.5830828,2.173696995,2.166070116,0.00762687899999959,MEX,-0.0035210674592952955,415.2889256423418
Mexico,1977,64337699.2032185,2.155768248,2.226019004,-0.0702507559999996,MEX,0.031558920150171206,397.4149947125339
Mexico,1978,66025601.5685791,2.133778556,2.272674966,-0.13889641,MEX,0.061115826978313116,388.0457608853003
Mexico,1979,67688499.9975187,2.020729279,2.30924698,-0.288517701,MEX,0.12494016599298527,374.55999331600293
Mexico,1980,69331000.0219362,2.020785336,2.632861895,-0.612076559,MEX,0.2324757558162769,322.76313522368946
Mexico,1981,70950703.1189274,2.013203024,2.750739277,-0.737536253,MEX,0.2681229221419955,306.5434638244344
Mexico,1982,72548000.0152759,1.903504557,2.499620142,-0.596115585,MEX,0.23848246978960372,334.8716407125227
Mexico,1983,74133398.4475747,1.922246758,2.410200852,-0.487954094,MEX,0.2024537057129876,338.97439012449126
Mexico,1984,75721203.1031975,1.876953572,2.426180735,-0.549227163,MEX,0.22637520572019548,336.68022356290277
Mexico,1985,77322601.5515105,1.88918645,2.510379523,-0.621193073,MEX,0.24744986457571583,322.1644281950199
Mexico,1986,78939398.4287295,1.812666557,2.29533867,-0.482672113,MEX,0.21028361492293424,347.2826006484359
