country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Mongolia,1961,982179.992759116,53.05643884,7.128422356,45.928016484,MNG,-6.442942658320791,160.03999583484278
Mongolia,1962,1011330.01712031,51.71559005,6.608873597,45.106716453,MNG,-6.825174636941994,170.39624214934298
Mongolia,1963,1042380.00483084,50.0687159,7.381581202,42.687134698,MNG,-5.782925572428053,149.64062383341388
Mongolia,1964,1074520.01958455,48.52225636,7.738859869,40.783396491,MNG,-5.2699489564823905,140.6509777221836
Mongolia,1965,1107130.00485001,46.96524022,6.926287757,40.038952463,MNG,-5.7807232196691425,154.43125900356034
Mongolia,1966,1139959.96095449,45.55062417,7.453103744,38.097520426,MNG,-5.111631574519514,142.21529601151263
Mongolia,1967,1173189.94148013,44.28768619,7.138911385,37.148774805,MNG,-5.203703029996358,146.15569020509207
Mongolia,1968,1207109.98533134,42.80789669,6.975910257,35.831986433,MNG,-5.136532024196308,146.8710815031552
Mongolia,1969,1242209.96095608,41.31238199,6.61100114,34.70138085,MNG,-5.249035677824736,152.05254598505513
Mongolia,1970,1278819.946292,40.34146691,6.212990265,34.128476645,MNG,-5.493083875772015,159.41108099428385
Mongolia,1971,1317050.04873486,39.20799416,6.437584344,32.770409816,MNG,-5.090482402229478,152.06036011365322
Mongolia,1972,1356670.04406099,37.9731407,6.172802072,31.800338628,MNG,-5.1516860992914735,154.77783298285232
Mongolia,1973,1397310.0586745,37.01279044,6.306589084,30.706201356,MNG,-4.868907890939419,150.24219277501365
Mongolia,1974,1438420.04410798,36.07412302,5.990603211,30.083519809,MNG,-5.0217847434395875,154.24956149991706
Mongolia,1975,1479650.02438647,35.24133705,6.218519565,29.022817485,MNG,-4.667158667209242,146.20964580701815
Mongolia,1976,1520859.98527468,32.00826272,6.096453177,25.911809543,MNG,-4.250308956813956,147.552174220742
Mongolia,1977,1562209.96095426,31.321159,6.376220382,24.944938618,MNG,-3.9121826291354815,138.74258943668255
Mongolia,1978,1603910.03420079,30.42602784,6.17563524,24.2503926,MNG,-3.926785125346878,142.80343172148508
Mongolia,1979,1646290.0382502,29.48376073,6.364933345,23.118827385,MNG,-3.632218301729914,135.89326079583583
Mongolia,1980,1689619.99457289,28.60157967,6.485897264,22.115682406,MNG,-3.409810779574506,131.02131010538818
Mongolia,1981,1733479.98041197,27.94660832,6.341367829,21.605240491,MNG,-3.4070315858663935,132.9714944305864
Mongolia,1982,1777729.98092125,27.33127776,6.678765576,20.652512184,MNG,-3.092264872750491,125.33032811407546
Mongolia,1983,1823209.96053364,26.82954203,6.156762662,20.672779368,MNG,-3.357735307159709,132.69902056725363
Mongolia,1984,1871089.96651184,25.86020442,5.688174428,20.172029992,MNG,-3.546310023951326,143.60443316927837
Mongolia,1985,1921890.01495889,25.29750156,6.545760721,18.751740839,MNG,-2.864715292577222,123.55400895880598
Mongolia,1986,1976310.05902177,24.46316524,6.186311487,18.276853753,MNG,-2.9544024401951354,128.85403412113985
Mongolia,1987,2033339.96629935,22.82697818,6.662007094,16.164971086,MNG,-2.42644159003653,117.72132251780397
Mongolia,1988,2089719.97023827,22.27938985,6.785512505,15.493877345,MNG,-2.2833761390290155,112.5279929489482
Mongolia,1989,2141010.01024655,21.77956924,6.70455614,15.0750131,MNG,-2.2484729466371505,113.65509817495598
Mongolia,1990,2184149.90145827,21.15083947,6.355590846,14.795248624,MNG,-2.327910808373016,119.58099356081892
Mongolia,1991,2217919.92122015,20.73989351,6.827183094,13.912710416,MNG,-2.0378405301927596,108.68111107419983
Mongolia,1992,2243510.00931442,20.36543719,6.519442369,13.845994821,MNG,-2.123800478218477,113.90450939408561
Mongolia,1993,2263199.95145157,19.72349353,6.301682249,13.421811281,MNG,-2.1298775074115928,115.90294884515123
Mongolia,1994,2280500.00007279,19.38118288,5.694629011,13.686553869,MNG,-2.403414488031168,127.4913972850558
Mongolia,1995,2298040.03856836,19.09581822,6.293661345,12.802156875,MNG,-2.0341350087371124,112.98336563329202
Mongolia,1996,2316570.06785045,18.86678996,6.513939211,12.352850749,MNG,-1.896371818782083,109.32861425848125
Mongolia,1997,2335689.94080994,19.59236676,6.563471496,13.028895264,MNG,-1.9850616052709678,107.52712441960021
Mongolia,1998,2355590.08838977,19.36324968,7.021327994,12.341921686,MNG,-1.757775978639177,99.8174187041255
Mongolia,1999,2376169.92247313,19.23910246,7.065171039,12.173931421,MNG,-1.7230908287710884,98.15528961577859
Mongolia,2000,2397439.94095096,19.02884966,7.489161786,11.539687874,MNG,-1.5408517273017017,91.35564140902923
Mongolia,2001,2419729.98042833,18.79002842,6.826520791,11.963507629,MNG,-1.7525043862420426,99.52653518246072
Mongolia,2002,2443499.99985419,18.55491075,6.079901179,12.475009571,MNG,-2.051844134258091,110.32047936321729
Mongolia,2003,2469040.03890095,16.93330914,6.002410239,10.930898901,MNG,-1.82108494184181,110.1150560619799
Mongolia,2004,2496620.11740087,16.64338405,6.187220824,10.456163226,MNG,-1.6899612157757378,107.73468354079105
Mongolia,2005,2526449.95065944,16.29104765,6.849232531,9.441815119,MNG,-1.3785216192129306,95.56270249841862
Mongolia,2006,2558479.98065603,16.39935733,7.376599439,9.022757891,MNG,-1.223159528399601,87.82671382629236
Mongolia,2007,2592780.02963635,16.3469455,7.781678507,8.565266993,MNG,-1.1006965894691134,82.56004410488046
Mongolia,2008,2629669.92140311,16.36212544,8.19170987,8.17041557,MNG,-0.9974005060801792,78.73187341326626
Mongolia,2009,2669570.0680368,16.40779159,8.334998248,8.072793342,MNG,-0.9685416963269408,76.06376682660832
Mongolia,2010,2712659.91160494,16.31097418,7.416254752,8.894719428,MNG,-1.1993546237878747,84.78697678105667
Mongolia,2011,2759070.06806724,15.96298051,7.954221701,8.008758809,MNG,-1.006856372634565,78.36209248039943
Mongolia,2012,2808340.08814644,15.60537818,8.641681231,6.963696949,MNG,-0.8058266398463502,70.92533628063019
Mongolia,2013,2859169.92209559,15.24483752,9.187027482,6.057810038,MNG,-0.6593873861669592,67.17226610076001
Mongolia,2014,2909870.11730099,14.95869314,9.49986957,5.45882357,MNG,-0.5746208966108994,64.62676508738603
