"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Martinique",1961,288483.001786719,0.599961831,1.315210936,-0.715249105,"MTQ",-1.19215762442754,867.414261245098
"Martinique",1962,294963.989188194,0.603879277,1.291260254,-0.687380977,"MTQ",-1.13827555070278,872.114806193608
"Martinique",1963,300958.00776478,0.601271908,1.436323327,-0.835051419,"MTQ",-1.38880825149474,769.036062873171
"Martinique",1964,306369.99514566,0.528378865,1.48541311,-0.957034245,"MTQ",-1.8112651970974,732.778114983637
"Martinique",1965,311128.997718091,0.576651145,1.557578188,-0.980927043,"MTQ",-1.70107533818323,686.729786777319
"Martinique",1966,315174.987850385,0.602763758,1.594924987,-0.992161229,"MTQ",-1.64602005933469,664.57378804646
"Martinique",1967,318502.014214636,0.561858868,1.746169667,-1.184310799,"MTQ",-2.1078439680057,597.532143055741
"Martinique",1968,321180.999842898,0.551029557,1.700579244,-1.149549687,"MTQ",-2.08618506782104,602.476785691604
"Martinique",1969,323322.998118106,0.516388966,1.776996053,-1.260607087,"MTQ",-2.4411968559282,565.684724218022
"Martinique",1970,325016.998271797,0.474529898,1.819815883,-1.345285985,"MTQ",-2.83498679429895,544.241590553198
"Martinique",1971,326338.012617035,0.498128211,1.86652571,-1.368397499,"MTQ",-2.74707888958949,524.451062699003
"Martinique",1972,327303.985616542,0.519238501,2.218783871,-1.69954537,"MTQ",-3.27314981458424,430.602066505891
"Martinique",1973,327897.003189386,0.50373804,2.307806762,-1.804068722,"MTQ",-3.58136296397231,410.569799566844
"Martinique",1974,328072.998076588,0.508009999,2.291135326,-1.783125327,"MTQ",-3.51002007834491,403.314425263318
"Martinique",1975,327841.003386719,0.486342106,2.028113589,-1.541771483,"MTQ",-3.17013776577973,448.302081382424
"Martinique",1976,327171.997112144,0.510522606,2.15019052,-1.639667914,"MTQ",-3.21174392256594,418.355919949884
"Martinique",1977,326200.012263762,0.516328385,2.136081878,-1.619753493,"MTQ",-3.1370607182766,414.147664054922
"Martinique",1978,325292.999182165,0.53409071,2.051450436,-1.517359726,"MTQ",-2.84101494669323,429.891894836941
"Martinique",1979,324933.013937837,0.46105896,2.387354471,-1.926295511,"MTQ",-4.17798092460886,362.305447676497
"Martinique",1980,325459.014891251,0.403172591,2.524562595,-2.121390004,"MTQ",-5.26174165262574,336.60910664485
"Martinique",1981,326999.999983552,0.455043756,2.553524246,-2.09848049,"MTQ",-4.61160139851165,330.218586963069
"Martinique",1982,329449.005079961,0.480255325,2.673163266,-2.192907941,"MTQ",-4.56612937538871,313.131593586146
"Martinique",1983,332609.985308399,0.48558813,2.237898371,-1.752310241,"MTQ",-3.60863489393779,365.073043599745
"Martinique",1984,336173.004145035,0.503992694,3.255479225,-2.751486531,"MTQ",-5.45937781359487,250.914538320503
"Martinique",1985,339885.986329532,0.508436596,2.874775969,-2.366339373,"MTQ",-4.65414842283187,281.327997788349
"Martinique",1986,343747.009173681,0.509437007,2.927786192,-2.418349185,"MTQ",-4.74710149150726,272.264140429721
"Martinique",1987,347768.005305117,0.47832339,3.207402964,-2.729079574,"MTQ",-5.70551151596413,244.515667795721
"Martinique",1988,351722.991856936,0.479324724,3.223123126,-2.743798402,"MTQ",-5.72429976071336,236.900695091354
"Martinique",1989,355346.008262726,0.49002213,2.991294086,-2.501271956,"MTQ",-5.10440614182057,254.741578825365
"Martinique",1990,358458.00771129,0.49273766,3.081215694,-2.588478034,"MTQ",-5.25325797098602,246.658441513848
"Martinique",1991,360903.015230816,0.476158799,2.799485716,-2.323326917,"MTQ",-4.87931106177183,265.043627411635
"Martinique",1992,362761.993340451,0.487115364,2.95082739,-2.463712026,"MTQ",-5.05775888487688,251.656158572677
"Martinique",1993,364381.988700098,0.462572625,2.91443773,-2.451865105,"MTQ",-5.30049750241384,250.608736520599
"Martinique",1994,366259.002643202,0.422163822,3.029073033,-2.606909211,"MTQ",-6.17511273230378,239.682638295611
"Martinique",1995,368735.992221395,0.430895222,3.175508409,-2.744613187,"MTQ",-6.36956051635941,223.926044670516
"Martinique",1996,371924.011159275,0.488485992,3.432811259,-2.944325267,"MTQ",-6.02745087939984,207.456770519253
"Martinique",1997,375657.012878701,0.499277218,3.427225056,-2.927947838,"MTQ",-5.86437306312513,205.924967287675
"Martinique",1998,379666.992096361,0.484532498,3.105190924,-2.620658426,"MTQ",-5.40863285744506,225.702979109916
"Martinique",1999,383554.992668519,0.491596577,3.196001044,-2.704404467,"MTQ",-5.50126776715981,216.98488382513
"Martinique",2000,387018.005319959,0.512138928,3.331605833,-2.819466905,"MTQ",-5.50527738635296,205.359583614304
"Martinique",2001,390015.014504275,0.481691133,3.342613188,-2.860922055,"MTQ",-5.9393289430096,203.260120726801
"Martinique",2002,392601.013275449,0.504292886,3.47369119,-2.969398304,"MTQ",-5.88824147411636,193.090743030066
"Martinique",2003,394684.997606269,0.46866499,3.494765538,-3.026100548,"MTQ",-6.45685206825455,189.127349368649
"Martinique",2004,396182.006746926,0.457647217,3.761601147,-3.30395393,"MTQ",-7.21943395613765,177.205997436836
"Martinique",2005,397055.999691593,0.425512974,3.767697839,-3.342184865,"MTQ",-7.85448403605653,173.721779846568
"Martinique",2006,397223.998953668,0.41345474,3.929636271,-3.516181531,"MTQ",-8.50439291130149,164.865762390021
"Martinique",2007,396747.985723194,0.368417827,3.841613762,-3.473195935,"MTQ",-9.42732866647632,167.2358945009
"Martinique",2008,395920.013390069,0.381899856,3.890303993,-3.508404137,"MTQ",-9.18671229677853,165.783616623534
"Martinique",2009,395138.000498284,0.392160496,3.863586122,-3.471425626,"MTQ",-8.85205317720678,164.094016070976
"Martinique",2010,394690.002509657,0.396161743,4.212164439,-3.816002696,"MTQ",-9.63243613580655,149.282355534366
"Martinique",2011,394697.998059617,0.408202422,4.617101328,-4.208898906,"MTQ",-10.3108131500053,135.00016914617
"Martinique",2012,395079.986503335,0.374348611,4.560086637,-4.185738026,"MTQ",-11.1813904958803,134.40844415981
"Martinique",2013,395661.987201778,0.378160179,4.524249354,-4.146089175,"MTQ",-10.9638439985934,136.401290323429
"Martinique",2014,396175.994898047,0.376130593,4.467807219,-4.091676626,"MTQ",-10.8783404455352,137.415473299743
