"year","country","overshoot_day","country_3_code"
1961,"Malaysia",806.586368956482,"MYS"
1962,"Malaysia",796.849821877002,"MYS"
1963,"Malaysia",734.755531648758,"MYS"
1964,"Malaysia",773.890460549651,"MYS"
1965,"Malaysia",729.310686789835,"MYS"
1966,"Malaysia",696.003292953422,"MYS"
1967,"Malaysia",652.295630546947,"MYS"
1968,"Malaysia",660.109616125656,"MYS"
1969,"Malaysia",651.092080405237,"MYS"
1970,"Malaysia",551.181945150238,"MYS"
1971,"Malaysia",544.617029341244,"MYS"
1972,"Malaysia",515.796883894319,"MYS"
1973,"Malaysia",477.881138390705,"MYS"
1974,"Malaysia",454.156868226767,"MYS"
1975,"Malaysia",474.836945073799,"MYS"
1976,"Malaysia",444.883310894069,"MYS"
1977,"Malaysia",412.116644847692,"MYS"
1978,"Malaysia",379.926499310301,"MYS"
1979,"Malaysia",366.215141211986,"MYS"
1980,"Malaysia",363.42621309722,"MYS"
1981,"Malaysia",332.10103980528,"MYS"
1982,"Malaysia",340.568352665005,"MYS"
1983,"Malaysia",332.399447918996,"MYS"
1984,"Malaysia",312.67170792683,"MYS"
1985,"Malaysia",364.179758160383,"MYS"
1986,"Malaysia",370.559116729254,"MYS"
1987,"Malaysia",368.502675464596,"MYS"
1988,"Malaysia",299.547336625546,"MYS"
1989,"Malaysia",294.291840910414,"MYS"
1990,"Malaysia",269.926148415875,"MYS"
1991,"Malaysia",236.378460062518,"MYS"
1992,"Malaysia",218.299352970101,"MYS"
1993,"Malaysia",204.289861230073,"MYS"
1994,"Malaysia",203.718581490916,"MYS"
1995,"Malaysia",190.27835579036,"MYS"
1996,"Malaysia",184.996043268665,"MYS"
1997,"Malaysia",173.915787937926,"MYS"
1998,"Malaysia",211.946358654439,"MYS"
1999,"Malaysia",177.86277285251,"MYS"
2000,"Malaysia",183.530261647211,"MYS"
2001,"Malaysia",201.804756415179,"MYS"
2002,"Malaysia",190.82722226786,"MYS"
2003,"Malaysia",189.578110875911,"MYS"
2004,"Malaysia",169.976194700362,"MYS"
2005,"Malaysia",160.222527778655,"MYS"
2006,"Malaysia",140.510411874977,"MYS"
2007,"Malaysia",149.646530564535,"MYS"
2008,"Malaysia",148.804848210707,"MYS"
2009,"Malaysia",168.348950261294,"MYS"
2010,"Malaysia",157.177821758738,"MYS"
2011,"Malaysia",154.54375558727,"MYS"
2012,"Malaysia",149.118850971663,"MYS"
2013,"Malaysia",141.2583922964,"MYS"
2014,"Malaysia",138.820376694347,"MYS"
