"year","country","overshoot_day","country_3_code"
1961,"Mali",849.598663843606,"MLI"
1962,"Mali",808.567053114743,"MLI"
1963,"Mali",769.096642877162,"MLI"
1964,"Mali",751.68087881959,"MLI"
1965,"Mali",682.619967133859,"MLI"
1966,"Mali",674.59209354553,"MLI"
1967,"Mali",642.556347648178,"MLI"
1968,"Mali",656.309245645105,"MLI"
1969,"Mali",603.394511601096,"MLI"
1970,"Mali",620.329952565475,"MLI"
1971,"Mali",616.813019276868,"MLI"
1972,"Mali",707.060201882624,"MLI"
1973,"Mali",714.062432559867,"MLI"
1974,"Mali",717.648586796519,"MLI"
1975,"Mali",657.296570450558,"MLI"
1976,"Mali",669.461388676773,"MLI"
1977,"Mali",666.008280068061,"MLI"
1978,"Mali",653.700928110572,"MLI"
1979,"Mali",659.669890385334,"MLI"
1980,"Mali",641.893496474506,"MLI"
1981,"Mali",631.555091043293,"MLI"
1982,"Mali",619.355018682127,"MLI"
1983,"Mali",692.500552056742,"MLI"
1984,"Mali",757.664075262711,"MLI"
1985,"Mali",669.047919230031,"MLI"
1986,"Mali",663.809707802627,"MLI"
1987,"Mali",678.592066034286,"MLI"
1988,"Mali",583.00740835101,"MLI"
1989,"Mali",611.843944269045,"MLI"
1990,"Mali",590.708183320278,"MLI"
1991,"Mali",495.98623386484,"MLI"
1992,"Mali",501.763345315897,"MLI"
1993,"Mali",533.438995676291,"MLI"
1994,"Mali",501.724809853373,"MLI"
1995,"Mali",501.776461897415,"MLI"
1996,"Mali",516.418304615591,"MLI"
1997,"Mali",484.167350103592,"MLI"
1998,"Mali",455.901406371737,"MLI"
1999,"Mali",445.875988188358,"MLI"
2000,"Mali",491.69223175337,"MLI"
2001,"Mali",463.819619263553,"MLI"
2002,"Mali",440.288186806874,"MLI"
2003,"Mali",405.306494496049,"MLI"
2004,"Mali",443.729689161309,"MLI"
2005,"Mali",411.317975365889,"MLI"
2006,"Mali",425.208455080501,"MLI"
2007,"Mali",413.14324168101,"MLI"
2008,"Mali",413.003928912155,"MLI"
2009,"Mali",382.689803750511,"MLI"
2010,"Mali",396.022356083879,"MLI"
2011,"Mali",367.806609306778,"MLI"
2012,"Mali",393.390335635961,"MLI"
2013,"Mali",400.990143117376,"MLI"
2014,"Mali",399.161569495374,"MLI"
