"year","country","overshoot_day","country_3_code"
1995,"Micronesia, Federated States of",441.87913447478,"FSM"
1996,"Micronesia, Federated States of",443.077127718956,"FSM"
1997,"Micronesia, Federated States of",437.89143503471,"FSM"
1998,"Micronesia, Federated States of",378.399218093078,"FSM"
1999,"Micronesia, Federated States of",345.829474506159,"FSM"
2000,"Micronesia, Federated States of",285.679694210878,"FSM"
2001,"Micronesia, Federated States of",278.680384791353,"FSM"
2002,"Micronesia, Federated States of",264.212861260136,"FSM"
2003,"Micronesia, Federated States of",209.298308649675,"FSM"
2004,"Micronesia, Federated States of",205.530245971029,"FSM"
2005,"Micronesia, Federated States of",213.753503995696,"FSM"
2006,"Micronesia, Federated States of",291.703004587318,"FSM"
2007,"Micronesia, Federated States of",241.081361523835,"FSM"
2008,"Micronesia, Federated States of",220.430701688095,"FSM"
2009,"Micronesia, Federated States of",173.366205366212,"FSM"
2010,"Micronesia, Federated States of",175.01505902714,"FSM"
2011,"Micronesia, Federated States of",144.098241049615,"FSM"
2012,"Micronesia, Federated States of",117.732423502391,"FSM"
2013,"Micronesia, Federated States of",132.181481648048,"FSM"
2014,"Micronesia, Federated States of",107.998070592777,"FSM"
