country,year,overshoot_day
Mozambique,1961,2888.1454976692999
Mozambique,1962,2910.6940525528398
Mozambique,1963,2876.9013249007799
Mozambique,1964,2763.92183877258
Mozambique,1965,2692.3716947329899
Mozambique,1966,2531.6441327521902
Mozambique,1967,2532.2723972838498
Mozambique,1968,2404.87038595678
Mozambique,1969,2254.0044142317902
Mozambique,1970,2196.4728541210202
Mozambique,1971,2087.6105323552601
Mozambique,1972,2137.5135209141199
Mozambique,1973,1985.0749077599201
Mozambique,1974,2008.1909439753299
Mozambique,1975,1995.81293835015
Mozambique,1976,1984.3506653167999
Mozambique,1977,1905.6642443035801
Mozambique,1978,1880.72679466607
Mozambique,1979,1873.62459190856
Mozambique,1980,1738.85802579706
Mozambique,1981,1720.62337086568
Mozambique,1982,1716.31519458705
Mozambique,1983,1691.64064077906
Mozambique,1984,1663.16747346904
Mozambique,1985,1643.38624082092
Mozambique,1986,1650.2631354798
Mozambique,1987,1591.8865193259701
Mozambique,1988,1605.88796026245
Mozambique,1989,1608.65301029334
Mozambique,1990,1579.6964602318999
Mozambique,1991,1567.86082767838
Mozambique,1992,1502.7687925661301
Mozambique,1993,1470.9206085703099
Mozambique,1994,1452.6941772211501
Mozambique,1995,1363.02846519843
Mozambique,1996,1311.61346261272
Mozambique,1997,1284.0048865942699
Mozambique,1998,1234.6685206792199
Mozambique,1999,1245.39618990995
Mozambique,2000,1251.1500294377399
Mozambique,2001,1214.92956736527
Mozambique,2002,1201.3466475308801
Mozambique,2003,1098.24790050865
Mozambique,2004,1008.3152432238099
Mozambique,2005,1052.9162380984201
Mozambique,2006,1013.30825132291
Mozambique,2007,1035.5295772960101
Mozambique,2008,1016.70825206725
Mozambique,2009,979.09623192228298
Mozambique,2010,904.96891102178404
Mozambique,2011,766.35778838361796
Mozambique,2012,816.44523951719896
Mozambique,2013,809.17159463314704
Mozambique,2014,796.04714263102903
"Micronesia, Federated States of",1995,836.650215437116
"Micronesia, Federated States of",1996,834.61785818420401
"Micronesia, Federated States of",1997,830.59550152857798
"Micronesia, Federated States of",1998,726.43732793267202
"Micronesia, Federated States of",1999,674.03979565455995
"Micronesia, Federated States of",2000,565.56173384395004
"Micronesia, Federated States of",2001,558.31535956671598
"Micronesia, Federated States of",2002,536.12840098557501
"Micronesia, Federated States of",2003,429.28813680813403
"Micronesia, Federated States of",2004,418.13212925690902
"Micronesia, Federated States of",2005,439.27327367951199
"Micronesia, Federated States of",2006,605.93706231770204
"Micronesia, Federated States of",2007,506.92903060108802
"Micronesia, Federated States of",2008,465.89673121522202
"Micronesia, Federated States of",2009,375.325848563698
"Micronesia, Federated States of",2010,383.29713936112898
"Micronesia, Federated States of",2011,317.604881860045
"Micronesia, Federated States of",2012,262.66258299151701
"Micronesia, Federated States of",2013,295.19510759286601
"Micronesia, Federated States of",2014,245.90808581033599
