"year","country","overshoot_day","country_3_code"
1961,"Myanmar",1919.25987613359,"MMR"
1962,"Myanmar",1801.49990757171,"MMR"
1963,"Myanmar",1788.73033584522,"MMR"
1964,"Myanmar",1615.80655294166,"MMR"
1965,"Myanmar",1666.09105487386,"MMR"
1966,"Myanmar",1778.70573469199,"MMR"
1967,"Myanmar",1567.56178962882,"MMR"
1968,"Myanmar",1475.25633302713,"MMR"
1969,"Myanmar",1508.71304652692,"MMR"
1970,"Myanmar",1470.69976053939,"MMR"
1971,"Myanmar",1424.79626780278,"MMR"
1972,"Myanmar",1450.93769460999,"MMR"
1973,"Myanmar",1432.68137804902,"MMR"
1974,"Myanmar",1369.91996816703,"MMR"
1975,"Myanmar",1371.36270830686,"MMR"
1976,"Myanmar",1326.38929957815,"MMR"
1977,"Myanmar",1333.94473241632,"MMR"
1978,"Myanmar",1215.8195327735,"MMR"
1979,"Myanmar",1194.32150534969,"MMR"
1980,"Myanmar",1132.03804621083,"MMR"
1981,"Myanmar",1100.85008259626,"MMR"
1982,"Myanmar",1047.54557964918,"MMR"
1983,"Myanmar",1073.75324204493,"MMR"
1984,"Myanmar",1051.35575456866,"MMR"
1985,"Myanmar",1011.67784127441,"MMR"
1986,"Myanmar",1001.03457252165,"MMR"
1987,"Myanmar",1036.45462503737,"MMR"
1988,"Myanmar",1079.70380753231,"MMR"
1989,"Myanmar",1126.70584357175,"MMR"
1990,"Myanmar",942.840094365391,"MMR"
1991,"Myanmar",954.563196909726,"MMR"
1992,"Myanmar",896.482322002792,"MMR"
1993,"Myanmar",878.717126273915,"MMR"
1994,"Myanmar",839.306089941485,"MMR"
1995,"Myanmar",808.056883579127,"MMR"
1996,"Myanmar",769.683972558691,"MMR"
1997,"Myanmar",799.291727199142,"MMR"
1998,"Myanmar",786.020965413259,"MMR"
1999,"Myanmar",674.833038637703,"MMR"
2000,"Myanmar",643.717993179472,"MMR"
2001,"Myanmar",630.167058674639,"MMR"
2002,"Myanmar",603.540146712995,"MMR"
2003,"Myanmar",561.442026963876,"MMR"
2004,"Myanmar",522.803498949983,"MMR"
2005,"Myanmar",493.51767657012,"MMR"
2006,"Myanmar",459.880721127187,"MMR"
2007,"Myanmar",446.694785056892,"MMR"
2008,"Myanmar",439.128949610701,"MMR"
2009,"Myanmar",422.937425640392,"MMR"
2010,"Myanmar",403.757964463627,"MMR"
2011,"Myanmar",439.175385631678,"MMR"
2012,"Myanmar",443.860731878316,"MMR"
2013,"Myanmar",426.244321326761,"MMR"
2014,"Myanmar",396.432478678392,"MMR"
