"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Norway",1961,3610709.96062153,9.759564533,8.146320746,1.613243787,"NOR",1.1980334299876,140.042693286676
"Norway",1962,3638790.03884969,9.661703622,7.319237248,2.342466374,"NOR",1.32004242463955,153.858550489387
"Norway",1963,3666689.9412586,9.716623539,7.303629663,2.412993876,"NOR",1.33038282869133,151.237735347535
"Norway",1964,3694989.99027349,9.691516826,7.758831863,1.932684963,"NOR",1.24909483217442,140.288928207093
"Norway",1965,3724060.05857743,9.691414719,9.16071315,0.530701569000001,"NOR",1.05793234808325,116.763327646949
"Norway",1966,3754010.00940542,9.640470695,9.977558892,-0.337088197,"NOR",-1.03496594936486,106.232933277898
"Norway",1967,3784580.07758782,9.682322932,10.47755674,-0.795233808000001,"NOR",-1.08213253944836,99.5835720917645
"Norway",1968,3815399.90209858,9.732290829,9.713579258,0.0187115710000008,"NOR",1.00192632699256,105.477029484899
"Norway",1969,3845929.9315097,9.636484754,9.523577476,0.112907278,"NOR",1.01185555008084,105.550624097405
"Norway",1970,3875719.97090893,9.685482952,11.39230752,-1.706824568,"NOR",-1.17622503274346,86.9375672952999
"Norway",1971,3904750.00058463,9.660874109,11.60552994,-1.944655831,"NOR",-1.20129190877118,84.3478406720576
"Norway",1972,3932949.95280292,9.654912886,11.1074672,-1.452554314,"NOR",-1.15044716887135,86.0153728358523
"Norway",1973,3959709.96116447,9.682159113,10.32358027,-0.641421157,"NOR",-1.0662477431648,91.7817024501664
"Norway",1974,3984290.03741722,9.697833391,10.29978583,-0.601952439,"NOR",-1.06207081373668,89.7152557017254
"Norway",1975,4006219.97074826,9.519851437,9.986151465,-0.466300028000001,"NOR",-1.04898186310353,91.0468410338057
"Norway",1976,4025300.05037029,9.474089705,10.59491527,-1.120825565,"NOR",-1.11830430408707,84.9034559714696
"Norway",1977,4041790.03797396,9.559524109,10.85390136,-1.294377251,"NOR",-1.13540185422473,81.5055615960359
"Norway",1978,4056280.02730626,9.516002683,10.0101595,-0.494156817,"NOR",-1.05192903329447,88.100684072017
"Norway",1979,4069629.88287266,9.55433157,9.840484541,-0.286152971,"NOR",-1.02995007321062,87.8972514905135
"Norway",1980,4082520.01935798,9.506178716,9.383877852,0.122300864000001,"NOR",1.01303307878718,90.5585910761904
"Norway",1981,4095179.93192045,9.482986342,9.396064527,0.0869218150000002,"NOR",1.0092508773221,89.7419502707756
"Norway",1982,4107649.90233112,9.456608725,8.825434519,0.631174206000001,"NOR",1.07151763802677,94.8454021209947
"Norway",1983,4120390.13644608,9.349314386,7.817551502,1.531762884,"NOR",1.19593895735768,104.507962647256
"Norway",1984,4133830.07837892,9.421997288,8.051691511,1.370305777,"NOR",1.17018856099988,101.450367352003
"Norway",1985,4148350.09774198,9.333113998,7.86255788,1.470556118,"NOR",1.18703278483965,102.861560634104
"Norway",1986,4164169.92181523,9.178516122,8.793544384,0.384971737999999,"NOR",1.04377890216828,90.649589840588
"Norway",1987,4181330.0783531,9.210672344,9.180731234,0.0299411100000011,"NOR",1.00326130232415,85.4245995607626
"Norway",1988,4199819.82412996,9.082744144,9.25870928,-0.175965136,"NOR",-1.01937356786536,82.469389416406
"Norway",1989,4219529.78504815,9.087939086,8.713951064,0.373988022000001,"NOR",1.04291830258263,87.4467819500387
"Norway",1990,4240379.88266212,9.147392905,6.589356582,2.558036323,"NOR",1.38820729629354,115.338705835104
"Norway",1991,4262370.11680409,9.07821968,6.522067821,2.556151859,"NOR",1.3919235368881,113.765429549046
"Norway",1992,4285500.0002852,8.962411607,6.407875195,2.554536412,"NOR",1.3986557681398,115.887695205893
"Norway",1993,4309609.86286906,9.040549524,6.82164344,2.218906084,"NOR",1.32527442287587,107.068562051338
"Norway",1994,4334430.17580137,8.923714788,7.065017289,1.858697499,"NOR",1.26308463391873,102.762127451549
"Norway",1995,4359790.03953202,8.893797313,7.22619079,1.667606523,"NOR",1.2307725544695,98.4030252605563
"Norway",1996,4385950.1947337,8.879011236,6.877957763,2.001053473,"NOR",1.29093714997786,103.542354694296
"Norway",1997,4412959.9608755,8.799671101,7.149942202,1.649728899,"NOR",1.23073317991298,98.7072618020604
"Norway",1998,4440109.86300446,8.788058658,7.700152423,1.087906235,"NOR",1.14128373095577,91.0177877563826
"Norway",1999,4466470.2147431,8.692262642,6.197069379,2.495193263,"NOR",1.40264084181468,111.905137885014
"Norway",2000,4491569.82355303,8.679673231,6.344268514,2.335404717,"NOR",1.36811253023103,107.841775589258
"Norway",2001,4514910.15643365,8.613553711,6.612395513,2.001158198,"NOR",1.30263740425085,102.74944421806
"Norway",2002,4537240.23477032,8.547579674,6.067492133,2.480087541,"NOR",1.40875002869802,110.546104355867
"Norway",2003,4560950.19502583,8.52360123,6.096063316,2.427537914,"NOR",1.39821402937204,108.423371469912
"Norway",2004,4589240.23395387,8.479973391,6.460058955,2.019914436,"NOR",1.31267739040773,103.184549070682
"Norway",2005,4624390.1366748,8.352900971,6.284509728,2.068391243,"NOR",1.32912532062764,104.149917652287
"Norway",2006,4667100.09777682,8.2378115,6.511384625,1.726426875,"NOR",1.26513975230399,99.4968849659103
"Norway",2007,4716580.07869875,8.162268761,6.722734278,1.439534483,"NOR",1.21412931045036,95.5646454999716
"Norway",2008,4771629.88271865,8.104788315,6.630550411,1.474237904,"NOR",1.22234020270776,97.2692503604226
"Norway",2009,4830370.11809348,7.910025315,5.686987659,2.223037656,"NOR",1.39089896747974,111.481049903625
"Norway",2010,4891249.99981476,7.855476168,6.61309746,1.242378708,"NOR",1.18786637729143,95.0843116300644
"Norway",2011,4953939.94236442,7.657679229,5.638805037,2.018874192,"NOR",1.35803228343594,110.539282075723
"Norway",2012,5018370.11776326,7.556870985,5.354712815,2.20215817,"NOR",1.41125607707663,114.462561865129
"Norway",2013,5083450.19495686,7.434588425,5.579332322,1.855256103,"NOR",1.33252296695072,110.607044485413
"Norway",2014,5147970.21385965,7.411597687,6.032746434,1.378851253,"NOR",1.2285611226754,101.768879427784
