"year","country","overshoot_day","country_3_code"
1961,"Namibia",571.071303975545,"NAM"
1962,"Namibia",384.188635546924,"NAM"
1963,"Namibia",543.00084577106,"NAM"
1964,"Namibia",530.896260993581,"NAM"
1965,"Namibia",501.980141394384,"NAM"
1966,"Namibia",400.163152316947,"NAM"
1967,"Namibia",552.881758336431,"NAM"
1968,"Namibia",637.74964133142,"NAM"
1969,"Namibia",564.099250289235,"NAM"
1970,"Namibia",720.870903375372,"NAM"
1971,"Namibia",906.158460023272,"NAM"
1972,"Namibia",908.398989666553,"NAM"
1973,"Namibia",869.840132687033,"NAM"
1974,"Namibia",801.481526855444,"NAM"
1975,"Namibia",478.349610980732,"NAM"
1976,"Namibia",625.068828616844,"NAM"
1977,"Namibia",405.544731898207,"NAM"
1978,"Namibia",445.210286489361,"NAM"
1979,"Namibia",466.028070163344,"NAM"
1980,"Namibia",473.274595890505,"NAM"
1981,"Namibia",666.417066595137,"NAM"
1982,"Namibia",468.415373996806,"NAM"
1983,"Namibia",463.121314103849,"NAM"
1984,"Namibia",401.431904743952,"NAM"
1985,"Namibia",480.33637588969,"NAM"
1986,"Namibia",429.490664339413,"NAM"
1987,"Namibia",537.744551439272,"NAM"
1988,"Namibia",458.809480763755,"NAM"
1989,"Namibia",572.959684400829,"NAM"
1990,"Namibia",371.428240665314,"NAM"
1991,"Namibia",362.467218384449,"NAM"
1992,"Namibia",240.488185391737,"NAM"
1993,"Namibia",218.957771781984,"NAM"
1994,"Namibia",263.321502194405,"NAM"
1995,"Namibia",257.346544673376,"NAM"
1996,"Namibia",285.498107051176,"NAM"
1997,"Namibia",224.681755086985,"NAM"
1998,"Namibia",284.575161745839,"NAM"
1999,"Namibia",272.071934000186,"NAM"
2000,"Namibia",217.635195464201,"NAM"
2001,"Namibia",238.430220483011,"NAM"
2002,"Namibia",243.81579609172,"NAM"
2003,"Namibia",227.669561728723,"NAM"
2004,"Namibia",244.987726586672,"NAM"
2005,"Namibia",216.709739759043,"NAM"
2006,"Namibia",326.37990748419,"NAM"
2007,"Namibia",314.18478981745,"NAM"
2008,"Namibia",339.658105387636,"NAM"
2009,"Namibia",262.614361414703,"NAM"
2010,"Namibia",244.205823159959,"NAM"
2011,"Namibia",243.932483756354,"NAM"
2012,"Namibia",230.076695717838,"NAM"
2013,"Namibia",280.245186860703,"NAM"
2014,"Namibia",294.233443390537,"NAM"
