"year","country","overshoot_day","country_3_code"
1961,"Nepal",1325.89716159645,"NPL"
1962,"Nepal",1306.77764639952,"NPL"
1963,"Nepal",1318.31906396123,"NPL"
1964,"Nepal",1318.47972101119,"NPL"
1965,"Nepal",1260.75506787419,"NPL"
1966,"Nepal",1262.6269100926,"NPL"
1967,"Nepal",1253.53894947987,"NPL"
1968,"Nepal",1216.81724053055,"NPL"
1969,"Nepal",1159.02090645137,"NPL"
1970,"Nepal",1151.97464143881,"NPL"
1971,"Nepal",1128.32515166508,"NPL"
1972,"Nepal",1109.45205519127,"NPL"
1973,"Nepal",1092.14033670085,"NPL"
1974,"Nepal",1068.66017240847,"NPL"
1975,"Nepal",1055.39489552129,"NPL"
1976,"Nepal",1075.32290025241,"NPL"
1977,"Nepal",1095.66792906585,"NPL"
1978,"Nepal",1091.14692006627,"NPL"
1979,"Nepal",1093.71117587037,"NPL"
1980,"Nepal",1054.61247829992,"NPL"
1981,"Nepal",1071.44989291668,"NPL"
1982,"Nepal",1138.19700385832,"NPL"
1983,"Nepal",1018.93162732463,"NPL"
1984,"Nepal",1036.7836104978,"NPL"
1985,"Nepal",1018.76621244335,"NPL"
1986,"Nepal",1028.48382350984,"NPL"
1987,"Nepal",941.796042906881,"NPL"
1988,"Nepal",889.565946226497,"NPL"
1989,"Nepal",898.216719591954,"NPL"
1990,"Nepal",895.119215448769,"NPL"
1991,"Nepal",870.224225510269,"NPL"
1992,"Nepal",901.330190988294,"NPL"
1993,"Nepal",843.515317216092,"NPL"
1994,"Nepal",884.230276738705,"NPL"
1995,"Nepal",856.692071761377,"NPL"
1996,"Nepal",844.258985835026,"NPL"
1997,"Nepal",837.369662608367,"NPL"
1998,"Nepal",834.035335506005,"NPL"
1999,"Nepal",805.302970884766,"NPL"
2000,"Nepal",768.588321812308,"NPL"
2001,"Nepal",772.37816922789,"NPL"
2002,"Nepal",741.710573555462,"NPL"
2003,"Nepal",731.39407633251,"NPL"
2004,"Nepal",717.039838249819,"NPL"
2005,"Nepal",706.668512105866,"NPL"
2006,"Nepal",730.345845328817,"NPL"
2007,"Nepal",729.860225799504,"NPL"
2008,"Nepal",722.816701319411,"NPL"
2009,"Nepal",707.904018549799,"NPL"
2010,"Nepal",645.340217425874,"NPL"
2011,"Nepal",625.255267464332,"NPL"
2012,"Nepal",608.485483787477,"NPL"
2013,"Nepal",625.157790998875,"NPL"
2014,"Nepal",598.187235307637,"NPL"
