"year","country","overshoot_day","country_3_code"
1961,"Netherlands",323.014113425703,"NLD"
1962,"Netherlands",291.037623003015,"NLD"
1963,"Netherlands",265.965808873702,"NLD"
1964,"Netherlands",247.858884929073,"NLD"
1965,"Netherlands",246.944657191808,"NLD"
1966,"Netherlands",238.026781840566,"NLD"
1967,"Netherlands",226.13912565213,"NLD"
1968,"Netherlands",200.975457171667,"NLD"
1969,"Netherlands",181.708343121884,"NLD"
1970,"Netherlands",160.149265813463,"NLD"
1971,"Netherlands",157.059568898897,"NLD"
1972,"Netherlands",141.965498856393,"NLD"
1973,"Netherlands",133.927676747898,"NLD"
1974,"Netherlands",145.772473914339,"NLD"
1975,"Netherlands",151.725084870553,"NLD"
1976,"Netherlands",142.538327506235,"NLD"
1977,"Netherlands",135.960795516501,"NLD"
1978,"Netherlands",132.684524495865,"NLD"
1979,"Netherlands",123.862953636235,"NLD"
1980,"Netherlands",126.350666310292,"NLD"
1981,"Netherlands",146.722890461316,"NLD"
1982,"Netherlands",154.836815613773,"NLD"
1983,"Netherlands",155.487258371114,"NLD"
1984,"Netherlands",149.004446975771,"NLD"
1985,"Netherlands",140.279313436152,"NLD"
1986,"Netherlands",142.214453823498,"NLD"
1987,"Netherlands",140.170722470016,"NLD"
1988,"Netherlands",128.781638937834,"NLD"
1989,"Netherlands",132.540909857376,"NLD"
1990,"Netherlands",125.393230624369,"NLD"
1991,"Netherlands",124.300627336908,"NLD"
1992,"Netherlands",117.962561694008,"NLD"
1993,"Netherlands",127.514777202716,"NLD"
1994,"Netherlands",120.543151907406,"NLD"
1995,"Netherlands",111.823136809621,"NLD"
1996,"Netherlands",113.721754314033,"NLD"
1997,"Netherlands",128.499750257325,"NLD"
1998,"Netherlands",111.220713282286,"NLD"
1999,"Netherlands",108.007314985892,"NLD"
2000,"Netherlands",108.090756018527,"NLD"
2001,"Netherlands",103.022146278936,"NLD"
2002,"Netherlands",102.315939638243,"NLD"
2003,"Netherlands",99.8687533305438,"NLD"
2004,"Netherlands",102.801185054069,"NLD"
2005,"Netherlands",96.6349080105092,"NLD"
2006,"Netherlands",92.2128945198014,"NLD"
2007,"Netherlands",91.1859327620415,"NLD"
2008,"Netherlands",90.4768497438959,"NLD"
2009,"Netherlands",112.137030553316,"NLD"
2010,"Netherlands",96.6335571315125,"NLD"
2011,"Netherlands",99.1927199462547,"NLD"
2012,"Netherlands",96.3452965512825,"NLD"
2013,"Netherlands",109.30492852504,"NLD"
2014,"Netherlands",103.646318395233,"NLD"
