"year","country","overshoot_day","country_3_code"
1961,"Nicaragua",462.355589435958,"NIC"
1962,"Nicaragua",459.597126447977,"NIC"
1963,"Nicaragua",464.43718798313,"NIC"
1964,"Nicaragua",434.833732552387,"NIC"
1965,"Nicaragua",432.00892800427,"NIC"
1966,"Nicaragua",423.259516621566,"NIC"
1967,"Nicaragua",410.079848825961,"NIC"
1968,"Nicaragua",413.686787129916,"NIC"
1969,"Nicaragua",426.338054354523,"NIC"
1970,"Nicaragua",431.616930387772,"NIC"
1971,"Nicaragua",424.169295897686,"NIC"
1972,"Nicaragua",449.100087391133,"NIC"
1973,"Nicaragua",419.966080063854,"NIC"
1974,"Nicaragua",378.294302741388,"NIC"
1975,"Nicaragua",408.313041001913,"NIC"
1976,"Nicaragua",417.177673438256,"NIC"
1977,"Nicaragua",390.869109318709,"NIC"
1978,"Nicaragua",418.329702156594,"NIC"
1979,"Nicaragua",574.627100993337,"NIC"
1980,"Nicaragua",413.502104130547,"NIC"
1981,"Nicaragua",370.190405766211,"NIC"
1982,"Nicaragua",396.676221271729,"NIC"
1983,"Nicaragua",391.908390040657,"NIC"
1984,"Nicaragua",409.422284596757,"NIC"
1985,"Nicaragua",410.003868012598,"NIC"
1986,"Nicaragua",403.960815883913,"NIC"
1987,"Nicaragua",423.169713817753,"NIC"
1988,"Nicaragua",411.77595216636,"NIC"
1989,"Nicaragua",482.381637147852,"NIC"
1990,"Nicaragua",468.624608644059,"NIC"
1991,"Nicaragua",440.183759500975,"NIC"
1992,"Nicaragua",443.267038053396,"NIC"
1993,"Nicaragua",456.378531123412,"NIC"
1994,"Nicaragua",461.805712750106,"NIC"
1995,"Nicaragua",449.986305063402,"NIC"
1996,"Nicaragua",439.282060473723,"NIC"
1997,"Nicaragua",432.157807093712,"NIC"
1998,"Nicaragua",390.025507141025,"NIC"
1999,"Nicaragua",376.097923588964,"NIC"
2000,"Nicaragua",387.295463795875,"NIC"
2001,"Nicaragua",397.520180820953,"NIC"
2002,"Nicaragua",399.26798878957,"NIC"
2003,"Nicaragua",375.288955535759,"NIC"
2004,"Nicaragua",407.29372878648,"NIC"
2005,"Nicaragua",382.270383408609,"NIC"
2006,"Nicaragua",363.006048166883,"NIC"
2007,"Nicaragua",392.714437197313,"NIC"
2008,"Nicaragua",413.502614701644,"NIC"
2009,"Nicaragua",414.733500036441,"NIC"
2010,"Nicaragua",419.383055129108,"NIC"
2011,"Nicaragua",394.06807084598,"NIC"
2012,"Nicaragua",417.631949810524,"NIC"
2013,"Nicaragua",414.905109283851,"NIC"
2014,"Nicaragua",416.170593199609,"NIC"
