"year","country","overshoot_day","country_3_code"
1961,"Nigeria",1267.9641660457,"NGA"
1962,"Nigeria",1233.51394259856,"NGA"
1963,"Nigeria",1110.22176611806,"NGA"
1964,"Nigeria",1164.28831948476,"NGA"
1965,"Nigeria",1110.83816467974,"NGA"
1966,"Nigeria",1153.01413650521,"NGA"
1967,"Nigeria",1121.46755366276,"NGA"
1968,"Nigeria",1118.51885157117,"NGA"
1969,"Nigeria",1011.38488998983,"NGA"
1970,"Nigeria",950.903959650132,"NGA"
1971,"Nigeria",950.240238411297,"NGA"
1972,"Nigeria",1016.68890027757,"NGA"
1973,"Nigeria",974.363486961578,"NGA"
1974,"Nigeria",895.408134566234,"NGA"
1975,"Nigeria",913.018839122339,"NGA"
1976,"Nigeria",900.564288637076,"NGA"
1977,"Nigeria",858.689219492542,"NGA"
1978,"Nigeria",819.819564778372,"NGA"
1979,"Nigeria",788.918513784591,"NGA"
1980,"Nigeria",766.64018223783,"NGA"
1981,"Nigeria",727.676141532329,"NGA"
1982,"Nigeria",718.345944611866,"NGA"
1983,"Nigeria",763.889688829854,"NGA"
1984,"Nigeria",807.451977958186,"NGA"
1985,"Nigeria",799.166651216912,"NGA"
1986,"Nigeria",821.372258608857,"NGA"
1987,"Nigeria",781.01026634142,"NGA"
1988,"Nigeria",765.872281908086,"NGA"
1989,"Nigeria",733.461184633553,"NGA"
1990,"Nigeria",739.303364253476,"NGA"
1991,"Nigeria",707.679249024974,"NGA"
1992,"Nigeria",663.839678098689,"NGA"
1993,"Nigeria",646.95135220639,"NGA"
1994,"Nigeria",672.360535663045,"NGA"
1995,"Nigeria",635.940113721035,"NGA"
1996,"Nigeria",619.855257675943,"NGA"
1997,"Nigeria",596.658480414407,"NGA"
1998,"Nigeria",584.657666363256,"NGA"
1999,"Nigeria",591.594208525114,"NGA"
2000,"Nigeria",578.534526987945,"NGA"
2001,"Nigeria",568.64268342048,"NGA"
2002,"Nigeria",555.530166569252,"NGA"
2003,"Nigeria",524.257529067097,"NGA"
2004,"Nigeria",513.311869596481,"NGA"
2005,"Nigeria",493.313508251175,"NGA"
2006,"Nigeria",472.367754857182,"NGA"
2007,"Nigeria",505.402601362336,"NGA"
2008,"Nigeria",520.142565070181,"NGA"
2009,"Nigeria",542.97644539763,"NGA"
2010,"Nigeria",492.923792028277,"NGA"
2011,"Nigeria",531.849210066572,"NGA"
2012,"Nigeria",513.809756767966,"NGA"
2013,"Nigeria",537.76897708559,"NGA"
2014,"Nigeria",550.472909273214,"NGA"
