"year","country","overshoot_day","country_3_code"
1984,"Oman",416.891349861291,"OMN"
1985,"Oman",407.936179679924,"OMN"
1986,"Oman",375.156456431616,"OMN"
1987,"Oman",311.608076581839,"OMN"
1988,"Oman",321.454263437438,"OMN"
1989,"Oman",422.613250064049,"OMN"
1990,"Oman",320.600885761068,"OMN"
1991,"Oman",244.775561846685,"OMN"
1992,"Oman",258.663217285655,"OMN"
1993,"Oman",268.522978474564,"OMN"
1994,"Oman",257.782974665489,"OMN"
1995,"Oman",228.224727107467,"OMN"
1996,"Oman",234.176717520242,"OMN"
1997,"Oman",229.190137923434,"OMN"
1998,"Oman",228.776347755495,"OMN"
1999,"Oman",212.538650967957,"OMN"
2000,"Oman",200.977808619732,"OMN"
2001,"Oman",172.564388826759,"OMN"
2002,"Oman",153.012599518298,"OMN"
2003,"Oman",116.898408511769,"OMN"
2004,"Oman",131.090522529979,"OMN"
2005,"Oman",133.522538452833,"OMN"
2006,"Oman",105.497533529784,"OMN"
2007,"Oman",90.021956414326,"OMN"
2008,"Oman",92.1634638137527,"OMN"
2009,"Oman",106.132091719627,"OMN"
2010,"Oman",111.994589027382,"OMN"
2011,"Oman",95.5049514820183,"OMN"
2012,"Oman",92.4862445135228,"OMN"
2013,"Oman",107.83061851011,"OMN"
2014,"Oman",97.2087171512725,"OMN"
