"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Papua New Guinea",1961,925.446492769209,"PNG",1.1
"Papua New Guinea",1962,896.522231486661,"PNG",1.1
"Papua New Guinea",1963,868.447190683241,"PNG",1.1
"Papua New Guinea",1964,821.715634410956,"PNG",1.1
"Papua New Guinea",1965,781.956891352197,"PNG",1.1
"Papua New Guinea",1966,744.33820245413,"PNG",1.1
"Papua New Guinea",1967,735.499267216108,"PNG",1.1
"Papua New Guinea",1968,704.676970477579,"PNG",1.1
"Papua New Guinea",1969,683.532732020672,"PNG",1.1
"Papua New Guinea",1970,644.768445630462,"PNG",1.1
"Papua New Guinea",1971,605.671950308518,"PNG",1.1
"Papua New Guinea",1972,570.269771450581,"PNG",1.1
"Papua New Guinea",1973,533.791072207413,"PNG",1.1
"Papua New Guinea",1974,498.169856718132,"PNG",1.1
"Papua New Guinea",1975,526.843781647052,"PNG",1.1
"Papua New Guinea",1976,475.911342147842,"PNG",1.1
"Papua New Guinea",1977,513.178553050413,"PNG",1.1
"Papua New Guinea",1978,470.257968593649,"PNG",1.1
"Papua New Guinea",1979,471.323119945799,"PNG",1.1
"Papua New Guinea",1980,443.014339408655,"PNG",1.1
"Papua New Guinea",1981,485.424738658271,"PNG",1.1
"Papua New Guinea",1982,496.987618345238,"PNG",1.1
"Papua New Guinea",1983,477.25395186694,"PNG",1.1
"Papua New Guinea",1984,503.862540111404,"PNG",1.1
"Papua New Guinea",1985,469.447683769231,"PNG",1.1
"Papua New Guinea",1986,493.864814801628,"PNG",1.1
"Papua New Guinea",1987,461.040721841737,"PNG",1.1
"Papua New Guinea",1988,462.954855793941,"PNG",1.1
"Papua New Guinea",1989,466.245736386281,"PNG",1.1
"Papua New Guinea",1990,451.090892373027,"PNG",1.1
"Papua New Guinea",1991,470.477595854239,"PNG",1.1
"Papua New Guinea",1992,533.393087876717,"PNG",1.1
"Papua New Guinea",1993,512.3438616351,"PNG",1.1
"Papua New Guinea",1994,570.868079107285,"PNG",1.1
"Papua New Guinea",1995,607.210094547416,"PNG",1.1
"Papua New Guinea",1996,581.743460031738,"PNG",1.1
"Papua New Guinea",1997,637.698885913878,"PNG",1.1
"Papua New Guinea",1998,488.8467783422,"PNG",1.1
"Papua New Guinea",1999,505.375927621985,"PNG",1.1
"Papua New Guinea",2000,460.244523387888,"PNG",1.1
"Papua New Guinea",2001,381.99449014864,"PNG",1.1
"Papua New Guinea",2002,390.654200290234,"PNG",1.1
"Papua New Guinea",2003,462.420455805815,"PNG",1.1
"Papua New Guinea",2004,321.792162535901,"PNG",1.1
"Papua New Guinea",2005,315.511544049367,"PNG",1.1
"Papua New Guinea",2006,325.534826785032,"PNG",1.1
"Papua New Guinea",2007,315.08149641598,"PNG",1.1
"Papua New Guinea",2008,348.654141846977,"PNG",1.1
"Papua New Guinea",2009,330.307112682311,"PNG",1.1
"Papua New Guinea",2010,331.949411935358,"PNG",1.1
"Papua New Guinea",2011,374.328966294698,"PNG",1.1
"Papua New Guinea",2012,360.650909007104,"PNG",1.1
"Papua New Guinea",2013,367.477647370699,"PNG",1.1
"Papua New Guinea",2014,332.001306776632,"PNG",1.1
