country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Poland,1961,30138099.6098157,2.153286964,3.996881242,-1.843594278,POL,0.461258207681318,285.4307231360792
Poland,1962,30530500.0040433,1.997557156,3.973618047,-1.976060891,POL,0.4972951269163591,283.40097771854266
Poland,1963,30893800.778714,2.07457685,4.136765606,-2.062188756,POL,0.4985026835963304,267.01643807060276
Poland,1964,31229400.3940433,1.974510062,4.143226401,-2.168716339,POL,0.5234365996694178,262.71270413559836
Poland,1965,31539699.208523,2.076529704,4.307453432,-2.230923728,POL,0.5179217287473161,248.32197724414152
Poland,1966,31824099.6060796,2.064519135,4.393505954,-2.328986819,POL,0.5300975674972308,241.25273731275203
Poland,1967,32084999.9987273,2.109398001,4.521950703,-2.412552702,POL,0.53352034563301165,230.73947333835378
Poland,1968,32330599.6095829,2.120572594,4.698206734,-2.57763414,POL,0.5486421279306778,218.07458795501697
Poland,1969,32571699.2128358,2.149356469,4.928516242,-2.779159773,POL,0.5638938042481142,203.9598751374704
Poland,1970,32816800.7794471,2.100473625,5.039659515,-2.93918589,POL,0.5832112033068568,196.52508268266934
Poland,1971,33068999.9896104,2.152462248,5.177993113,-3.025530865,POL,0.5843056950778915,189.05034595739417
Poland,1972,33328699.2192968,2.190331477,5.359147359,-3.168815882,POL,0.5912910524242967,178.27703945407436
Poland,1973,33597800.7892495,2.208378595,5.545414507,-3.337035912,POL,0.6017649190673926,170.86473433410615
Poland,1974,33877398.4419778,2.214777393,5.686510035,-3.471732642,POL,0.6105207975773844,162.49824878880017
Poland,1975,34168101.5663587,2.136081304,5.755587571,-3.6195062670000002,POL,0.628868247133825,157.96954391937325
Poland,1976,34468898.4294129,2.126824635,6.019486266,-3.892661631,POL,0.6466767194049446,149.43881917216092
Poland,1977,34779300.7715005,2.025492326,5.97107298,-3.945580654,POL,0.6607825205311759,148.15650874055635
Poland,1978,35100898.4371067,2.074876116,6.216469977,-4.141593861,POL,0.666229206659611,141.86538334778416
Poland,1979,35435601.5702591,1.938691713,6.146961255,-4.208269542,POL,0.6846097392556284,140.71205245508867
Poland,1980,35782898.4316288,1.855794602,6.139187174,-4.283392572,POL,0.6977133048069534,138.42072798415398
Poland,1981,36145199.2134502,1.97006046,5.792004323,-3.821943863,POL,0.6598655059394712,145.58365453906862
Poland,1982,36517101.5646225,1.950535596,5.609845714,-3.659310118,POL,0.6523013830608176,149.2112134287401
Poland,1983,36879699.220539,1.955364102,5.467081011,-3.511716909,POL,0.6423385535963846,149.43923094517896
Poland,1984,37208499.9993356,2.053243987,5.610766368,-3.557522381,POL,0.634052845488219,145.58564770759304
Poland,1985,37486101.5560998,2.060225588,5.689767363,-3.629541775,POL,0.6379068850165218,142.14201026389935
Poland,1986,37703898.4416275,2.099609584,5.821668084,-3.7220585,POL,0.6393457075008332,136.92487778631693
Poland,1987,37867499.9938289,2.123468547,6.001363162,-3.877894615,POL,0.6461689636705241,130.68035716201945
Poland,1988,37990699.2293712,2.052583797,5.901934172,-3.849350375,POL,0.6522184529373636,129.37455364293962
Poland,1989,38094800.7710153,2.152810363,5.768423739,-3.615613376,POL,0.6267939977354705,132.09968986241424
Poland,1990,38195300.7854636,2.155564908,4.583974201,-2.428409293,POL,0.5297606806928014,165.7967146782807
Poland,1991,38297601.5665412,2.117946801,4.517092338,-2.399145537,POL,0.5311260779013104,164.261829410703
Poland,1992,38396800.7858851,1.814648934,4.281472483,-2.466823549,POL,0.5761624204744422,173.443572998542
Poland,1993,38485898.4411585,1.952891472,4.565802102,-2.61291063,POL,0.5722785551426863,159.9682889595675
Poland,1994,38553398.4276817,1.879486625,4.354551924,-2.475065299,POL,0.5683857586721476,166.72581356304426
Poland,1995,38591898.4309698,2.021523173,4.586618254,-2.565095081,POL,0.55925628403082706,155.0334013689345
Poland,1996,38599800.7809346,1.968213878,4.845396689,-2.877182811,POL,0.5937971637145352,146.97660278259568
Poland,1997,38583101.5660303,1.929339169,4.678545689,-2.74920652,POL,0.5876198936057884,150.84841783313135
Poland,1998,38550800.774542,2.072060718,4.58961831,-2.517557592,POL,0.5485331071027559,152.70351280301458
Poland,1999,38515398.4360332,2.000609529,4.447228105,-2.446618576,POL,0.5501446110329435,155.93621242184543
Poland,2000,38486300.7943061,1.887992256,4.283617482,-2.395625226,POL,0.5592528361989723,159.7194847240679
Poland,2001,38466499.9920829,2.017428216,4.360610059,-2.343181843,POL,0.5373518409801017,155.8084641814227
Poland,2002,38454800.7800274,1.984752378,4.276789591,-2.292037213,POL,0.5359247080621694,156.8320346797046
Poland,2003,38451199.2309059,1.872623178,4.19918464,-2.326561462,POL,0.5540507649599329,157.40097153147303
Poland,2004,38454499.9985308,2.047219768,4.522325832,-2.475106064,POL,0.5473082117361241,147.3972253137976
Poland,2005,38463500.0019512,1.958282852,4.400834838,-2.442551986,POL,0.5550201441120295,148.7288656552161
Poland,2006,38478800.7890472,1.80621443,4.480053678,-2.673839248,POL,0.5968319667976979,144.61042833370502
Poland,2007,38500398.4261882,2.025638927,4.924672519,-2.899033592,POL,0.588675405484358,130.4565369920538
Poland,2008,38525800.7773781,1.966301949,4.880985005,-2.914683056,POL,0.5971505860014418,132.13494138683072
Poland,2009,38551500.0028599,2.050775024,4.609858511,-2.559083487,POL,0.5551327618610288,137.52946203988694
Poland,2010,38574699.2175004,2.002760988,4.824091002,-2.821330014,POL,0.5848417894335568,130.3461778664623
Poland,2011,38594199.2227485,1.920112255,4.754868633,-2.834756378,POL,0.5961797468653641,131.08868170720845
Poland,2012,38609499.9982849,1.95419684,4.461157837,-2.506960997,POL,0.561952992608273,137.38903052028334
Poland,2013,38618699.2181551,1.945574318,4.310500275,-2.364925957,POL,0.5486430358712828,143.16515785998203
Poland,2014,38619999.9931167,2.075765392,4.442619659,-2.366854267,POL,0.53276094932078,138.19455241689943
