"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Korea, Democratic People's Republic of",1961,11665599.6150937,1.297842685,1.267142752,0.030699933,"PRK",1.02422764032594,900.318962633888
"Korea, Democratic People's Republic of",1962,11871700.1951736,1.295142941,1.337831965,-0.042689024,"PRK",-1.03296088692728,841.75533720228
"Korea, Democratic People's Republic of",1963,12065499.9944473,1.295466328,1.404087203,-0.108620875,"PRK",-1.08384692638056,786.692176700279
"Korea, Democratic People's Republic of",1964,12282400.387737,1.286974182,1.471003299,-0.184029117,"PRK",-1.14299363799202,739.956335509241
"Korea, Democratic People's Republic of",1965,12547499.9957797,1.229088091,1.639120093,-0.410032002,"PRK",-1.33360669046919,652.566791887306
"Korea, Democratic People's Republic of",1966,12864700.1919149,1.232456063,1.74684165,-0.514385587,"PRK",-1.41736623048452,606.77816975506
"Korea, Democratic People's Republic of",1967,13221799.8082073,1.172750733,1.795440218,-0.622689485,"PRK",-1.53096489652153,581.134655991327
"Korea, Democratic People's Republic of",1968,13608599.6101746,1.140939948,1.884013167,-0.743073219,"PRK",-1.65128164720676,543.817575285566
"Korea, Democratic People's Republic of",1969,14009200.1958983,1.155898052,2.004736443,-0.848838391,"PRK",-1.73435399428176,501.422306077248
"Korea, Democratic People's Republic of",1970,14410400.3904593,1.128694912,2.203290087,-1.074595175,"PRK",-1.95206878358298,449.518426978817
"Korea, Democratic People's Republic of",1971,14812400.3894014,1.11209859,2.882485061,-1.770386471,"PRK",-2.59193305874077,339.603277366464
"Korea, Democratic People's Republic of",1972,15214599.6120425,1.073674009,2.895684918,-1.822010909,"PRK",-2.69698704916961,329.943680153182
"Korea, Democratic People's Republic of",1973,15603000.0004005,1.074508238,2.963477071,-1.888968833,"PRK",-2.75798452694974,319.731094029713
"Korea, Democratic People's Republic of",1974,15960099.6078544,1.075201397,2.971158067,-1.89595667,"PRK",-2.76335028953645,311.005973300445
"Korea, Democratic People's Republic of",1975,16274700.1927737,1.055136735,2.931784153,-1.876647418,"PRK",-2.77858223380602,310.120897765941
