"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Portugal",1961,8899330.07911116,1.273928173,2.327474969,-1.053546796,"PRT",-0.827006463009606,490.158945296942
"Portugal",1962,8917019.53236794,1.299725538,2.394644989,-1.094919451,"PRT",-0.842423593522676,470.26896524537
"Portugal",1963,8924219.72557271,1.321717574,2.562860777,-1.241143203,"PRT",-0.939038156237872,430.99664860651
"Portugal",1964,8915540.03739065,1.260862156,2.458518647,-1.197656491,"PRT",-0.949871031104621,442.737431960043
"Portugal",1965,8888629.88221667,1.308677499,2.664950652,-1.356273153,"PRT",-1.03636931176703,401.371532004326
"Portugal",1966,8839830.07651367,1.205399305,2.550491691,-1.345092386,"PRT",-1.11588946404822,415.584708195679
"Portugal",1967,8774389.64833333,1.434608084,2.930840895,-1.496232811,"PRT",-1.04295580155941,356.004491059204
"Portugal",1968,8709799.8075634,1.484020644,2.741403668,-1.257383024,"PRT",-0.847281382824972,373.735356901284
"Portugal",1969,8669639.65174336,1.458791084,2.715150752,-1.256359668,"PRT",-0.861233481082158,370.226047394863
"Portugal",1970,8670349.61038171,1.504513296,2.856537455,-1.352024159,"PRT",-0.898645561990047,346.720286336167
"Portugal",1971,8717870.11737414,1.494547045,2.99420725,-1.499660205,"PRT",-1.00342123722368,326.931734793379
"Portugal",1972,8806019.53218028,1.481355682,3.008798667,-1.527442985,"PRT",-1.03111159637232,317.539665405333
"Portugal",1973,8923929.68867031,1.422162035,3.085345832,-1.663183797,"PRT",-1.16947558359437,307.101970649449
"Portugal",1974,9054919.92212799,1.436305598,3.232198902,-1.795893304,"PRT",-1.25035598273794,285.888321018858
"Portugal",1975,9185879.88431553,1.418443935,2.879641818,-1.461197883,"PRT",-1.03014143816034,315.736335040004
"Portugal",1976,9314299.80638357,1.428306895,3.055098204,-1.626791309,"PRT",-1.13896482708979,294.440592677185
"Portugal",1977,9441169.92223332,1.299039193,2.866579867,-1.567540674,"PRT",-1.20669239393771,308.609339343725
"Portugal",1978,9560750.00107061,1.320102143,2.842549489,-1.522447346,"PRT",-1.15327997271484,310.250322683915
"Portugal",1979,9667019.53013137,1.338531443,2.799459561,-1.460928118,"PRT",-1.09144104975226,308.970895984711
"Portugal",1980,9755629.88397367,1.321471881,2.869024091,-1.54755221,"PRT",-1.17108221780701,296.195058610696
"Portugal",1981,9824240.23365558,1.278886401,2.873642589,-1.594756188,"PRT",-1.24698816095003,293.43285525486
"Portugal",1982,9873139.65075087,1.365248034,2.95936368,-1.594115646,"PRT",-1.1676381397159,282.84860155749
"Portugal",1983,9904440.4290735,1.302086699,2.67014489,-1.368058191,"PRT",-1.05066598099804,305.974548480496
"Portugal",1984,9921889.64818821,1.39982842,2.682952325,-1.283123905,"PRT",-0.916629396622766,304.458286671738
"Portugal",1985,9929009.76579211,1.393439379,2.70388205,-1.310442671,"PRT",-0.940437480674617,299.108828036874
"Portugal",1986,9925410.15676273,1.433727972,3.310497774,-1.876769802,"PRT",-1.30901389194493,240.788920960769
"Portugal",1987,9912209.96264371,1.443364001,3.608129573,-2.164765572,"PRT",-1.49980573161032,217.359234112599
"Portugal",1988,9896419.92211169,1.340832664,3.749167677,-2.408335013,"PRT",-1.79614884977518,203.661229332313
"Portugal",1989,9887000.00148144,1.460139496,4.048761646,-2.58862215,"PRT",-1.77285944253957,188.207421687906
"Portugal",1990,9890320.31243558,1.414736531,4.239131514,-2.824394983,"PRT",-1.99641057547302,179.283860981902
"Portugal",1991,9909570.31139464,1.47804909,4.333484125,-2.855435035,"PRT",-1.93189456921218,171.221545456922
"Portugal",1992,9943200.19444601,1.386045963,4.455212963,-3.069167,"PRT",-2.21433280610695,166.679772234234
"Portugal",1993,9986830.07857007,1.408641013,4.399716453,-2.99107544,"PRT",-2.12337669339898,166.006957417597
"Portugal",1994,10033599.6084657,1.415506532,4.497714911,-3.082208379,"PRT",-2.17745966173678,161.418903681512
"Portugal",1995,10078400.3909092,1.399174314,4.655015055,-3.255840741,"PRT",-2.32697296307563,152.755473517154
"Portugal",1996,10119999.9997602,1.402282778,4.170295175,-2.768012397,"PRT",-1.97393311782663,170.769672636124
"Portugal",1997,10159700.1942623,1.371648171,4.231387464,-2.859739293,"PRT",-2.08489275351127,166.789549906502
"Portugal",1998,10198299.805515,1.322411944,4.486662595,-3.164250651,"PRT",-2.39278742446926,156.207608932974
"Portugal",1999,10237599.6080402,1.395408272,4.765317878,-3.369909606,"PRT",-2.41499903823847,145.527312184146
"Portugal",2000,10278499.9985458,1.348751811,4.839403975,-3.490652164,"PRT",-2.58806117190679,141.3763306091
"Portugal",2001,10320500.0009321,1.322626844,4.711567537,-3.388940693,"PRT",-2.56228027249167,144.202531869702
"Portugal",2002,10362000.0002205,1.339974427,4.71697508,-3.377000653,"PRT",-2.5201978443723,142.196556192336
"Portugal",2003,10402799.8047525,1.287599828,4.42435423,-3.136754402,"PRT",-2.43612518184318,149.390330385393
"Portugal",2004,10442400.3914037,1.318685312,4.652431892,-3.33374658,"PRT",-2.52808351220656,143.275235234502
"Portugal",2005,10480099.6090745,1.237419562,4.737564345,-3.500144783,"PRT",-2.82858365355078,138.15773808917
"Portugal",2006,10516599.6094111,1.295350386,4.602259132,-3.306908746,"PRT",-2.55290671584234,140.77053691197
"Portugal",2007,10550700.1935213,1.244926015,4.634074511,-3.389148496,"PRT",-2.72236938223847,138.63733096436
"Portugal",2008,10577499.9988259,1.277598675,4.499336823,-3.221738148,"PRT",-2.52171374755736,143.343051554842
"Portugal",2009,10590299.8046494,1.259877806,4.371844408,-3.111966602,"PRT",-2.47005429042361,145.016908558091
"Portugal",2010,10584799.8050895,1.248500402,4.49268739,-3.244186988,"PRT",-2.59846692880515,139.961178587676
"Portugal",2011,10558900.3912679,1.233925417,4.038476042,-2.804550625,"PRT",-2.27286879299399,154.342741287803
"Portugal",2012,10515000.0001381,1.230106373,3.728745999,-2.498639626,"PRT",-2.0312386724735,164.375408016529
"Portugal",2013,10459700.1946329,1.269195836,3.668282828,-2.399086992,"PRT",-1.89024174551344,168.229520337145
"Portugal",2014,10402299.8047886,1.270296863,3.687876485,-2.417579622,"PRT",-1.9031611555743,166.476789827425
