"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"French Polynesia",1965,93440.0024137389,2.875557977,2.308518136,0.567039841,"PYF",0.245629384495621,463.342845427549
"French Polynesia",1966,96730.0033589077,2.798995291,3.254513343,-0.455518052,"PYF",-0.162743399971923,325.684749513852
"French Polynesia",1967,100030.998251928,2.688921342,3.072199046,-0.383277704,"PYF",-0.142539558260191,339.6240031912
"French Polynesia",1968,103385.002126555,2.590905229,3.538359461,-0.947454232,"PYF",-0.365684649144809,289.557771116813
"French Polynesia",1969,106858.001701851,2.776255104,3.527322528,-0.751067424,"PYF",-0.270532560210335,284.980902303376
"French Polynesia",1970,110496.002209699,2.624344061,3.848618197,-1.224274136,"PYF",-0.466506720159246,257.344181329808
"French Polynesia",1971,114310.9970041,2.479771598,4.013952982,-1.534181384,"PYF",-0.618678510553149,243.874650978724
"French Polynesia",1972,118278.99931352,2.295921211,3.567229408,-1.271308197,"PYF",-0.55372465939282,267.83052765544
"French Polynesia",1973,122355.003341519,2.146331174,3.610871471,-1.464540297,"PYF",-0.682345926141491,262.406395606988
"French Polynesia",1974,126483.001713897,2.040226947,3.890907742,-1.850680795,"PYF",-0.90709553170053,237.48903545566
"French Polynesia",1975,130619.003291066,2.145364715,3.604225603,-1.458860888,"PYF",-0.68000600699729,252.261553261261
"French Polynesia",1976,134742.996205174,2.012662513,3.637981749,-1.625319236,"PYF",-0.80754681022006,247.264829478114
"French Polynesia",1977,138867.004369956,1.885080807,3.452671534,-1.567590727,"PYF",-0.831577448395966,256.222849209663
"French Polynesia",1978,143033.004783336,1.819564633,3.954365877,-2.134801244,"PYF",-1.17324838854446,223.019801890361
"French Polynesia",1979,147298.995977655,1.835747797,4.023235956,-2.187488159,"PYF",-1.19160605830496,214.989014038699
"French Polynesia",1980,151701.995848295,1.902872761,3.763013762,-1.860141001,"PYF",-0.977543574694926,225.827171150688
"French Polynesia",1981,156240.005490367,1.756702403,3.83886893,-2.082166527,"PYF",-1.18526991253612,219.65354250571
"French Polynesia",1982,160882.995597563,1.81701218,3.859461145,-2.042448965,"PYF",-1.12407002136882,216.883099053648
"French Polynesia",1983,165610.992428798,1.573007595,4.044353438,-2.471345843,"PYF",-1.57109592204828,202.00914691456
"French Polynesia",1984,170397.003178539,1.470853531,4.277216032,-2.806362501,"PYF",-1.90798227883371,190.976340797378
"French Polynesia",1985,175207.992549454,1.544173188,4.283290807,-2.739117619,"PYF",-1.77384093166389,188.816266261912
"French Polynesia",1986,180069.000250103,1.480489009,4.372641252,-2.892152243,"PYF",-1.9535114887479,182.299699064042
"French Polynesia",1987,184957.992563662,1.471834486,4.404857595,-2.933023109,"PYF",-1.99276693808147,178.044413157647
"French Polynesia",1988,189742.004397633,1.363405372,4.21075123,-2.847345858,"PYF",-2.08840737513011,181.335839257138
"French Polynesia",1989,194248.992907032,1.329478712,4.137482221,-2.808003509,"PYF",-2.11210865497801,184.171664053322
"French Polynesia",1990,198369.995134319,1.32742675,4.199993659,-2.872566909,"PYF",-2.16401164885369,180.95452441512
"French Polynesia",1991,202020.004257213,1.27200284,3.891414571,-2.619411731,"PYF",-2.05928137707617,190.672524283329
"French Polynesia",1992,205268.997187422,1.289564895,3.811454777,-2.521889882,"PYF",-1.95561301335047,194.832138136598
"French Polynesia",1993,208348.998997831,1.300309026,3.990812732,-2.690503706,"PYF",-2.0691263445275,183.016243700187
"French Polynesia",1994,211583.999641165,1.315733201,4.110105022,-2.794371821,"PYF",-2.12381339925146,176.641766628833
"French Polynesia",1995,215199.996925375,1.328730537,4.197715007,-2.86898447,"PYF",-2.15919208118751,169.396692207546
"French Polynesia",1996,219281.997667729,1.337778583,4.074751193,-2.73697261,"PYF",-2.04590853891531,174.773847811862
"French Polynesia",1997,223733.993511812,1.338596529,4.377392416,-3.038795887,"PYF",-2.27013577422018,161.226399672325
"French Polynesia",1998,228380.004812532,1.286279046,4.62392744,-3.337648394,"PYF",-2.59480891801822,151.570467312052
"French Polynesia",1999,232955.993685083,1.303887207,4.690606482,-3.386719275,"PYF",-2.59740203295652,147.845253207661
"French Polynesia",2000,237266.998306917,1.332828985,4.660327563,-3.327498578,"PYF",-2.49656832941913,146.808816585126
"French Polynesia",2001,241276.000984762,1.331162991,5.037357429,-3.706194438,"PYF",-2.78417777375256,134.876267182273
"French Polynesia",2002,245031.997709055,1.359393812,4.946237705,-3.586843893,"PYF",-2.63856129372842,135.605616944976
"French Polynesia",2003,248535.995476128,1.35211064,4.982464112,-3.630353472,"PYF",-2.68495295621666,132.656396998425
"French Polynesia",2004,251811.004572389,1.361614717,5.091615941,-3.730001224,"PYF",-2.73939545835697,130.916842113915
"French Polynesia",2005,254884.002775069,1.378656722,4.990537449,-3.611880727,"PYF",-2.61985498464041,131.154445960068
"French Polynesia",2006,257730.987584697,1.395125049,4.792213038,-3.397087989,"PYF",-2.43497022005303,135.190669637389
"French Polynesia",2007,260360.992386755,1.400221457,5.075667541,-3.675446084,"PYF",-2.62490337778425,126.575612009652
"French Polynesia",2008,262877.014113555,1.411956701,4.858337418,-3.446380717,"PYF",-2.44085438314079,132.750900932694
"French Polynesia",2009,265411.987323207,1.398620786,4.680411584,-3.281790798,"PYF",-2.34644789600189,135.456326017353
"French Polynesia",2010,268065.002355026,1.422175337,4.607942895,-3.185767558,"PYF",-2.2400666573223,136.460420013017
