"year","country","overshoot_day","country_3_code"
1961,"Pakistan",2099.16763408421,"PAK"
1962,"Pakistan",2085.42954678019,"PAK"
1963,"Pakistan",1961.75272437521,"PAK"
1964,"Pakistan",1965.77713324156,"PAK"
1965,"Pakistan",1802.48803337273,"PAK"
1966,"Pakistan",1910.63606404805,"PAK"
1967,"Pakistan",1689.41919115856,"PAK"
1968,"Pakistan",1547.22995691143,"PAK"
1969,"Pakistan",1589.15602495488,"PAK"
1970,"Pakistan",1523.83248546578,"PAK"
1971,"Pakistan",1561.2990394718,"PAK"
1972,"Pakistan",1493.59848968955,"PAK"
1973,"Pakistan",1469.41896285004,"PAK"
1974,"Pakistan",1441.55711352531,"PAK"
1975,"Pakistan",1439.08750705383,"PAK"
1976,"Pakistan",1444.06571263506,"PAK"
1977,"Pakistan",1362.38808146349,"PAK"
1978,"Pakistan",1394.79166584376,"PAK"
1979,"Pakistan",1221.91299272194,"PAK"
1980,"Pakistan",1325.05941326768,"PAK"
1981,"Pakistan",1291.33649697841,"PAK"
1982,"Pakistan",1267.72260399071,"PAK"
1983,"Pakistan",1300.91243108501,"PAK"
1984,"Pakistan",1285.90479532698,"PAK"
1985,"Pakistan",1211.47189591678,"PAK"
1986,"Pakistan",1154.65424458712,"PAK"
1987,"Pakistan",1166.93672661943,"PAK"
1988,"Pakistan",1140.81250954766,"PAK"
1989,"Pakistan",1051.16210089313,"PAK"
1990,"Pakistan",1020.59857236244,"PAK"
1991,"Pakistan",1008.52489047492,"PAK"
1992,"Pakistan",994.51725440201,"PAK"
1993,"Pakistan",942.738176202137,"PAK"
1994,"Pakistan",961.317936246759,"PAK"
1995,"Pakistan",889.457274621104,"PAK"
1996,"Pakistan",889.013161549897,"PAK"
1997,"Pakistan",888.78522206491,"PAK"
1998,"Pakistan",850.77426616835,"PAK"
1999,"Pakistan",810.597687517468,"PAK"
2000,"Pakistan",823.209659005965,"PAK"
2001,"Pakistan",881.146161593055,"PAK"
2002,"Pakistan",851.664063276114,"PAK"
2003,"Pakistan",836.459746588328,"PAK"
2004,"Pakistan",799.803625566076,"PAK"
2005,"Pakistan",757.381386471591,"PAK"
2006,"Pakistan",758.115262960442,"PAK"
2007,"Pakistan",707.243418091227,"PAK"
2008,"Pakistan",731.420495887185,"PAK"
2009,"Pakistan",710.148991077435,"PAK"
2010,"Pakistan",759.048832780707,"PAK"
2011,"Pakistan",777.363017221559,"PAK"
2012,"Pakistan",800.957444233566,"PAK"
2013,"Pakistan",793.532611324607,"PAK"
2014,"Pakistan",778.465822453656,"PAK"
