"year","country","overshoot_day","country_3_code"
1961,"Papua New Guinea",925.446492769209,"PNG"
1962,"Papua New Guinea",896.522231486661,"PNG"
1963,"Papua New Guinea",868.447190683241,"PNG"
1964,"Papua New Guinea",821.715634410956,"PNG"
1965,"Papua New Guinea",781.956891352197,"PNG"
1966,"Papua New Guinea",744.33820245413,"PNG"
1967,"Papua New Guinea",735.499267216108,"PNG"
1968,"Papua New Guinea",704.676970477579,"PNG"
1969,"Papua New Guinea",683.532732020672,"PNG"
1970,"Papua New Guinea",644.768445630462,"PNG"
1971,"Papua New Guinea",605.671950308518,"PNG"
1972,"Papua New Guinea",570.269771450581,"PNG"
1973,"Papua New Guinea",533.791072207413,"PNG"
1974,"Papua New Guinea",498.169856718132,"PNG"
1975,"Papua New Guinea",526.843781647052,"PNG"
1976,"Papua New Guinea",475.911342147842,"PNG"
1977,"Papua New Guinea",513.178553050413,"PNG"
1978,"Papua New Guinea",470.257968593649,"PNG"
1979,"Papua New Guinea",471.323119945799,"PNG"
1980,"Papua New Guinea",443.014339408655,"PNG"
1981,"Papua New Guinea",485.424738658271,"PNG"
1982,"Papua New Guinea",496.987618345238,"PNG"
1983,"Papua New Guinea",477.25395186694,"PNG"
1984,"Papua New Guinea",503.862540111404,"PNG"
1985,"Papua New Guinea",469.447683769231,"PNG"
1986,"Papua New Guinea",493.864814801628,"PNG"
1987,"Papua New Guinea",461.040721841737,"PNG"
1988,"Papua New Guinea",462.954855793941,"PNG"
1989,"Papua New Guinea",466.245736386281,"PNG"
1990,"Papua New Guinea",451.090892373027,"PNG"
1991,"Papua New Guinea",470.477595854239,"PNG"
1992,"Papua New Guinea",533.393087876717,"PNG"
1993,"Papua New Guinea",512.3438616351,"PNG"
1994,"Papua New Guinea",570.868079107285,"PNG"
1995,"Papua New Guinea",607.210094547416,"PNG"
1996,"Papua New Guinea",581.743460031738,"PNG"
1997,"Papua New Guinea",637.698885913878,"PNG"
1998,"Papua New Guinea",488.8467783422,"PNG"
1999,"Papua New Guinea",505.375927621985,"PNG"
2000,"Papua New Guinea",460.244523387888,"PNG"
2001,"Papua New Guinea",381.99449014864,"PNG"
2002,"Papua New Guinea",390.654200290234,"PNG"
2003,"Papua New Guinea",462.420455805815,"PNG"
2004,"Papua New Guinea",321.792162535901,"PNG"
2005,"Papua New Guinea",315.511544049367,"PNG"
2006,"Papua New Guinea",325.534826785032,"PNG"
2007,"Papua New Guinea",315.08149641598,"PNG"
2008,"Papua New Guinea",348.654141846977,"PNG"
2009,"Papua New Guinea",330.307112682311,"PNG"
2010,"Papua New Guinea",331.949411935358,"PNG"
2011,"Papua New Guinea",374.328966294698,"PNG"
2012,"Papua New Guinea",360.650909007104,"PNG"
2013,"Papua New Guinea",367.477647370699,"PNG"
2014,"Papua New Guinea",332.001306776632,"PNG"
