"year","country","overshoot_day","country_3_code"
1961,"Philippines",1204.42373361295,"PHL"
1962,"Philippines",1189.74153581516,"PHL"
1963,"Philippines",1483.05582419443,"PHL"
1964,"Philippines",1117.81372177441,"PHL"
1965,"Philippines",1061.9772318043,"PHL"
1966,"Philippines",1090.32428043168,"PHL"
1967,"Philippines",981.581457114199,"PHL"
1968,"Philippines",937.495782789556,"PHL"
1969,"Philippines",929.958946012351,"PHL"
1970,"Philippines",904.92223752734,"PHL"
1971,"Philippines",862.758909528914,"PHL"
1972,"Philippines",834.815117160407,"PHL"
1973,"Philippines",816.694897125898,"PHL"
1974,"Philippines",772.629769417566,"PHL"
1975,"Philippines",747.152811409017,"PHL"
1976,"Philippines",726.599613040524,"PHL"
1977,"Philippines",666.859293278296,"PHL"
1978,"Philippines",699.528998643691,"PHL"
1979,"Philippines",682.608375888782,"PHL"
1980,"Philippines",711.598674407827,"PHL"
1981,"Philippines",754.928427535419,"PHL"
1982,"Philippines",740.046800542705,"PHL"
1983,"Philippines",747.558636316839,"PHL"
1984,"Philippines",799.715112350315,"PHL"
1985,"Philippines",764.519561670744,"PHL"
1986,"Philippines",771.181354444116,"PHL"
1987,"Philippines",714.835589562657,"PHL"
1988,"Philippines",698.079394676622,"PHL"
1989,"Philippines",661.379850778798,"PHL"
1990,"Philippines",628.513670018198,"PHL"
1991,"Philippines",630.441843677341,"PHL"
1992,"Philippines",629.79019372411,"PHL"
1993,"Philippines",624.327663779073,"PHL"
1994,"Philippines",588.300131969374,"PHL"
1995,"Philippines",568.398663130014,"PHL"
1996,"Philippines",535.871722173659,"PHL"
1997,"Philippines",518.545105632026,"PHL"
1998,"Philippines",562.21469412843,"PHL"
1999,"Philippines",530.623173715909,"PHL"
2000,"Philippines",534.270738427939,"PHL"
2001,"Philippines",546.50858309724,"PHL"
2002,"Philippines",514.621432022353,"PHL"
2003,"Philippines",517.336337625044,"PHL"
2004,"Philippines",508.198160991616,"PHL"
2005,"Philippines",507.913263373858,"PHL"
2006,"Philippines",509.261754441582,"PHL"
2007,"Philippines",498.524275087038,"PHL"
2008,"Philippines",494.204797927217,"PHL"
2009,"Philippines",494.708734350142,"PHL"
2010,"Philippines",514.265270508005,"PHL"
2011,"Philippines",516.951458139561,"PHL"
2012,"Philippines",525.020746354368,"PHL"
2013,"Philippines",568.378079890637,"PHL"
2014,"Philippines",555.964778923681,"PHL"
