country,year,overshoot_day
Portugal,1961,199.78035828327501
Portugal,1962,198.10862302659999
Portugal,1963,188.237659658463
Portugal,1964,187.19186342571999
Portugal,1965,179.24057491295099
Portugal,1966,172.504285293273
Portugal,1967,178.66270103029299
Portugal,1968,197.58765955681
Portugal,1969,196.10651270029101
Portugal,1970,192.24230793393801
Portugal,1971,182.18834762206299
Portugal,1972,179.70455446840401
Portugal,1973,168.24342268058001
Portugal,1974,162.196559995342
Portugal,1975,179.79042846815801
Portugal,1976,170.643292505213
Portugal,1977,165.40592886627499
Portugal,1978,169.508845444863
Portugal,1979,174.520819467054
Portugal,1980,168.11892167847
Portugal,1981,162.43966384923601
Portugal,1982,168.38604038325499
Portugal,1983,177.990957399281
Portugal,1984,190.43848396125699
Portugal,1985,188.10190837440501
Portugal,1986,158.076140108581
Portugal,1987,146.01134734499101
Portugal,1988,130.53668562964299
Portugal,1989,131.63306775522301
Portugal,1990,121.81241184324701
Portugal,1991,124.492879689828
Portugal,1992,113.553893100078
Portugal,1993,116.860705667169
Portugal,1994,114.87163917148099
Portugal,1995,109.70933895191899
Portugal,1996,122.733090196893
Portugal,1997,118.318539026838
Portugal,1998,107.581158522834
Portugal,1999,106.881436397348
Portugal,2000,101.726248449274
Portugal,2001,102.462459564699
Portugal,2002,103.687354174855
Portugal,2003,106.224301403628
Portugal,2004,103.455601310727
Portugal,2005,95.335515743890795
Portugal,2006,102.73278344596601
Portugal,2007,98.055824196830599
Portugal,2008,103.642722238972
Portugal,2009,105.18567371654601
Portugal,2010,101.432084508934
Portugal,2011,111.52295385136399
Portugal,2012,120.41282141148599
Portugal,2013,126.287012687513
Portugal,2014,125.725022755121
Guinea-Bissau,1968,1949.2784721493199
Guinea-Bissau,1969,1854.768267487
Guinea-Bissau,1970,1812.16664671956
Guinea-Bissau,1971,1698.4824771508099
Guinea-Bissau,1972,1719.35986978087
Guinea-Bissau,1973,1626.37058827481
Guinea-Bissau,1974,1587.3952523145001
Guinea-Bissau,1975,1525.6127696159899
Guinea-Bissau,1976,1458.5788738712699
Guinea-Bissau,1977,1450.9106293191501
Guinea-Bissau,1978,1338.0223518115799
Guinea-Bissau,1979,1314.7623833248999
Guinea-Bissau,1980,1252.6410549765801
Guinea-Bissau,1981,1218.9083843977701
Guinea-Bissau,1982,1191.04841145624
Guinea-Bissau,1983,1188.71994561264
Guinea-Bissau,1984,1153.20837039089
Guinea-Bissau,1985,1097.4802608950899
Guinea-Bissau,1986,1081.1039133343099
Guinea-Bissau,1987,1053.367171914
Guinea-Bissau,1988,1028.7653840595001
Guinea-Bissau,1989,981.873317687856
Guinea-Bissau,1990,984.29123708605402
Guinea-Bissau,1991,992.37954079863005
Guinea-Bissau,1992,889.83673412679104
Guinea-Bissau,1993,938.73989830423398
Guinea-Bissau,1994,994.41185516650796
Guinea-Bissau,1995,918.20894261310798
Guinea-Bissau,1996,878.36394649423698
Guinea-Bissau,1997,919.71691444309704
Guinea-Bissau,1998,875.60380167588005
Guinea-Bissau,1999,879.74850694658403
Guinea-Bissau,2000,873.398808779001
Guinea-Bissau,2001,870.47249606477305
Guinea-Bissau,2002,846.96474462815399
Guinea-Bissau,2003,841.72117239513295
Guinea-Bissau,2004,828.05759487590797
Guinea-Bissau,2005,820.84539343837298
Guinea-Bissau,2006,778.14538339301396
Guinea-Bissau,2007,782.05185796430601
Guinea-Bissau,2008,751.042196776482
Guinea-Bissau,2009,772.45790132558102
Guinea-Bissau,2010,691.76106947289998
Guinea-Bissau,2011,772.24530753113197
Guinea-Bissau,2012,715.97144727903901
Guinea-Bissau,2013,807.08385274417799
Guinea-Bissau,2014,827.05062873829502
Timor-Leste,1961,3254.39624591143
Timor-Leste,1962,3160.2961091921602
Timor-Leste,1963,3202.1903336820801
Timor-Leste,1964,3218.43296522128
Timor-Leste,1965,3082.6400209877802
Timor-Leste,1966,2897.6603909957598
Timor-Leste,1967,2743.9865811776899
Timor-Leste,1968,2888.87921769797
Timor-Leste,1969,2591.96592645275
Timor-Leste,1970,2546.08602516987
Timor-Leste,1971,2465.2210729726899
Timor-Leste,1972,2417.8830111263801
Timor-Leste,1973,2431.1640013655501
Timor-Leste,1974,2498.6747027157799
Timor-Leste,1975,2546.6588119493899
Timor-Leste,1976,2428.8882235084602
Timor-Leste,1977,2402.8637397452999
Timor-Leste,1978,2391.6928391491801
Timor-Leste,1979,2388.96497033585
Timor-Leste,1980,2406.49331042004
Timor-Leste,1981,2455.8878995476898
Timor-Leste,1982,2385.4311307357402
Timor-Leste,1983,2351.2563079535298
Timor-Leste,1984,2342.6405665290499
Timor-Leste,1985,2310.4976438116601
Timor-Leste,1986,2244.1734218409701
Timor-Leste,1987,2200.1673832266902
Timor-Leste,1988,2191.0124185301602
Timor-Leste,1989,2205.11944439341
Timor-Leste,1990,2151.2728407166901
Timor-Leste,1991,2028.6698697601801
Timor-Leste,1992,2087.63807396936
Timor-Leste,1993,1578.12048386178
Timor-Leste,1994,1576.7856040393301
Timor-Leste,1995,1574.6661609335299
Timor-Leste,1996,1570.79838678751
Timor-Leste,1997,1622.6822672957401
Timor-Leste,1998,1705.63113354964
Timor-Leste,1999,1676.90304941044
Timor-Leste,2000,1576.8035925806
Timor-Leste,2001,1582.7380050811
Timor-Leste,2002,1548.8698637866601
Timor-Leste,2003,1557.4947318675299
Timor-Leste,2004,1466.59756092001
Timor-Leste,2005,1439.2358017234001
Timor-Leste,2006,1432.5420113953001
Timor-Leste,2007,1410.59938192697
Timor-Leste,2008,1642.9114841186399
Timor-Leste,2009,1397.1939503747601
Timor-Leste,2010,1518.4794970781199
Timor-Leste,2011,1540.86236848202
Timor-Leste,2012,1309.4042539039301
Timor-Leste,2013,824.74740159104499
Timor-Leste,2014,1089.9692625385301
