"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Rwanda",1961,1389.79218666008,"RWA",0.5
"Rwanda",1962,1228.47873924223,"RWA",0.5
"Rwanda",1963,1301.91312500679,"RWA",0.5
"Rwanda",1964,1336.48322175636,"RWA",0.5
"Rwanda",1965,1263.93811712829,"RWA",0.5
"Rwanda",1966,1116.19259338955,"RWA",0.5
"Rwanda",1967,979.81957548746,"RWA",0.5
"Rwanda",1968,1001.87030185486,"RWA",0.5
"Rwanda",1969,956.099380251567,"RWA",0.5
"Rwanda",1970,933.716439315732,"RWA",0.5
"Rwanda",1971,949.04186842645,"RWA",0.5
"Rwanda",1972,962.423024290026,"RWA",0.5
"Rwanda",1973,965.320728187233,"RWA",0.5
"Rwanda",1974,980.523328129779,"RWA",0.5
"Rwanda",1975,924.18440136349,"RWA",0.5
"Rwanda",1976,920.693651434356,"RWA",0.5
"Rwanda",1977,894.86455116551,"RWA",0.5
"Rwanda",1978,861.677806974988,"RWA",0.5
"Rwanda",1979,884.418486910028,"RWA",0.5
"Rwanda",1980,879.416597030127,"RWA",0.5
"Rwanda",1981,847.185608454018,"RWA",0.5
"Rwanda",1982,816.146153078274,"RWA",0.5
"Rwanda",1983,795.804574303404,"RWA",0.5
"Rwanda",1984,828.965892871833,"RWA",0.5
"Rwanda",1985,743.500664816467,"RWA",0.5
"Rwanda",1986,813.017467984258,"RWA",0.5
"Rwanda",1987,858.256132817559,"RWA",0.5
"Rwanda",1988,913.42653569007,"RWA",0.5
"Rwanda",1989,850.406426668865,"RWA",0.5
"Rwanda",1990,1016.59550175056,"RWA",0.5
"Rwanda",1991,925.644148375522,"RWA",0.5
"Rwanda",1992,884.419684262251,"RWA",0.5
"Rwanda",1993,877.830945415832,"RWA",0.5
"Rwanda",1994,932.249998757544,"RWA",0.5
"Rwanda",1995,938.226238648288,"RWA",0.5
"Rwanda",1996,886.464100701642,"RWA",0.5
"Rwanda",1997,822.665402591092,"RWA",0.5
"Rwanda",1998,832.350354203764,"RWA",0.5
"Rwanda",1999,868.966862437392,"RWA",0.5
"Rwanda",2000,969.63084829087,"RWA",0.5
"Rwanda",2001,954.548990522164,"RWA",0.5
"Rwanda",2002,907.740320001288,"RWA",0.5
"Rwanda",2003,942.510481948789,"RWA",0.5
"Rwanda",2004,961.564589346045,"RWA",0.5
"Rwanda",2005,963.879981723925,"RWA",0.5
"Rwanda",2006,924.39139799156,"RWA",0.5
"Rwanda",2007,901.701055197192,"RWA",0.5
"Rwanda",2008,829.285642338886,"RWA",0.5
"Rwanda",2009,784.828060312014,"RWA",0.5
"Rwanda",2010,759.988901490018,"RWA",0.5
"Rwanda",2011,749.201136842512,"RWA",0.5
"Rwanda",2012,717.872099881635,"RWA",0.5
"Rwanda",2013,743.496821085982,"RWA",0.5
"Rwanda",2014,791.952054229219,"RWA",0.5
