"year","country","overshoot_day","country_3_code"
1961,"Romania",462.745262455392,"ROU"
1962,"Romania",440.868807261834,"ROU"
1963,"Romania",416.25709019164,"ROU"
1964,"Romania",394.884530099132,"ROU"
1965,"Romania",353.293619225766,"ROU"
1966,"Romania",334.660134505582,"ROU"
1967,"Romania",324.797268801564,"ROU"
1968,"Romania",313.825000871483,"ROU"
1969,"Romania",286.70859426902,"ROU"
1970,"Romania",272.787236790775,"ROU"
1971,"Romania",248.749676464096,"ROU"
1972,"Romania",235.630589451392,"ROU"
1973,"Romania",232.766902270566,"ROU"
1974,"Romania",229.323425466814,"ROU"
1975,"Romania",220.36845959902,"ROU"
1976,"Romania",194.700522472139,"ROU"
1977,"Romania",191.796113765355,"ROU"
1978,"Romania",183.242751030735,"ROU"
1979,"Romania",177.967989450805,"ROU"
1980,"Romania",174.181387425632,"ROU"
1981,"Romania",179.363656276839,"ROU"
1982,"Romania",174.062627122492,"ROU"
1983,"Romania",176.304775208212,"ROU"
1984,"Romania",170.016234934979,"ROU"
1985,"Romania",174.188752237761,"ROU"
1986,"Romania",165.267417310466,"ROU"
1987,"Romania",166.012173822806,"ROU"
1988,"Romania",156.085691506785,"ROU"
1989,"Romania",158.532255378615,"ROU"
1990,"Romania",170.119884724974,"ROU"
1991,"Romania",189.888337437684,"ROU"
1992,"Romania",225.046496102776,"ROU"
1993,"Romania",225.643201181928,"ROU"
1994,"Romania",227.207638864843,"ROU"
1995,"Romania",214.080540879102,"ROU"
1996,"Romania",233.357413027557,"ROU"
1997,"Romania",216.203965424064,"ROU"
1998,"Romania",241.636943639194,"ROU"
1999,"Romania",269.098726503738,"ROU"
2000,"Romania",283.825985532762,"ROU"
2001,"Romania",227.620380302963,"ROU"
2002,"Romania",236.604261467524,"ROU"
2003,"Romania",219.024760283116,"ROU"
2004,"Romania",189.370895791669,"ROU"
2005,"Romania",194.77201459195,"ROU"
2006,"Romania",197.973895163339,"ROU"
2007,"Romania",205.037273522301,"ROU"
2008,"Romania",184.903611035957,"ROU"
2009,"Romania",216.628834474946,"ROU"
2010,"Romania",217.171217428827,"ROU"
2011,"Romania",198.551271466159,"ROU"
2012,"Romania",218.521131918065,"ROU"
2013,"Romania",228.041060399254,"ROU"
2014,"Romania",219.382083327047,"ROU"
