"year","country","overshoot_day","country_3_code"
1961,"Rwanda",1389.79218666008,"RWA"
1962,"Rwanda",1228.47873924223,"RWA"
1963,"Rwanda",1301.91312500679,"RWA"
1964,"Rwanda",1336.48322175636,"RWA"
1965,"Rwanda",1263.93811712829,"RWA"
1966,"Rwanda",1116.19259338955,"RWA"
1967,"Rwanda",979.81957548746,"RWA"
1968,"Rwanda",1001.87030185486,"RWA"
1969,"Rwanda",956.099380251567,"RWA"
1970,"Rwanda",933.716439315732,"RWA"
1971,"Rwanda",949.04186842645,"RWA"
1972,"Rwanda",962.423024290026,"RWA"
1973,"Rwanda",965.320728187233,"RWA"
1974,"Rwanda",980.523328129779,"RWA"
1975,"Rwanda",924.18440136349,"RWA"
1976,"Rwanda",920.693651434356,"RWA"
1977,"Rwanda",894.86455116551,"RWA"
1978,"Rwanda",861.677806974988,"RWA"
1979,"Rwanda",884.418486910028,"RWA"
1980,"Rwanda",879.416597030127,"RWA"
1981,"Rwanda",847.185608454018,"RWA"
1982,"Rwanda",816.146153078274,"RWA"
1983,"Rwanda",795.804574303404,"RWA"
1984,"Rwanda",828.965892871833,"RWA"
1985,"Rwanda",743.500664816467,"RWA"
1986,"Rwanda",813.017467984258,"RWA"
1987,"Rwanda",858.256132817559,"RWA"
1988,"Rwanda",913.42653569007,"RWA"
1989,"Rwanda",850.406426668865,"RWA"
1990,"Rwanda",1016.59550175056,"RWA"
1991,"Rwanda",925.644148375522,"RWA"
1992,"Rwanda",884.419684262251,"RWA"
1993,"Rwanda",877.830945415832,"RWA"
1994,"Rwanda",932.249998757544,"RWA"
1995,"Rwanda",938.226238648288,"RWA"
1996,"Rwanda",886.464100701642,"RWA"
1997,"Rwanda",822.665402591092,"RWA"
1998,"Rwanda",832.350354203764,"RWA"
1999,"Rwanda",868.966862437392,"RWA"
2000,"Rwanda",969.63084829087,"RWA"
2001,"Rwanda",954.548990522164,"RWA"
2002,"Rwanda",907.740320001288,"RWA"
2003,"Rwanda",942.510481948789,"RWA"
2004,"Rwanda",961.564589346045,"RWA"
2005,"Rwanda",963.879981723925,"RWA"
2006,"Rwanda",924.39139799156,"RWA"
2007,"Rwanda",901.701055197192,"RWA"
2008,"Rwanda",829.285642338886,"RWA"
2009,"Rwanda",784.828060312014,"RWA"
2010,"Rwanda",759.988901490018,"RWA"
2011,"Rwanda",749.201136842512,"RWA"
2012,"Rwanda",717.872099881635,"RWA"
2013,"Rwanda",743.496821085982,"RWA"
2014,"Rwanda",791.952054229219,"RWA"
