"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Serbia and Montenegro",1992,10320099.6083572,1.196501602,2.711321093,-1.514819491,"SCG",-1.26604051344353,273.886367828215
"Serbia and Montenegro",1993,10416700.1983959,1.278343892,2.59937882,-1.321034928,"SCG",-1.03339556776072,280.983883405143
"Serbia and Montenegro",1994,10483900.3892586,1.351673723,2.570162016,-1.218488293,"SCG",-0.901466279894825,282.478773022868
"Serbia and Montenegro",1995,10504599.6127182,1.391421246,2.882482355,-1.491061109,"SCG",-1.0716101611931,246.689810085224
"Serbia and Montenegro",1996,10471700.1943147,1.232478179,3.00384377,-1.771365591,"SCG",-1.43723892945512,237.082882305664
"Serbia and Montenegro",1997,10393200.1953951,1.479981641,3.418862416,-1.938880775,"SCG",-1.31007081952719,206.428669549555
"Serbia and Montenegro",1998,10286000.0006367,1.397100693,3.191369888,-1.794269195,"SCG",-1.28428052669561,219.608149100798
"Serbia and Montenegro",1999,10174400.3898327,1.339734223,2.767431142,-1.427696919,"SCG",-1.06565679870445,250.587595727315
"Serbia and Montenegro",2000,10076900.3914265,1.078372086,2.562786175,-1.484414089,"SCG",-1.37653238966895,266.966155762428
"Serbia and Montenegro",2001,9998049.80479069,1.429250725,3.048366631,-1.619115906,"SCG",-1.13284244488609,222.880004844234
"Serbia and Montenegro",2002,9933889.64902948,1.354308615,3.046663753,-1.692355138,"SCG",-1.24960821706946,220.154785331089
"Serbia and Montenegro",2003,9882769.53219249,1.141782566,3.072199205,-1.930416639,"SCG",-1.69070423802318,215.140911331531
"Serbia and Montenegro",2004,9840330.07878628,1.56182359,3.547864718,-1.986041128,"SCG",-1.27161679636303,187.881537558352
"Serbia and Montenegro",2005,9803070.3117451,1.421359285,3.134200107,-1.712840822,"SCG",-1.20507237125104,208.835156293946
