"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Suriname",2000,480751.007347443,100.976521,2.170041246,98.806479754,"SUR",46.5320755200408,315.283036955704
"Suriname",2001,484209.991310477,100.2130802,2.30140361,97.91167659,"SUR",43.5443310334615,295.219822622594
"Suriname",2002,486270.996095069,99.84493212,1.953135922,97.891796198,"SUR",51.1203199531584,343.415742276306
"Suriname",2003,487640.991403758,99.17739189,2.482677778,96.694714112,"SUR",39.9477499214759,266.226948853371
"Suriname",2004,489312.011635311,98.68429768,2.527074467,96.157223213,"SUR",39.0508066461832,263.774682893203
"Suriname",2005,491998.992948255,97.93426012,2.907886326,95.026373794,"SUR",33.6788478008924,225.088294456355
"Suriname",2006,495953.00291278,97.32466221,2.615600227,94.709061983,"SUR",37.2093037039835,247.691709350305
"Suriname",2007,500953.003070089,96.15105879,2.620701421,93.530357369,"SUR",36.6890553765492,245.146478789991
"Suriname",2008,506657.012868187,94.95136929,2.677355798,92.274013492,"SUR",35.4646062693647,240.890159942507
"Suriname",2009,512521.972797183,93.56518795,3.794370685,89.770817265,"SUR",24.6589475166462,167.087353796243
"Suriname",2010,518140.991265908,92.60743097,3.914994581,88.692436389,"SUR",23.654548838969,160.613714136413
"Suriname",2011,523439.025880533,91.45727796,4.309115405,87.148162555,"SUR",21.2241421893691,144.649051743892
"Suriname",2012,528534.973229157,90.25793816,4.494056205,85.763881955,"SUR",20.0838472291468,136.383284468049
"Suriname",2013,533450.012293892,89.27988139,4.08288119,85.1970002,"SUR",21.8668819925498,151.146561870328
"Suriname",2014,538247.985888752,88.21240235,3.635389806,84.577012544,"SUR",24.2649089101807,168.880333272652
