country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Syrian Arab Republic,1961,4742600.09621854,1.220476888,0.961247127,0.259229761,SYR,1.2696806991667386,1186.8256260070902
Syrian Arab Republic,1962,4897430.17790005,1.543282032,1.121213449,0.422068583,SYR,1.3764391595747965,1004.382596818768
Syrian Arab Republic,1963,5057830.0789754,1.417555801,0.955997484,0.461558317,SYR,1.482802831597363,1155.4260504290023
Syrian Arab Republic,1964,5224580.07912706,1.349348688,0.980318797,0.369029891,SYR,1.3764386544458802,1110.3308550136953
Syrian Arab Republic,1965,5398330.07975141,1.272504076,0.977111812,0.295392264,SYR,1.3023116494959943,1094.6908482478668
Syrian Arab Republic,1966,5579279.78769648,0.919734143,0.837915816,0.081818327,SYR,1.0976450617114513,1264.978353314259
Syrian Arab Republic,1967,5767479.98202527,1.179717565,1.062745372,0.116972193,SYR,1.1100660327487655,981.7897334394484
Syrian Arab Republic,1968,5963249.99941461,0.98442804,1.010855739,-0.026427699,SYR,-1.026845700169207,1013.5566235912801
Syrian Arab Republic,1969,6166930.17470213,1.11117103,1.101037265,0.010133765,SYR,1.0092038026322996,912.9750179807714
Syrian Arab Republic,1970,6378799.80687799,0.855169798,0.985203063,-0.130033265,SYR,-1.1520555332987672,1005.2947457534391
Syrian Arab Republic,1971,6599370.11553579,0.9081081,1.159030015,-0.250921915,SYR,-1.2763128090146978,844.5867552349811
Syrian Arab Republic,1972,6828770.02074448,1.240590004,1.245683822,-0.00509381799999997,SYR,-1.004105949588502,766.9786927228243
Syrian Arab Republic,1973,7066470.21457254,0.774974113,0.791852762,-0.016878649,SYR,-1.0217796824206167,1196.580696961607
Syrian Arab Republic,1974,7311689.9467889,1.102791035,1.394957667,-0.292166632,SYR,-1.26493383551611,662.4200265857523
Syrian Arab Republic,1975,7564000.00515911,1.058568267,1.428928127,-0.37035986,SYR,-1.3498686296350069,636.286422080999
Syrian Arab Republic,1976,7822609.86412402,1.184603338,1.577968846,-0.393365508,SYR,-1.3320651282310245,570.0650891798367
Syrian Arab Republic,1977,8088149.90212036,0.933503282,1.491808758,-0.558305476,SYR,-1.5980755846942498,593.0071796834821
Syrian Arab Republic,1978,8363349.61223394,1.042283032,1.507085599,-0.464802567,SYR,-1.4459465966744174,585.1704107716243
Syrian Arab Republic,1979,8651900.38876309,0.850577267,1.608410426,-0.757833159,SYR,-1.890963298372645,537.7679358980768
Syrian Arab Republic,1980,8956160.15209702,1.195474283,1.943875015,-0.748400732,SYR,-1.6260282906295567,437.1632751360041
Syrian Arab Republic,1981,9277259.76793369,1.098789066,1.993526894,-0.894737828,SYR,-1.8142944396052283,422.97957108078157
Syrian Arab Republic,1982,9613519.5294265,0.933808907,1.669627728,-0.735818821,SYR,-1.787975764763264,501.340438976306
Syrian Arab Republic,1983,9960830.07835808,0.935930343,1.969450455,-1.033520112,SYR,-2.1042703883282594,414.8346862005417
Syrian Arab Republic,1984,10313499.9954324,0.73453831,1.821325194,-1.086786884,SYR,-2.4795509985040805,448.49050596785247
Syrian Arab Republic,1985,10667200.1945271,0.854421232,1.79742566,-0.943004428,SYR,-2.1036763096347686,449.9518261978784
Syrian Arab Republic,1986,11020700.1986895,0.92656881,1.752415305,-0.825846495,SYR,-1.8912953696336918,454.87573242769565
Syrian Arab Republic,1987,11374799.8034126,0.756871705,1.665840084,-0.908968379,SYR,-2.2009543730997687,470.7896552826408
Syrian Arab Republic,1988,11730200.1941468,1.105724863,1.892639101,-0.786914238,SYR,-1.7116727392743978,403.4367158297638
Syrian Arab Republic,1989,12088700.2000741,0.58931277,1.293299766,-0.703986996,SYR,-2.194589810093543,589.1959325788189
Syrian Arab Republic,1990,12451500.0005908,0.805301781,1.649594917,-0.844293136,SYR,-2.048418296057908,460.72394048381204
Syrian Arab Republic,1991,12817599.606044,0.754564177,1.644617972,-0.890053795,SYR,-2.179560127012655,451.15999266394994
Syrian Arab Republic,1992,13186200.1910978,0.939401273,1.721951874,-0.782550601,SYR,-1.8330312668195565,431.25123767684806
Syrian Arab Republic,1993,13559599.6042445,0.974812428,1.701945714,-0.727133286,SYR,-1.7459212127609,429.14621169465045
Syrian Arab Republic,1994,13941000.0030366,0.988289514,1.716060529,-0.727771015,SYR,-1.7363945307888575,423.0714524517055
Syrian Arab Republic,1995,14331999.9999229,1.023936647,1.764748398,-0.740811751,SYR,-1.7234937337187803,402.9350789211652
Syrian Arab Republic,1996,14736200.1919545,1.021491039,1.789976909,-0.76848587,SYR,-1.752317768739313,397.85985288413497
Syrian Arab Republic,1997,15152000.0005985,0.8269707,1.60405302,-0.77708232,SYR,-1.9396733161162785,439.97998607589653
Syrian Arab Republic,1998,15568799.8083071,0.994293093,1.862336686,-0.868043593,SYR,-1.873025890182944,376.32874701712103
Syrian Arab Republic,1999,15972400.3903609,0.718612357,1.654617605,-0.936005248,SYR,-2.30251759098605,419.1203488286357
Syrian Arab Republic,2000,16354000.0008176,0.79157421,1.729354109,-0.937779899,SYR,-2.1847024298580924,395.6258465834151
Syrian Arab Republic,2001,16694400.3844496,0.89730852,1.722250164,-0.824941644,SYR,-1.919351217126524,394.495505110117
