"year","country","overshoot_day","country_3_code"
1961,"Samoa",780.481579244122,"WSM"
1962,"Samoa",822.3537379456,"WSM"
1963,"Samoa",744.233537845546,"WSM"
1964,"Samoa",713.931153463204,"WSM"
1965,"Samoa",772.081634406375,"WSM"
1966,"Samoa",712.560050085116,"WSM"
1967,"Samoa",761.783495572387,"WSM"
1968,"Samoa",722.51544952388,"WSM"
1969,"Samoa",669.17938982169,"WSM"
1970,"Samoa",603.851956454608,"WSM"
1971,"Samoa",554.395073552878,"WSM"
1972,"Samoa",491.761636890137,"WSM"
1973,"Samoa",502.46273871964,"WSM"
1974,"Samoa",461.726702701082,"WSM"
1975,"Samoa",414.031163861267,"WSM"
1976,"Samoa",614.093167584818,"WSM"
1977,"Samoa",530.244078334472,"WSM"
1978,"Samoa",531.15137712459,"WSM"
1979,"Samoa",447.854354817564,"WSM"
1980,"Samoa",495.43119130026,"WSM"
1981,"Samoa",408.71852876126,"WSM"
1982,"Samoa",407.497299997494,"WSM"
1983,"Samoa",412.951852908158,"WSM"
1984,"Samoa",394.102265316389,"WSM"
1985,"Samoa",365.674494501818,"WSM"
1986,"Samoa",361.390328525446,"WSM"
1987,"Samoa",367.429496872086,"WSM"
1988,"Samoa",368.956647845727,"WSM"
1989,"Samoa",363.729521806277,"WSM"
1990,"Samoa",369.768762906455,"WSM"
1991,"Samoa",376.845936032575,"WSM"
1992,"Samoa",343.549303952123,"WSM"
1993,"Samoa",352.571933641752,"WSM"
1994,"Samoa",340.14280505019,"WSM"
1995,"Samoa",328.121363209396,"WSM"
1996,"Samoa",316.580625097326,"WSM"
1997,"Samoa",286.374297406913,"WSM"
1998,"Samoa",260.339333029721,"WSM"
1999,"Samoa",276.906159876216,"WSM"
2000,"Samoa",243.759233328513,"WSM"
2001,"Samoa",233.454141697823,"WSM"
2002,"Samoa",238.31076660757,"WSM"
2003,"Samoa",265.392797357002,"WSM"
2004,"Samoa",284.729951996698,"WSM"
2005,"Samoa",295.123247707591,"WSM"
2006,"Samoa",277.415501002303,"WSM"
2007,"Samoa",272.983567102996,"WSM"
2008,"Samoa",273.801207005088,"WSM"
2009,"Samoa",255.370303245875,"WSM"
2010,"Samoa",248.100087061969,"WSM"
2011,"Samoa",261.071041869601,"WSM"
2012,"Samoa",239.72072024349,"WSM"
2013,"Samoa",261.718936769895,"WSM"
2014,"Samoa",257.304905938933,"WSM"
