"year","country","overshoot_day","country_3_code"
1961,"Senegal",688.683871583738,"SEN"
1962,"Senegal",695.728198443436,"SEN"
1963,"Senegal",619.993950626444,"SEN"
1964,"Senegal",630.676248060071,"SEN"
1965,"Senegal",564.479325911762,"SEN"
1966,"Senegal",575.787305465551,"SEN"
1967,"Senegal",573.570522101023,"SEN"
1968,"Senegal",717.248900241263,"SEN"
1969,"Senegal",575.253795727103,"SEN"
1970,"Senegal",614.092456835172,"SEN"
1971,"Senegal",506.418853682868,"SEN"
1972,"Senegal",720.088907588907,"SEN"
1973,"Senegal",532.92248671835,"SEN"
1974,"Senegal",515.77441255299,"SEN"
1975,"Senegal",518.953346355425,"SEN"
1976,"Senegal",568.302428857281,"SEN"
1977,"Senegal",679.668308734065,"SEN"
1978,"Senegal",472.030350933698,"SEN"
1979,"Senegal",576.587377161024,"SEN"
1980,"Senegal",564.45826634898,"SEN"
1981,"Senegal",478.231926109574,"SEN"
1982,"Senegal",531.45014283939,"SEN"
1983,"Senegal",628.156978335868,"SEN"
1984,"Senegal",566.283670393056,"SEN"
1985,"Senegal",512.239419202159,"SEN"
1986,"Senegal",527.72245408453,"SEN"
1987,"Senegal",533.055257235898,"SEN"
1988,"Senegal",567.908495680005,"SEN"
1989,"Senegal",549.322309915126,"SEN"
1990,"Senegal",584.703566455013,"SEN"
1991,"Senegal",569.43739682943,"SEN"
1992,"Senegal",583.298252803642,"SEN"
1993,"Senegal",538.126064544983,"SEN"
1994,"Senegal",568.193348598862,"SEN"
1995,"Senegal",516.987044870946,"SEN"
1996,"Senegal",552.386059606771,"SEN"
1997,"Senegal",558.811184859267,"SEN"
1998,"Senegal",560.391315483387,"SEN"
1999,"Senegal",502.775753340883,"SEN"
2000,"Senegal",533.333081146679,"SEN"
2001,"Senegal",536.276374342268,"SEN"
2002,"Senegal",589.857653517394,"SEN"
2003,"Senegal",511.563129410709,"SEN"
2004,"Senegal",536.672818473024,"SEN"
2005,"Senegal",488.698920946188,"SEN"
2006,"Senegal",543.622445612437,"SEN"
2007,"Senegal",535.832790386383,"SEN"
2008,"Senegal",457.284364942818,"SEN"
2009,"Senegal",461.734815124777,"SEN"
2010,"Senegal",482.04247069787,"SEN"
2011,"Senegal",569.205801054572,"SEN"
2012,"Senegal",512.517979933765,"SEN"
2013,"Senegal",547.489920948965,"SEN"
2014,"Senegal",552.11399413161,"SEN"
