country,year,overshoot_day
Sweden,1961,623.74015809499701
Sweden,1962,615.50148521969902
Sweden,1963,627.77688111789996
Sweden,1964,587.08034521809202
Sweden,1965,551.47563934906896
Sweden,1966,541.55614319147696
Sweden,1967,533.20775106495398
Sweden,1968,631.25049889616298
Sweden,1969,600.51345690216397
Sweden,1970,515.65403453226702
Sweden,1971,507.21206534752702
Sweden,1972,585.90404105539403
Sweden,1973,618.82725378567397
Sweden,1974,568.70266083426998
Sweden,1975,505.44861925515499
Sweden,1976,510.39561740508998
Sweden,1977,587.90978321878197
Sweden,1978,678.38075406801102
Sweden,1979,588.93273907428204
Sweden,1980,609.52062199953002
Sweden,1981,616.94060256754301
Sweden,1982,640.55769388413296
Sweden,1983,681.15069630450296
Sweden,1984,699.22252137374801
Sweden,1985,684.19067701571601
Sweden,1986,638.48454467385795
Sweden,1987,638.33755991644
Sweden,1988,608.83470084039504
Sweden,1989,592.87415832476097
Sweden,1990,651.89408216474897
Sweden,1991,676.166178316946
Sweden,1992,678.64003410308499
Sweden,1993,705.20711013649998
Sweden,1994,653.18236966117297
Sweden,1995,583.67396996255798
Sweden,1996,651.00210473411596
Sweden,1997,640.89987000319502
Sweden,1998,635.91021100945295
Sweden,1999,664.50033140199298
Sweden,2000,615.75578127319397
Sweden,2001,631.66812908332099
Sweden,2002,583.47581439720705
Sweden,2003,574.42356796794502
Sweden,2004,621.20992256422005
Sweden,2005,456.71956420874398
Sweden,2006,682.87768292383305
Sweden,2007,544.685622994612
Sweden,2008,599.35512501736605
Sweden,2009,689.28879466178
Sweden,2010,542.606185549673
Sweden,2011,542.115991517574
Sweden,2012,572.34610561767101
Sweden,2013,579.197829899211
Sweden,2014,539.557931523104
