"year","country","overshoot_day","country_3_code"
1961,"Syrian Arab Republic",1186.82437153183,"SYR"
1962,"Syrian Arab Republic",1004.38123462729,"SYR"
1963,"Syrian Arab Republic",1155.42776878484,"SYR"
1964,"Syrian Arab Republic",1110.33136639953,"SYR"
1965,"Syrian Arab Republic",1094.69249576572,"SYR"
1966,"Syrian Arab Republic",1264.98003218769,"SYR"
1967,"Syrian Arab Republic",981.788811610508,"SYR"
1968,"Syrian Arab Republic",1013.55748391207,"SYR"
1969,"Syrian Arab Republic",912.976156666821,"SYR"
1970,"Syrian Arab Republic",1005.29535986939,"SYR"
1971,"Syrian Arab Republic",844.585687316074,"SYR"
1972,"Syrian Arab Republic",766.979693093571,"SYR"
1973,"Syrian Arab Republic",1196.58008511651,"SYR"
1974,"Syrian Arab Republic",662.419403415478,"SYR"
1975,"Syrian Arab Republic",636.286539458545,"SYR"
1976,"Syrian Arab Republic",570.064813471992,"SYR"
1977,"Syrian Arab Republic",593.006827912454,"SYR"
1978,"Syrian Arab Republic",585.17006937409,"SYR"
1979,"Syrian Arab Republic",537.767997543724,"SYR"
1980,"Syrian Arab Republic",437.163029031917,"SYR"
1981,"Syrian Arab Republic",422.979383827955,"SYR"
1982,"Syrian Arab Republic",501.340057488075,"SYR"
1983,"Syrian Arab Republic",414.83464197445,"SYR"
1984,"Syrian Arab Republic",448.490741342462,"SYR"
1985,"Syrian Arab Republic",449.951779850973,"SYR"
1986,"Syrian Arab Republic",454.87610064553,"SYR"
1987,"Syrian Arab Republic",470.790122877348,"SYR"
1988,"Syrian Arab Republic",403.43651917202,"SYR"
1989,"Syrian Arab Republic",589.196158463131,"SYR"
1990,"Syrian Arab Republic",460.72415739308,"SYR"
1991,"Syrian Arab Republic",451.160076153464,"SYR"
1992,"Syrian Arab Republic",431.251591558295,"SYR"
1993,"Syrian Arab Republic",429.146558225085,"SYR"
1994,"Syrian Arab Republic",423.071751714116,"SYR"
1995,"Syrian Arab Republic",402.934868192867,"SYR"
1996,"Syrian Arab Republic",397.859681703819,"SYR"
1997,"Syrian Arab Republic",439.980359316443,"SYR"
1998,"Syrian Arab Republic",376.328557921055,"SYR"
1999,"Syrian Arab Republic",419.120695355467,"SYR"
2000,"Syrian Arab Republic",395.625717420619,"SYR"
2001,"Syrian Arab Republic",394.495473255486,"SYR"
2002,"Syrian Arab Republic",358.132440177838,"SYR"
2003,"Syrian Arab Republic",354.83730370181,"SYR"
2004,"Syrian Arab Republic",343.087095230356,"SYR"
2005,"Syrian Arab Republic",287.472907934121,"SYR"
2006,"Syrian Arab Republic",323.105207609775,"SYR"
2007,"Syrian Arab Republic",325.675502581367,"SYR"
2008,"Syrian Arab Republic",331.288553081334,"SYR"
2009,"Syrian Arab Republic",271.060027536056,"SYR"
2010,"Syrian Arab Republic",306.846096781469,"SYR"
2011,"Syrian Arab Republic",309.173266901596,"SYR"
2012,"Syrian Arab Republic",356.737342175896,"SYR"
2013,"Syrian Arab Republic",383.485480639292,"SYR"
2014,"Syrian Arab Republic",420.345246620647,"SYR"
