"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Timor-Leste",1961,2595.41075733555,"TLS",0.3
"Timor-Leste",1962,2530.0106400744,"TLS",0.3
"Timor-Leste",1963,2566.86292530067,"TLS",0.3
"Timor-Leste",1964,2597.19872313903,"TLS",0.3
"Timor-Leste",1965,2493.21465096231,"TLS",0.3
"Timor-Leste",1966,2353.98770147221,"TLS",0.3
"Timor-Leste",1967,2211.03484285724,"TLS",0.3
"Timor-Leste",1968,2353.41383369815,"TLS",0.3
"Timor-Leste",1969,2098.07045484695,"TLS",0.3
"Timor-Leste",1970,2066.46070280132,"TLS",0.3
"Timor-Leste",1971,2027.05965644553,"TLS",0.3
"Timor-Leste",1972,1980.049296601,"TLS",0.3
"Timor-Leste",1973,1950.41294737067,"TLS",0.3
"Timor-Leste",1974,1997.54480395405,"TLS",0.3
"Timor-Leste",1975,2007.09257025333,"TLS",0.3
"Timor-Leste",1976,1846.57703147632,"TLS",0.3
"Timor-Leste",1977,1726.61437754912,"TLS",0.3
"Timor-Leste",1978,1643.63956862625,"TLS",0.3
"Timor-Leste",1979,1558.9683270875,"TLS",0.3
"Timor-Leste",1980,1520.15785468788,"TLS",0.3
"Timor-Leste",1981,1553.5742931917,"TLS",0.3
"Timor-Leste",1982,1526.29543386929,"TLS",0.3
"Timor-Leste",1983,1519.85059085418,"TLS",0.3
"Timor-Leste",1984,1564.42505296713,"TLS",0.3
"Timor-Leste",1985,1584.71288480835,"TLS",0.3
"Timor-Leste",1986,1558.67446274332,"TLS",0.3
"Timor-Leste",1987,1539.62098152915,"TLS",0.3
"Timor-Leste",1988,1525.37412802844,"TLS",0.3
"Timor-Leste",1989,1572.7616665524,"TLS",0.3
"Timor-Leste",1990,1552.09577704308,"TLS",0.3
"Timor-Leste",1991,1465.88123080115,"TLS",0.3
"Timor-Leste",1992,1572.71765222781,"TLS",0.3
"Timor-Leste",1993,1192.89295307518,"TLS",0.3
"Timor-Leste",1994,1224.31831708743,"TLS",0.3
"Timor-Leste",1995,1220.35816887506,"TLS",0.3
"Timor-Leste",1996,1230.82923167532,"TLS",0.3
"Timor-Leste",1997,1271.76627618353,"TLS",0.3
"Timor-Leste",1998,1345.47310989707,"TLS",0.3
"Timor-Leste",1999,1294.62926674253,"TLS",0.3
"Timor-Leste",2000,1203.58737497194,"TLS",0.3
"Timor-Leste",2001,1234.00222693888,"TLS",0.3
"Timor-Leste",2002,1224.97860258281,"TLS",0.3
"Timor-Leste",2003,1280.94290791531,"TLS",0.3
"Timor-Leste",2004,1262.6496746193,"TLS",0.3
"Timor-Leste",2005,1250.32248795768,"TLS",0.3
"Timor-Leste",2006,1254.64804291764,"TLS",0.3
"Timor-Leste",2007,1264.18833433478,"TLS",0.3
"Timor-Leste",2008,1474.94110261008,"TLS",0.3
"Timor-Leste",2009,1222.00911820247,"TLS",0.3
"Timor-Leste",2010,1343.59173864151,"TLS",0.3
"Timor-Leste",2011,1455.55573940539,"TLS",0.3
"Timor-Leste",2012,1234.713448895,"TLS",0.3
"Timor-Leste",2013,799.044179897676,"TLS",0.3
"Timor-Leste",2014,1084.02682217788,"TLS",0.3
