"year","country","overshoot_day","country_3_code"
1961,"Timor-Leste",2595.41075733555,"TLS"
1962,"Timor-Leste",2530.0106400744,"TLS"
1963,"Timor-Leste",2566.86292530067,"TLS"
1964,"Timor-Leste",2597.19872313903,"TLS"
1965,"Timor-Leste",2493.21465096231,"TLS"
1966,"Timor-Leste",2353.98770147221,"TLS"
1967,"Timor-Leste",2211.03484285724,"TLS"
1968,"Timor-Leste",2353.41383369815,"TLS"
1969,"Timor-Leste",2098.07045484695,"TLS"
1970,"Timor-Leste",2066.46070280132,"TLS"
1971,"Timor-Leste",2027.05965644553,"TLS"
1972,"Timor-Leste",1980.049296601,"TLS"
1973,"Timor-Leste",1950.41294737067,"TLS"
1974,"Timor-Leste",1997.54480395405,"TLS"
1975,"Timor-Leste",2007.09257025333,"TLS"
1976,"Timor-Leste",1846.57703147632,"TLS"
1977,"Timor-Leste",1726.61437754912,"TLS"
1978,"Timor-Leste",1643.63956862625,"TLS"
1979,"Timor-Leste",1558.9683270875,"TLS"
1980,"Timor-Leste",1520.15785468788,"TLS"
1981,"Timor-Leste",1553.5742931917,"TLS"
1982,"Timor-Leste",1526.29543386929,"TLS"
1983,"Timor-Leste",1519.85059085418,"TLS"
1984,"Timor-Leste",1564.42505296713,"TLS"
1985,"Timor-Leste",1584.71288480835,"TLS"
1986,"Timor-Leste",1558.67446274332,"TLS"
1987,"Timor-Leste",1539.62098152915,"TLS"
1988,"Timor-Leste",1525.37412802844,"TLS"
1989,"Timor-Leste",1572.7616665524,"TLS"
1990,"Timor-Leste",1552.09577704308,"TLS"
1991,"Timor-Leste",1465.88123080115,"TLS"
1992,"Timor-Leste",1572.71765222781,"TLS"
1993,"Timor-Leste",1192.89295307518,"TLS"
1994,"Timor-Leste",1224.31831708743,"TLS"
1995,"Timor-Leste",1220.35816887506,"TLS"
1996,"Timor-Leste",1230.82923167532,"TLS"
1997,"Timor-Leste",1271.76627618353,"TLS"
1998,"Timor-Leste",1345.47310989707,"TLS"
1999,"Timor-Leste",1294.62926674253,"TLS"
2000,"Timor-Leste",1203.58737497194,"TLS"
2001,"Timor-Leste",1234.00222693888,"TLS"
2002,"Timor-Leste",1224.97860258281,"TLS"
2003,"Timor-Leste",1280.94290791531,"TLS"
2004,"Timor-Leste",1262.6496746193,"TLS"
2005,"Timor-Leste",1250.32248795768,"TLS"
2006,"Timor-Leste",1254.64804291764,"TLS"
2007,"Timor-Leste",1264.18833433478,"TLS"
2008,"Timor-Leste",1474.94110261008,"TLS"
2009,"Timor-Leste",1222.00911820247,"TLS"
2010,"Timor-Leste",1343.59173864151,"TLS"
2011,"Timor-Leste",1455.55573940539,"TLS"
2012,"Timor-Leste",1234.713448895,"TLS"
2013,"Timor-Leste",799.044179897676,"TLS"
2014,"Timor-Leste",1084.02682217788,"TLS"
