"year","country","overshoot_day","country_3_code"
1961,"Togo",803.572506255227,"TGO"
1962,"Togo",777.637596951407,"TGO"
1963,"Togo",742.493607045919,"TGO"
1964,"Togo",745.292676174197,"TGO"
1965,"Togo",731.494185269485,"TGO"
1966,"Togo",736.727265056349,"TGO"
1967,"Togo",747.821304744837,"TGO"
1968,"Togo",761.009747251334,"TGO"
1969,"Togo",775.989416208822,"TGO"
1970,"Togo",778.396130166299,"TGO"
1971,"Togo",788.826363033928,"TGO"
1972,"Togo",775.530877356112,"TGO"
1973,"Togo",776.720763942955,"TGO"
1974,"Togo",803.937358914722,"TGO"
1975,"Togo",730.857978252798,"TGO"
1976,"Togo",757.861201267805,"TGO"
1977,"Togo",774.811429581793,"TGO"
1978,"Togo",785.882497343956,"TGO"
1979,"Togo",727.689957499268,"TGO"
1980,"Togo",779.015480253609,"TGO"
1981,"Togo",751.689704401612,"TGO"
1982,"Togo",719.693677832283,"TGO"
1983,"Togo",752.304292770812,"TGO"
1984,"Togo",748.404203439497,"TGO"
1985,"Togo",731.679748190495,"TGO"
1986,"Togo",716.848595029785,"TGO"
1987,"Togo",710.656328524389,"TGO"
1988,"Togo",681.953675748994,"TGO"
1989,"Togo",686.437011448557,"TGO"
1990,"Togo",680.319353079171,"TGO"
1991,"Togo",730.261919116706,"TGO"
1992,"Togo",758.724913244926,"TGO"
1993,"Togo",739.865216241025,"TGO"
1994,"Togo",718.297750496021,"TGO"
1995,"Togo",697.544281998387,"TGO"
1996,"Togo",617.518988303316,"TGO"
1997,"Togo",633.021789619185,"TGO"
1998,"Togo",639.148611661339,"TGO"
1999,"Togo",618.539234558087,"TGO"
2000,"Togo",636.471152323959,"TGO"
2001,"Togo",619.61153274794,"TGO"
2002,"Togo",608.642754554063,"TGO"
2003,"Togo",614.539699242614,"TGO"
2004,"Togo",678.096502464128,"TGO"
2005,"Togo",668.719387294049,"TGO"
2006,"Togo",679.627099731982,"TGO"
2007,"Togo",686.393079690869,"TGO"
2008,"Togo",636.510605365071,"TGO"
2009,"Togo",594.382471386758,"TGO"
2010,"Togo",591.620747330558,"TGO"
2011,"Togo",602.088685974827,"TGO"
2012,"Togo",561.395406891962,"TGO"
2013,"Togo",574.097345687103,"TGO"
2014,"Togo",554.717093360293,"TGO"
