"year","country","overshoot_day","country_3_code"
1961,"Tonga",1334.77729600899,"TON"
1962,"Tonga",1341.3976148094,"TON"
1963,"Tonga",1231.9962800837,"TON"
1964,"Tonga",1265.82379029029,"TON"
1965,"Tonga",1158.75971384751,"TON"
1966,"Tonga",1163.05877840716,"TON"
1967,"Tonga",1022.1249058813,"TON"
1968,"Tonga",1038.85985018402,"TON"
1969,"Tonga",1022.8555481498,"TON"
1970,"Tonga",925.95095491329,"TON"
1971,"Tonga",853.517714147508,"TON"
1972,"Tonga",747.302354887037,"TON"
1973,"Tonga",758.784675458614,"TON"
1974,"Tonga",603.114186953939,"TON"
1975,"Tonga",559.703876491463,"TON"
1976,"Tonga",534.403384104168,"TON"
1977,"Tonga",607.635073342097,"TON"
1978,"Tonga",558.728901098546,"TON"
1979,"Tonga",534.193269972102,"TON"
1980,"Tonga",542.072241909245,"TON"
1981,"Tonga",508.039521154699,"TON"
1982,"Tonga",493.969863015661,"TON"
1983,"Tonga",499.831538909921,"TON"
1984,"Tonga",470.510281689964,"TON"
1985,"Tonga",465.768909334409,"TON"
1986,"Tonga",434.96249321367,"TON"
1987,"Tonga",424.718112932436,"TON"
1988,"Tonga",433.37035217731,"TON"
1989,"Tonga",452.913049430373,"TON"
1990,"Tonga",461.472850171479,"TON"
1991,"Tonga",465.281203289686,"TON"
1992,"Tonga",442.793340366141,"TON"
1993,"Tonga",371.874486906685,"TON"
1994,"Tonga",369.117195102569,"TON"
1995,"Tonga",354.392747398491,"TON"
1996,"Tonga",363.794351923905,"TON"
1997,"Tonga",334.577813569416,"TON"
1998,"Tonga",308.789433762237,"TON"
1999,"Tonga",303.356908094183,"TON"
2000,"Tonga",340.73560456226,"TON"
2001,"Tonga",265.373294648981,"TON"
2002,"Tonga",293.74446389689,"TON"
2003,"Tonga",310.671852990992,"TON"
2004,"Tonga",315.259357010988,"TON"
2005,"Tonga",315.770933245271,"TON"
2006,"Tonga",325.085001406782,"TON"
2007,"Tonga",279.543684003448,"TON"
2008,"Tonga",286.469754946583,"TON"
2009,"Tonga",274.829588615713,"TON"
2010,"Tonga",230.33333936856,"TON"
2011,"Tonga",245.310134658755,"TON"
2012,"Tonga",203.21101895831,"TON"
2013,"Tonga",227.595910912347,"TON"
2014,"Tonga",185.931002687271,"TON"
