"year","country","overshoot_day","country_3_code"
1961,"Trinidad and Tobago",1633.07814616432,"TTO"
1962,"Trinidad and Tobago",830.041692757479,"TTO"
1963,"Trinidad and Tobago",1631.3793236512,"TTO"
1964,"Trinidad and Tobago",1551.14667780371,"TTO"
1965,"Trinidad and Tobago",705.974562022884,"TTO"
1966,"Trinidad and Tobago",1185.60698761904,"TTO"
1967,"Trinidad and Tobago",823.578388943638,"TTO"
1968,"Trinidad and Tobago",1536.71091826931,"TTO"
1969,"Trinidad and Tobago",1178.65257483804,"TTO"
1970,"Trinidad and Tobago",376.903838522108,"TTO"
1971,"Trinidad and Tobago",424.800365413292,"TTO"
1972,"Trinidad and Tobago",397.437410616652,"TTO"
1973,"Trinidad and Tobago",351.177504493145,"TTO"
1974,"Trinidad and Tobago",286.526784866744,"TTO"
1975,"Trinidad and Tobago",307.07819565196,"TTO"
1976,"Trinidad and Tobago",263.11218552713,"TTO"
1977,"Trinidad and Tobago",247.952969761657,"TTO"
1978,"Trinidad and Tobago",232.286150461054,"TTO"
1979,"Trinidad and Tobago",225.241071559678,"TTO"
1980,"Trinidad and Tobago",188.619759914668,"TTO"
1981,"Trinidad and Tobago",166.327877269,"TTO"
1982,"Trinidad and Tobago",194.512469264016,"TTO"
1983,"Trinidad and Tobago",205.031776946173,"TTO"
1984,"Trinidad and Tobago",206.190611424554,"TTO"
1985,"Trinidad and Tobago",239.619598926144,"TTO"
1986,"Trinidad and Tobago",239.693519189545,"TTO"
1987,"Trinidad and Tobago",246.486873921728,"TTO"
1988,"Trinidad and Tobago",256.564308669345,"TTO"
1989,"Trinidad and Tobago",260.916646179702,"TTO"
1990,"Trinidad and Tobago",254.421690802127,"TTO"
1991,"Trinidad and Tobago",244.476338962685,"TTO"
1992,"Trinidad and Tobago",235.093717155162,"TTO"
1993,"Trinidad and Tobago",224.884627721488,"TTO"
1994,"Trinidad and Tobago",216.445489945549,"TTO"
1995,"Trinidad and Tobago",200.469465012553,"TTO"
1996,"Trinidad and Tobago",200.151856386133,"TTO"
1997,"Trinidad and Tobago",211.534778297021,"TTO"
1998,"Trinidad and Tobago",195.000295671955,"TTO"
1999,"Trinidad and Tobago",193.098136412141,"TTO"
2000,"Trinidad and Tobago",187.793354720352,"TTO"
2001,"Trinidad and Tobago",152.543028764083,"TTO"
2002,"Trinidad and Tobago",112.658747906188,"TTO"
2003,"Trinidad and Tobago",103.011052928013,"TTO"
2004,"Trinidad and Tobago",111.97354989093,"TTO"
2005,"Trinidad and Tobago",92.962572628455,"TTO"
2006,"Trinidad and Tobago",82.5063911078785,"TTO"
2007,"Trinidad and Tobago",73.1822476824845,"TTO"
2008,"Trinidad and Tobago",66.4863818088196,"TTO"
2009,"Trinidad and Tobago",60.0995166711452,"TTO"
2010,"Trinidad and Tobago",65.6459836084793,"TTO"
2011,"Trinidad and Tobago",75.5310506388339,"TTO"
2012,"Trinidad and Tobago",76.675615700727,"TTO"
2013,"Trinidad and Tobago",80.7866573583347,"TTO"
2014,"Trinidad and Tobago",91.7760094939092,"TTO"
