"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Uganda",1961,7006629.88089682,1.733165593,1.95751782,-0.224352227,"UGA",-1.1294464944922,582.795564466898
"Uganda",1962,7240149.89891459,1.67454743,1.900980009,-0.226432579,"UGA",-1.13522015915667,592.392990078802
"Uganda",1963,7487410.15875888,1.697593089,1.925380514,-0.227787425,"UGA",-1.13418257375211,573.696687820927
"Uganda",1964,7746180.17655791,1.660631983,1.911545353,-0.25091337,"UGA",-1.15109513909277,569.423154370281
"Uganda",1965,8014379.87875449,1.553478534,1.84964216,-0.296163626,"UGA",-1.1906454864233,578.293112676062
"Uganda",1966,8292750.00183878,1.540355873,1.849734745,-0.309378872,"UGA",-1.20084893109798,573.02560680729
"Uganda",1967,8580629.87947752,1.585142472,1.952922335,-0.367779863,"UGA",-1.23201689246267,534.272419839745
"Uganda",1968,8872870.11770716,1.57300252,2.001109176,-0.428106656,"UGA",-1.27215892826415,511.995792248619
"Uganda",1969,9162769.52718539,1.620614419,2.066747086,-0.446132667,"UGA",-1.27528613499564,486.377626350607
"Uganda",1970,9446019.529148,1.702445743,2.123954204,-0.421508461,"UGA",-1.24758995255849,466.309254658128
"Uganda",1971,9720370.11862587,1.635870467,2.132997436,-0.497126969,"UGA",-1.30389137716998,458.932292613202
"Uganda",1972,9988320.31464252,1.623563548,2.171523395,-0.547959847,"UGA",-1.33750440504777,439.973583738494
"Uganda",1973,10256299.8038542,1.558140031,2.141954585,-0.583814554,"UGA",-1.37468684377488,442.360344759408
"Uganda",1974,10533599.6101436,1.503557844,2.13342148,-0.629863636,"UGA",-1.41891548382336,433.129560529881
"Uganda",1975,10827099.6086997,1.546339455,2.157571242,-0.611231787,"UGA",-1.39527655848606,421.40326500465
"Uganda",1976,11139799.8065381,1.471237167,2.097728747,-0.62649158,"UGA",-1.42582633362913,428.81852390874
"Uganda",1977,11470700.1937829,1.393722844,2.124035669,-0.730312825,"UGA",-1.524001500901,416.49645018443
"Uganda",1978,11817999.9992605,1.361971312,2.144571277,-0.782599965,"UGA",-1.57460827864282,411.225264284755
"Uganda",1979,12177700.1950778,1.121684327,1.931602449,-0.809918122,"UGA",-1.72205525952208,447.789638739836
"Uganda",1980,12547799.8059142,1.064790176,1.859137099,-0.794346923,"UGA",-1.74601262757701,457.088808272935
"Uganda",1981,12926999.997844,1.085723426,1.852021959,-0.766298533,"UGA",-1.70579537000505,455.297589931437
"Uganda",1982,13318099.6104368,1.125334143,1.921242334,-0.795908191,"UGA",-1.70726385320541,435.682622668156
"Uganda",1983,13727400.387883,1.149594587,1.933545796,-0.783951209,"UGA",-1.68193710793298,422.537899104847
"Uganda",1984,14163200.1993681,1.085437457,1.899794113,-0.814356656,"UGA",-1.75025662003594,429.966100263181
"Uganda",1985,14631099.6092642,1.060431018,1.81679035,-0.756359332,"UGA",-1.71325646433843,445.155930307422
"Uganda",1986,15133700.1957081,1.04972967,1.835182654,-0.785452984,"UGA",-1.74824314530426,434.360673247955
"Uganda",1987,15668299.8026553,1.0371389,1.743013862,-0.705874962,"UGA",-1.68059832680078,449.944941021411
"Uganda",1988,16227799.8020862,1.017267731,1.729779624,-0.712511893,"UGA",-1.70041725397109,441.420457701663
"Uganda",1989,16802300.7833631,1.041085592,1.751350981,-0.710265389,"UGA",-1.68223536741105,435.096666382124
"Uganda",1990,17384400.393377,1.037679785,1.76104851,-0.723368725,"UGA",-1.69710206746054,431.565548893174
"Uganda",1991,17973400.3941112,0.988757519,1.684161795,-0.695404276,"UGA",-1.70331124257846,440.56684150834
"Uganda",1992,18571499.9993177,0.967553112,1.741096632,-0.77354352,"UGA",-1.7994842681039,426.509297700656
"Uganda",1993,19177699.2260968,0.978385786,1.681120259,-0.702734473,"UGA",-1.71825911330948,434.462393717452
"Uganda",1994,19791300.7807416,0.944556414,1.640706617,-0.696150203,"UGA",-1.73701282700522,442.502156223422
"Uganda",1995,20413000.0030741,0.916045656,1.609561804,-0.693516148,"UGA",-1.75707595186904,441.784239555138
"Uganda",1996,21041500.0008866,0.866750885,1.519315582,-0.652564697,"UGA",-1.7528861349411,468.737335481845
"Uganda",1997,21679499.9962445,0.841012179,1.542930971,-0.701918792,"UGA",-1.83461195532269,457.409447736159
"Uganda",1998,22336800.778666,0.89493816,1.608909576,-0.713971416,"UGA",-1.79778857569332,435.606100451511
"Uganda",1999,23026400.3964267,0.913072167,1.581074175,-0.668002008,"UGA",-1.73159828099897,438.615661232091
"Uganda",2000,23757599.615433,0.877767053,1.535528686,-0.657761633,"UGA",-1.74935787348135,445.564566689636
"Uganda",2001,24534699.2182974,0.890771529,1.549965277,-0.659193748,"UGA",-1.74002563822398,438.345273003854
"Uganda",2002,25355800.7851002,0.884700427,1.529060187,-0.64435976,"UGA",-1.72833667550043,438.660044166345
"Uganda",2003,26217800.7711067,0.856170068,1.556831265,-0.700661197,"UGA",-1.81836688124358,424.551931657592
"Uganda",2004,27114699.2208642,0.835335389,1.582026239,-0.74669085,"UGA",-1.89388145041957,421.344649592402
"Uganda",2005,28042400.3831321,0.792510413,1.561921924,-0.769411511,"UGA",-1.97085348065018,419.054990995388
"Uganda",2006,29000900.3990116,0.750299964,1.515080517,-0.764780553,"UGA",-2.01929972114086,427.609281826939
"Uganda",2007,29991999.9925963,0.736485621,1.503022359,-0.766536738,"UGA",-2.04080345791409,427.44254521423
"Uganda",2008,31014400.3839437,0.63627375,1.385944783,-0.749671033,"UGA",-2.17822093084934,465.349461886938
"Uganda",2009,32067099.6007614,0.632533894,1.359011007,-0.726477113,"UGA",-2.14851887224572,466.509365696819
"Uganda",2010,33149398.4345478,0.62511378,1.337607898,-0.712494118,"UGA",-2.1397830967668,470.094280640836
"Uganda",2011,34260300.7785401,0.603548051,1.306077953,-0.702529902,"UGA",-2.164000032806,477.237543596171
"Uganda",2012,35400601.5610123,0.557216859,1.231916605,-0.674699746,"UGA",-2.21083870290644,497.528927802418
"Uganda",2013,36573398.4425626,0.555430935,1.202732918,-0.647301983,"UGA",-2.16540497663679,513.0926874163
"Uganda",2014,37783000.0046952,0.551624823,1.186947869,-0.635323046,"UGA",-2.15173040981006,517.247505977305
